#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2509616,65102943,KM727_gp02,KM727_gp02,HgNV_002,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210607,-
2509616,65102944,KM727_gp03,KM727_gp03,HgNV_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102945,KM727_gp04,KM727_gp04,HgNV_004,-,-,-,Ac92-like protein,protein-coding,-,-,-,Ac92-like protein,20210607,-
2509616,65102946,KM727_gp05,KM727_gp05,HgNV_005,-,-,-,Vp91,protein-coding,-,-,-,Vp91,20210607,-
2509616,65102947,KM727_gp06,KM727_gp06,HgNV_006,-,-,-,ODV-E56,protein-coding,-,-,-,ODV-E56,20210607,-
2509616,65102948,KM727_gp07,KM727_gp07,HgNV_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102949,KM727_gp08,KM727_gp08,HgNV_008,-,-,-,P47,protein-coding,-,-,-,P47,20210607,-
2509616,65102950,KM727_gp09,KM727_gp09,HgNV_009,-,-,-,Pif-2,protein-coding,-,-,-,Pif-2,20210607,-
2509616,65102951,KM727_gp10,KM727_gp10,HgNV_010,-,-,-,HZV 115-like protein,protein-coding,-,-,-,HZV 115-like protein,20210607,-
2509616,65102952,KM727_gp11,KM727_gp11,HgNV_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102953,KM727_gp12,KM727_gp12,HgNV_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102954,KM727_gp13,KM727_gp13,HgNV_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102955,KM727_gp14,KM727_gp14,HgNV_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102956,KM727_gp15,KM727_gp15,HgNV_015,-,-,-,Vp39/31 k,protein-coding,-,-,-,Vp39/31 k,20210607,-
2509616,65102957,KM727_gp16,KM727_gp16,HgNV_016,-,-,-,LEF-8,protein-coding,-,-,-,LEF-8,20210607,-
2509616,65102958,KM727_gp17,KM727_gp17,HgNV_017,-,-,-,P51,protein-coding,-,-,-,P51,20210607,-
2509616,65102959,KM727_gp18,KM727_gp18,HgNV_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102960,KM727_gp19,KM727_gp19,HgNV_019,-,-,-,E3 ubiquitin-protein ligase TRIM39-like protein,protein-coding,-,-,-,E3 ubiquitin-protein ligase TRIM39-like protein,20210607,-
2509616,65102961,KM727_gp20,KM727_gp20,HgNV_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102962,KM727_gp21,KM727_gp21,HgNV_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102963,KM727_gp22,KM727_gp22,HgNV_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102964,KM727_gp23,KM727_gp23,HgNV_023,-,-,-,serine/threonine protein kinase,protein-coding,-,-,-,serine/threonine protein kinase,20210607,-
2509616,65102965,KM727_gp24,KM727_gp24,HgNV_024,-,-,-,ODV-E66,protein-coding,-,-,-,ODV-E66,20210607,-
2509616,65102966,KM727_gp25,KM727_gp25,HgNV_025,-,-,-,ODV-E66,protein-coding,-,-,-,ODV-E66,20210607,-
2509616,65102967,KM727_gp26,KM727_gp26,HgNV_026,-,-,-,dihydroxy-acid dehydratase,protein-coding,-,-,-,dihydroxy-acid dehydratase,20210607,-
2509616,65102968,KM727_gp27,KM727_gp27,HgNV_027,-,-,-,guanosine monophosphate kinase,protein-coding,-,-,-,guanosine monophosphate kinase,20210607,-
2509616,65102969,KM727_gp28,KM727_gp28,HgNV_028,-,-,-,PIF-1,protein-coding,-,-,-,PIF-1,20210607,-
2509616,65102970,KM727_gp29,KM727_gp29,HgNV_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102971,KM727_gp30,KM727_gp30,HgNV_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102972,KM727_gp31,KM727_gp31,HgNV_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102973,KM727_gp32,KM727_gp32,HgNV_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102974,KM727_gp33,KM727_gp33,HgNV_033,-,-,-,PmV-like protein,protein-coding,-,-,-,PmV-like protein,20210607,-
2509616,65102975,KM727_gp34,KM727_gp34,HgNV_034,-,-,-,p-loop NTPase,protein-coding,-,-,-,p-loop NTPase,20210607,-
2509616,65102976,KM727_gp35,KM727_gp35,HgNV_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102977,KM727_gp36,KM727_gp36,HgNV_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102978,KM727_gp37,KM727_gp37,HgNV_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102979,KM727_gp38,KM727_gp38,HgNV_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102980,KM727_gp39,KM727_gp39,HgNV_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102981,KM727_gp40,KM727_gp40,HgNV_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102982,KM727_gp41,KM727_gp41,HgNV_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102983,KM727_gp42,KM727_gp42,HgNV_042,-,-,-,integrase,protein-coding,-,-,-,integrase,20210607,-
2509616,65102984,KM727_gp43,KM727_gp43,HgNV_043,-,-,-,VLF-1,protein-coding,-,-,-,VLF-1,20210607,-
2509616,65102985,KM727_gp44,KM727_gp44,HgNV_044,-,-,-,surface-associated interspersed protein,protein-coding,-,-,-,surface-associated interspersed protein,20210607,-
2509616,65102986,KM727_gp45,KM727_gp45,HgNV_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102987,KM727_gp46,KM727_gp46,HgNV_046,-,-,-,LEF-9,protein-coding,-,-,-,LEF-9,20210607,-
2509616,65102988,KM727_gp47,KM727_gp47,HgNV_047,-,-,-,38K protein,protein-coding,-,-,-,38K protein,20210607,-
2509616,65102989,KM727_gp48,KM727_gp48,HgNV_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102990,KM727_gp49,KM727_gp49,HgNV_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102991,KM727_gp50,KM727_gp50,HgNV_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102992,KM727_gp51,KM727_gp51,HgNV_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102993,KM727_gp52,KM727_gp52,HgNV_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102994,KM727_gp53,KM727_gp53,HgNV_053,-,-,-,p-loop NTPase,protein-coding,-,-,-,p-loop NTPase,20210607,-
2509616,65102995,KM727_gp54,KM727_gp54,HgNV_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102996,KM727_gp55,KM727_gp55,HgNV_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102997,KM727_gp56,KM727_gp56,HgNV_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102998,KM727_gp57,KM727_gp57,HgNV_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65102999,KM727_gp58,KM727_gp58,HgNV_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103000,KM727_gp59,KM727_gp59,HgNV_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103001,KM727_gp60,KM727_gp60,HgNV_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103002,KM727_gp61,KM727_gp61,HgNV_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103003,KM727_gp62,KM727_gp62,HgNV_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103004,KM727_gp63,KM727_gp63,HgNV_063,-,-,-,P74,protein-coding,-,-,-,P74,20210607,-
2509616,65103005,KM727_gp64,KM727_gp64,HgNV_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103006,KM727_gp65,KM727_gp65,HgNV_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103007,KM727_gp66,KM727_gp66,HgNV_066,-,-,-,helicase 2,protein-coding,-,-,-,helicase 2,20210607,-
2509616,65103008,KM727_gp67,KM727_gp67,HgNV_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103009,KM727_gp68,KM727_gp68,HgNV_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103010,KM727_gp69,KM727_gp69,HgNV_069,-,-,-,helicase 2,protein-coding,-,-,-,helicase 2,20210607,-
2509616,65103011,KM727_gp70,KM727_gp70,HgNV_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103012,KM727_gp71,KM727_gp71,HgNV_071,-,-,-,LOC108666550-like protein,protein-coding,-,-,-,LOC108666550-like protein,20210607,-
2509616,65103013,KM727_gp72,KM727_gp72,HgNV_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103014,KM727_gp73,KM727_gp73,HgNV_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103015,KM727_gp74,KM727_gp74,HgNV_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103016,KM727_gp75,KM727_gp75,HgNV_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103017,KM727_gp76,KM727_gp76,HgNV_076,-,-,-,Ac81-like protein,protein-coding,-,-,-,Ac81-like protein,20210607,-
2509616,65103018,KM727_gp77,KM727_gp77,HgNV_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103019,KM727_gp78,KM727_gp78,HgNV_078,-,-,-,Ac68-like protein,protein-coding,-,-,-,Ac68-like protein,20210607,-
2509616,65103020,KM727_gp79,KM727_gp79,HgNV_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103021,KM727_gp80,KM727_gp80,HgNV_080,-,-,-,VLF-1,protein-coding,-,-,-,VLF-1,20210607,-
2509616,65103022,KM727_gp81,KM727_gp81,HgNV_081,-,-,-,LEF-4,protein-coding,-,-,-,LEF-4,20210607,-
2509616,65103023,KM727_gp82,KM727_gp82,HgNV_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103024,KM727_gp83,KM727_gp83,HgNV_083,-,-,-,PIF-3,protein-coding,-,-,-,PIF-3,20210607,-
2509616,65103025,KM727_gp84,KM727_gp84,HgNV_084,-,-,-,helicase,protein-coding,-,-,-,helicase,20210607,-
2509616,65103026,KM727_gp85,KM727_gp85,HgNV_085,-,-,-,ODV-E28,protein-coding,-,-,-,ODV-E28,20210607,-
2509616,65103027,KM727_gp86,KM727_gp86,HgNV_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103028,KM727_gp87,KM727_gp87,HgNV_087,-,-,-,esterase,protein-coding,-,-,-,esterase,20210607,-
2509616,65103029,KM727_gp88,KM727_gp88,HgNV_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103030,KM727_gp89,KM727_gp89,HgNV_089,-,-,-,11K virion structural protein,protein-coding,-,-,-,11K virion structural protein,20210607,-
2509616,65103031,KM727_gp90,KM727_gp90,HgNV_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103032,KM727_gp91,KM727_gp91,HgNV_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103033,KM727_gp92,KM727_gp92,HgNV_092,-,-,-,death-associated inhibitor of apoptosis 1,protein-coding,-,-,-,death-associated inhibitor of apoptosis 1,20210607,-
2509616,65103034,KM727_gp93,KM727_gp93,HgNV_093,-,-,-,baculoviral IAP repeat-containing protein 7-like protein,protein-coding,-,-,-,baculoviral IAP repeat-containing protein 7-like protein,20210607,-
2509616,65103035,KM727_gp94,KM727_gp94,HgNV_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103036,KM727_gp95,KM727_gp95,HgNV_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103037,KM727_gp96,KM727_gp96,HgNV_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103038,KM727_gp97,KM727_gp97,HgNV_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2509616,65103039,KM727_gp01,KM727_gp01,HgNV_001,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
2509616,65243039,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
