#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2510568,55011248,2,HOV11_gp02,SEA_VASH_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2510568,55011249,3,HOV11_gp03,SEA_VASH_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2510568,55011250,4,HOV11_gp04,SEA_VASH_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210403,-
2510568,55011251,5,HOV11_gp05,SEA_VASH_5,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2510568,55011252,6,HOV11_gp06,SEA_VASH_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011253,7,HOV11_gp07,SEA_VASH_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011254,8,HOV11_gp08,SEA_VASH_8,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210403,-
2510568,55011255,9,HOV11_gp09,SEA_VASH_9,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2510568,55011256,11,HOV11_gp10,SEA_VASH_11,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2510568,55011257,12,HOV11_gp12,SEA_VASH_12,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2510568,55011258,10,HOV11_gp11,SEA_VASH_10,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2510568,55011259,13,HOV11_gp13,SEA_VASH_13,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2510568,55011260,14,HOV11_gp14,SEA_VASH_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011261,15,HOV11_gp15,SEA_VASH_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2510568,55011262,16,HOV11_gp16,SEA_VASH_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011263,17,HOV11_gp17,SEA_VASH_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011264,18,HOV11_gp18,SEA_VASH_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2510568,55011265,19,HOV11_gp19,SEA_VASH_19,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210403,-
2510568,55011266,20,HOV11_gp20,SEA_VASH_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011267,21,HOV11_gp21,SEA_VASH_21,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20210403,-
2510568,55011268,22,HOV11_gp22,SEA_VASH_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011269,23,HOV11_gp23,SEA_VASH_23,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200910,-
2510568,55011270,24,HOV11_gp24,SEA_VASH_24,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200910,-
2510568,55011271,25,HOV11_gp25,SEA_VASH_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011272,26,HOV11_gp26,SEA_VASH_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2510568,55011273,27,HOV11_gp27,SEA_VASH_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011274,28,HOV11_gp28,SEA_VASH_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011275,29,HOV11_gp29,SEA_VASH_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011276,30,HOV11_gp30,SEA_VASH_30,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2510568,55011277,31,HOV11_gp31,SEA_VASH_31,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2510568,55011278,32,HOV11_gp32,SEA_VASH_32,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210403,-
2510568,55011279,33,HOV11_gp33,SEA_VASH_33,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200910,-
2510568,55011280,34,HOV11_gp34,SEA_VASH_34,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210403,-
2510568,55011281,35,HOV11_gp35,SEA_VASH_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011282,36,HOV11_gp36,SEA_VASH_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011283,37,HOV11_gp37,SEA_VASH_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011284,38,HOV11_gp38,SEA_VASH_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011285,39,HOV11_gp39,SEA_VASH_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011286,40,HOV11_gp40,SEA_VASH_40,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210403,-
2510568,55011287,41,HOV11_gp41,SEA_VASH_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011288,42,HOV11_gp42,SEA_VASH_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011289,43,HOV11_gp43,SEA_VASH_43,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20200910,-
2510568,55011290,44,HOV11_gp44,SEA_VASH_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011291,45,HOV11_gp45,SEA_VASH_45,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210403,-
2510568,55011292,46,HOV11_gp46,SEA_VASH_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011293,47,HOV11_gp47,SEA_VASH_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011294,48,HOV11_gp48,SEA_VASH_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510568,55011295,49,HOV11_gp49,SEA_VASH_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2510568,55011296,50,HOV11_gp50,SEA_VASH_50,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210403,-
