#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2517927,65119426,2,KNU50_gp02,PBI_WALRUS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2517927,65119427,3,KNU50_gp03,PBI_WALRUS_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2517927,65119428,4,KNU50_gp04,PBI_WALRUS_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210607,-
2517927,65119429,5,KNU50_gp05,PBI_WALRUS_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210607,-
2517927,65119430,6,KNU50_gp06,PBI_WALRUS_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2517927,65119431,7,KNU50_gp07,PBI_WALRUS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119432,8,KNU50_gp08,PBI_WALRUS_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210607,-
2517927,65119433,9,KNU50_gp09,PBI_WALRUS_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210607,-
2517927,65119434,10,KNU50_gp10,PBI_WALRUS_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119435,11,KNU50_gp11,PBI_WALRUS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119436,12,KNU50_gp12,PBI_WALRUS_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119437,13,KNU50_gp13,PBI_WALRUS_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119438,14,KNU50_gp14,PBI_WALRUS_14,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210607,-
2517927,65119439,15,KNU50_gp15,PBI_WALRUS_15,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2517927,65119440,17,KNU50_gp16,PBI_WALRUS_17,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210607,-
2517927,65119441,16,KNU50_gp17,PBI_WALRUS_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210607,-
2517927,65119442,18,KNU50_gp18,PBI_WALRUS_18,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210607,-
2517927,65119443,19,KNU50_gp19,PBI_WALRUS_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2517927,65119444,20,KNU50_gp20,PBI_WALRUS_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2517927,65119445,21,KNU50_gp21,PBI_WALRUS_21,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",protein-coding,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",20210607,-
2517927,65119446,22,KNU50_gp22,PBI_WALRUS_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119447,23,KNU50_gp23,PBI_WALRUS_23,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20210607,-
2517927,65119448,24,KNU50_gp24,PBI_WALRUS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119449,25,KNU50_gp25,PBI_WALRUS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119450,26,KNU50_gp26,PBI_WALRUS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119451,27,KNU50_gp27,PBI_WALRUS_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210607,-
2517927,65119452,28,KNU50_gp28,PBI_WALRUS_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119453,29,KNU50_gp29,PBI_WALRUS_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2517927,65119454,30,KNU50_gp30,PBI_WALRUS_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2517927,65119455,31,KNU50_gp31,PBI_WALRUS_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119456,32,KNU50_gp32,PBI_WALRUS_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2517927,65119457,33,KNU50_gp33,PBI_WALRUS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119458,34,KNU50_gp34,PBI_WALRUS_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119459,35,KNU50_gp35,PBI_WALRUS_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2517927,65119460,36,KNU50_gp36,PBI_WALRUS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119461,37,KNU50_gp37,PBI_WALRUS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119462,38,KNU50_gp38,PBI_WALRUS_38,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2517927,65119463,39,KNU50_gp39,PBI_WALRUS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119464,40,KNU50_gp40,PBI_WALRUS_40,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210607,-
2517927,65119465,41,KNU50_gp41,PBI_WALRUS_41,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210607,-
2517927,65119466,42,KNU50_gp42,PBI_WALRUS_42,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
