#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2546626,56214459,H3T68_gp02,H3T68_gp02,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210424,-
2546626,56214460,H3T68_gp03,H3T68_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2546626,56214461,H3T68_gp04,H3T68_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2546626,56214462,H3T68_gp05,H3T68_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2546626,56214463,H3T68_gp06,H3T68_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2546626,56214464,H3T68_gp07,H3T68_gp07,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210424,-
2546626,56214465,H3T68_gp08,H3T68_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2546626,56214466,H3T68_gp09,H3T68_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2546626,56214467,H3T68_gp10,H3T68_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2546626,56214468,H3T68_gp11,H3T68_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2546626,56214469,H3T68_gp12,H3T68_gp12,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210424,-
2546626,56214470,H3T68_gp13,H3T68_gp13,-,-,-,-,CHAP domain-containing lysin,protein-coding,-,-,-,CHAP domain-containing lysin,20210424,-
2546626,56214471,H3T68_gp14,H3T68_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2546626,56214472,H3T68_gp15,H3T68_gp15,-,-,-,-,negative regulator of beta-lactamase expression,protein-coding,-,-,-,negative regulator of beta-lactamase expression,20210424,-
2546626,56214473,H3T68_gp16,H3T68_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2546626,56214474,H3T68_gp17,H3T68_gp17,-,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210424,-
2546626,56214475,H3T68_gp18,H3T68_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2546626,56214476,H3T68_gp19,H3T68_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2546626,56214477,H3T68_gp20,H3T68_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2546626,56214478,H3T68_gp21,H3T68_gp21,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210424,-
2546626,56214479,H3T68_gp22,H3T68_gp22,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210424,-
2546626,56214480,H3T68_gp23,H3T68_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2546626,56214481,H3T68_gp24,H3T68_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2546626,56214482,H3T68_gp01,H3T68_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2546626,58119673,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200803,-
