#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2555548,55614672,HWC11_gp002,HWC11_gp002,-,-,-,-,virulence associated protein,protein-coding,-,-,-,virulence associated protein,20210424,-
2555548,55614673,HWC11_gp003,HWC11_gp003,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210424,-
2555548,55614674,HWC11_gp004,HWC11_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2555548,55614675,HWC11_gp005,HWC11_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614676,HWC11_gp006,HWC11_gp006,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210424,-
2555548,55614677,HWC11_gp007,HWC11_gp007,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2555548,55614678,HWC11_gp008,HWC11_gp008,-,-,-,-,tail sheath,protein-coding,-,-,-,tail sheath,20201222,-
2555548,55614679,HWC11_gp009,HWC11_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614680,HWC11_gp010,HWC11_gp010,-,-,-,-,tail tube,protein-coding,-,-,-,tail tube,20201222,-
2555548,55614681,HWC11_gp011,HWC11_gp011,-,-,-,-,portal vertex,protein-coding,-,-,-,portal vertex,20210424,-
2555548,55614682,HWC11_gp012,HWC11_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2555548,55614683,HWC11_gp013,HWC11_gp013,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210424,-
2555548,55614684,HWC11_gp014,HWC11_gp014,-,-,-,-,prohead assembly (scaffolding) protein,protein-coding,-,-,-,prohead assembly (scaffolding) protein,20210424,-
2555548,55614685,HWC11_gp015,HWC11_gp015,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2555548,55614686,HWC11_gp016,HWC11_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614687,HWC11_gp017,HWC11_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614688,HWC11_gp018,HWC11_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2555548,55614689,HWC11_gp019,HWC11_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2555548,55614690,HWC11_gp020,HWC11_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614691,HWC11_gp021,HWC11_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614692,HWC11_gp022,HWC11_gp022,-,-,-,-,putative deoxynucleotide monophosphate kinase,protein-coding,-,-,-,putative deoxynucleotide monophosphate kinase,20210424,-
2555548,55614693,HWC11_gp023,HWC11_gp023,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20210424,-
2555548,55614694,HWC11_gp024,HWC11_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2555548,55614695,HWC11_gp025,HWC11_gp025,-,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20210424,-
2555548,55614696,HWC11_gp026,HWC11_gp026,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201222,-
