#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591030,55617570,HWC30_gp027,HWC30_gp027,LAh6_27,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210424,-
2591030,55617571,HWC30_gp017,HWC30_gp017,LAh6_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617572,HWC30_gp109,HWC30_gp109,LAh6_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591030,55617573,HWC30_gp088,HWC30_gp088,LAh6_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617574,HWC30_gp008,HWC30_gp008,LAh6_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617575,HWC30_gp094,HWC30_gp094,LAh6_94,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20210424,-
2591030,55617576,HWC30_gp070,HWC30_gp070,LAh6_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617577,HWC30_gp037,HWC30_gp037,LAh6_37,-,-,-,"putative ribonucleotide reductase, small chain",protein-coding,-,-,-,"putative ribonucleotide reductase, small chain",20210424,-
2591030,55617578,HWC30_gp020,HWC30_gp020,LAh6_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617579,HWC30_gp101,HWC30_gp101,LAh6_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617580,HWC30_gp023,HWC30_gp023,LAh6_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617581,HWC30_gp026,HWC30_gp026,LAh6_26,-,-,-,putative RecF/RecN/SMC-like protein,protein-coding,-,-,-,putative RecF/RecN/SMC-like protein,20200829,-
2591030,55617582,HWC30_gp007,HWC30_gp007,LAh6_7,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210424,-
2591030,55617583,HWC30_gp127,HWC30_gp127,LAh6_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617584,HWC30_gp110,HWC30_gp110,LAh6_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617585,HWC30_gp129,HWC30_gp129,LAh6_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617586,HWC30_gp022,HWC30_gp022,LAh6_22,-,-,-,putative DUF1983 domain-containing protein,protein-coding,-,-,-,putative DUF1983 domain-containing protein,20200620,-
2591030,55617587,HWC30_gp138,HWC30_gp138,LAh6_138,-,-,-,putative DUF1190 domain-containing protein,protein-coding,-,-,-,putative DUF1190 domain-containing protein,20210424,-
