#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591120,63026597,2,J1767_gp02,SEA_TANGERINE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210309,-
2591120,63026598,3,J1767_gp03,SEA_TANGERINE_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026599,4,J1767_gp04,SEA_TANGERINE_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026600,5,J1767_gp05,SEA_TANGERINE_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026601,6,J1767_gp06,SEA_TANGERINE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026602,7,J1767_gp07,SEA_TANGERINE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026603,8,J1767_gp08,SEA_TANGERINE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026604,9,J1767_gp09,SEA_TANGERINE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026605,10,J1767_gp10,SEA_TANGERINE_10,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210309,-
2591120,63026606,11,J1767_gp11,SEA_TANGERINE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591120,63026607,12,J1767_gp12,SEA_TANGERINE_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210309,-
2591120,63026608,13,J1767_gp13,SEA_TANGERINE_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026609,14,J1767_gp14,SEA_TANGERINE_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026610,15,J1767_gp15,SEA_TANGERINE_15,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210309,-
2591120,63026611,16,J1767_gp16,SEA_TANGERINE_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026612,17,J1767_gp17,SEA_TANGERINE_17,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210309,-
2591120,63026613,18,J1767_gp18,SEA_TANGERINE_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026614,19,J1767_gp19,SEA_TANGERINE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026615,20,J1767_gp20,SEA_TANGERINE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026616,21,J1767_gp21,SEA_TANGERINE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026617,22,J1767_gp22,SEA_TANGERINE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026618,23,J1767_gp23,SEA_TANGERINE_23,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210309,-
2591120,63026619,24,J1767_gp24,SEA_TANGERINE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026620,25,J1767_gp25,SEA_TANGERINE_25,-,-,-,esterase,protein-coding,-,-,-,esterase,20210309,-
2591120,63026621,26,J1767_gp26,SEA_TANGERINE_26,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210309,-
2591120,63026622,27,J1767_gp27,SEA_TANGERINE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026623,28,J1767_gp28,SEA_TANGERINE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026624,29,J1767_gp29,SEA_TANGERINE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026625,30,J1767_gp30,SEA_TANGERINE_30,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2591120,63026626,31,J1767_gp31,SEA_TANGERINE_31,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2591120,63026627,32,J1767_gp32,SEA_TANGERINE_32,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210309,-
2591120,63026628,33,J1767_gp33,SEA_TANGERINE_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2591120,63026629,34,J1767_gp34,SEA_TANGERINE_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2591120,63026630,35,J1767_gp35,SEA_TANGERINE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2591120,63026631,36,J1767_gp36,SEA_TANGERINE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026632,37,J1767_gp37,SEA_TANGERINE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026633,38,J1767_gp38,SEA_TANGERINE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026634,39,J1767_gp39,SEA_TANGERINE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026635,40,J1767_gp40,SEA_TANGERINE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026636,41,J1767_gp41,SEA_TANGERINE_41,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210309,-
2591120,63026637,42,J1767_gp42,SEA_TANGERINE_42,-,-,-,holin,protein-coding,-,-,-,holin,20210309,-
2591120,63026638,43,J1767_gp43,SEA_TANGERINE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026639,44,J1767_gp44,SEA_TANGERINE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026640,45,J1767_gp45,SEA_TANGERINE_45,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210309,-
2591120,63026641,46,J1767_gp46,SEA_TANGERINE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026642,47,J1767_gp47,SEA_TANGERINE_47,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210309,-
2591120,63026643,48,J1767_gp48,SEA_TANGERINE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026644,49,J1767_gp49,SEA_TANGERINE_49,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210309,-
2591120,63026645,50,J1767_gp50,SEA_TANGERINE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026646,51,J1767_gp51,SEA_TANGERINE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026647,52,J1767_gp52,SEA_TANGERINE_52,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
2591120,63026648,53,J1767_gp53,SEA_TANGERINE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026649,54,J1767_gp54,SEA_TANGERINE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026650,55,J1767_gp55,SEA_TANGERINE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026651,56,J1767_gp56,SEA_TANGERINE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026652,57,J1767_gp57,SEA_TANGERINE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026653,58,J1767_gp58,SEA_TANGERINE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026654,59,J1767_gp59,SEA_TANGERINE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026655,60,J1767_gp60,SEA_TANGERINE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
