#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591129,60330809,2,I5H59_gp02,SEA_MAHAVRAT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2591129,60330810,3,I5H59_gp03,SEA_MAHAVRAT_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2591129,60330811,4,I5H59_gp04,SEA_MAHAVRAT_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2591129,60330812,5,I5H59_gp05,SEA_MAHAVRAT_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2591129,60330813,6,I5H59_gp06,SEA_MAHAVRAT_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2591129,60330814,7,I5H59_gp07,SEA_MAHAVRAT_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2591129,60330815,8,I5H59_gp08,SEA_MAHAVRAT_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2591129,60330816,9,I5H59_gp09,SEA_MAHAVRAT_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591129,60330817,10,I5H59_gp10,SEA_MAHAVRAT_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2591129,60330818,11,I5H59_gp11,SEA_MAHAVRAT_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2591129,60330819,13,I5H59_gp12,SEA_MAHAVRAT_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2591129,60330820,14,I5H59_gp14,SEA_MAHAVRAT_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2591129,60330821,12,I5H59_gp13,SEA_MAHAVRAT_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2591129,60330822,15,I5H59_gp15,SEA_MAHAVRAT_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2591129,60330823,16,I5H59_gp16,SEA_MAHAVRAT_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2591129,60330824,17,I5H59_gp17,SEA_MAHAVRAT_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2591129,60330825,18,I5H59_gp18,SEA_MAHAVRAT_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2591129,60330826,19,I5H59_gp19,SEA_MAHAVRAT_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2591129,60330827,20,I5H59_gp20,SEA_MAHAVRAT_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330828,21,I5H59_gp21,SEA_MAHAVRAT_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330829,22,I5H59_gp22,SEA_MAHAVRAT_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330830,23,I5H59_gp23,SEA_MAHAVRAT_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2591129,60330831,24,I5H59_gp24,SEA_MAHAVRAT_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330832,25,I5H59_gp25,SEA_MAHAVRAT_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2591129,60330833,26,I5H59_gp26,SEA_MAHAVRAT_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330834,27,I5H59_gp27,SEA_MAHAVRAT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330835,28,I5H59_gp28,SEA_MAHAVRAT_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330836,29,I5H59_gp29,SEA_MAHAVRAT_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330837,30,I5H59_gp30,SEA_MAHAVRAT_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2591129,60330838,31,I5H59_gp31,SEA_MAHAVRAT_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2591129,60330839,32,I5H59_gp32,SEA_MAHAVRAT_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2591129,60330840,33,I5H59_gp33,SEA_MAHAVRAT_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2591129,60330841,34,I5H59_gp34,SEA_MAHAVRAT_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330842,35,I5H59_gp35,SEA_MAHAVRAT_35,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210129,-
2591129,60330843,36,I5H59_gp36,SEA_MAHAVRAT_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330844,37,I5H59_gp37,SEA_MAHAVRAT_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330845,38,I5H59_gp38,SEA_MAHAVRAT_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330846,39,I5H59_gp39,SEA_MAHAVRAT_39,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2591129,60330847,40,I5H59_gp40,SEA_MAHAVRAT_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330848,41,I5H59_gp41,SEA_MAHAVRAT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330849,42,I5H59_gp42,SEA_MAHAVRAT_42,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2591129,60330850,43,I5H59_gp43,SEA_MAHAVRAT_43,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210424,-
2591129,60330851,44,I5H59_gp44,SEA_MAHAVRAT_44,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210306,-
2591129,60330852,45,I5H59_gp45,SEA_MAHAVRAT_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330853,46,I5H59_gp46,SEA_MAHAVRAT_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330854,47,I5H59_gp47,SEA_MAHAVRAT_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330855,48,I5H59_gp48,SEA_MAHAVRAT_48,-,-,-,excise,protein-coding,-,-,-,excise,20210212,-
2591129,60330856,49,I5H59_gp49,SEA_MAHAVRAT_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330857,50,I5H59_gp50,SEA_MAHAVRAT_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330858,51,I5H59_gp51,SEA_MAHAVRAT_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330859,52,I5H59_gp52,SEA_MAHAVRAT_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330860,53,I5H59_gp53,SEA_MAHAVRAT_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2591129,60330861,54,I5H59_gp54,SEA_MAHAVRAT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
