#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591212,63027305,2,J1775_gp02,SEA_ZIPP_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210309,-
2591212,63027306,3,J1775_gp03,SEA_ZIPP_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027307,4,J1775_gp04,SEA_ZIPP_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027308,5,J1775_gp05,SEA_ZIPP_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027309,6,J1775_gp06,SEA_ZIPP_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027310,7,J1775_gp07,SEA_ZIPP_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027311,8,J1775_gp08,SEA_ZIPP_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027312,9,J1775_gp09,SEA_ZIPP_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027313,10,J1775_gp10,SEA_ZIPP_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027314,11,J1775_gp11,SEA_ZIPP_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027315,12,J1775_gp12,SEA_ZIPP_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027316,13,J1775_gp13,SEA_ZIPP_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591212,63027317,14,J1775_gp14,SEA_ZIPP_14,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210309,-
2591212,63027318,15,J1775_gp15,SEA_ZIPP_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027319,16,J1775_gp16,SEA_ZIPP_16,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210309,-
2591212,63027320,17,J1775_gp17,SEA_ZIPP_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027321,18,J1775_gp18,SEA_ZIPP_18,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210309,-
2591212,63027322,19,J1775_gp19,SEA_ZIPP_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027323,20,J1775_gp20,SEA_ZIPP_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027324,21,J1775_gp21,SEA_ZIPP_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591212,63027325,22,J1775_gp22,SEA_ZIPP_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027326,23,J1775_gp23,SEA_ZIPP_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591212,63027327,24,J1775_gp24,SEA_ZIPP_24,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210309,-
