#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591411,65069382,KMC77_gp02,KMC77_gp02,AGM1_0002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2591411,65069383,KMC77_gp03,KMC77_gp03,AGM1_0003,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2591411,65069384,KMC77_gp04,KMC77_gp04,AGM1_0004,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210608,-
2591411,65069385,KMC77_gp05,KMC77_gp05,AGM1_0005,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210608,-
2591411,65069386,KMC77_gp06,KMC77_gp06,AGM1_0006,-,-,-,major capsid protein-like protein,protein-coding,-,-,-,major capsid protein-like protein,20210608,-
2591411,65069387,KMC77_gp07,KMC77_gp07,AGM1_0007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069388,KMC77_gp08,KMC77_gp08,AGM1_0008,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20210608,-
2591411,65069389,KMC77_gp09,KMC77_gp09,AGM1_0009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069390,KMC77_gp10,KMC77_gp10,AGM1_0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069391,KMC77_gp11,KMC77_gp11,AGM1_0011,-,-,-,DUF3168 domain-containing protein,protein-coding,-,-,-,DUF3168 domain-containing protein,20210608,-
2591411,65069392,KMC77_gp12,KMC77_gp12,AGM1_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069393,KMC77_gp13,KMC77_gp13,AGM1_0013,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210608,-
2591411,65069394,KMC77_gp14,KMC77_gp14,AGM1_0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069395,KMC77_gp15,KMC77_gp15,AGM1_0015,-,-,-,translation initiation factor,protein-coding,-,-,-,translation initiation factor,20210608,-
2591411,65069396,KMC77_gp16,KMC77_gp16,AGM1_0016,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210608,-
2591411,65069397,KMC77_gp17,KMC77_gp17,AGM1_0017,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2591411,65069398,KMC77_gp18,KMC77_gp18,AGM1_0018,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2591411,65069399,KMC77_gp19,KMC77_gp19,AGM1_0019,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20210608,-
2591411,65069400,KMC77_gp20,KMC77_gp20,AGM1_0020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069401,KMC77_gp21,KMC77_gp21,AGM1_0021,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20210608,-
2591411,65069402,KMC77_gp22,KMC77_gp22,AGM1_0022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069403,KMC77_gp23,KMC77_gp23,AGM1_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069404,KMC77_gp24,KMC77_gp24,AGM1_0024,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210608,-
2591411,65069405,KMC77_gp25,KMC77_gp25,AGM1_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069406,KMC77_gp26,KMC77_gp26,AGM1_0026,-,-,-,holin,protein-coding,-,-,-,holin,20210608,-
2591411,65069407,KMC77_gp27,KMC77_gp27,AGM1_0027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069408,KMC77_gp28,KMC77_gp28,AGM1_0028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069409,KMC77_gp29,KMC77_gp29,AGM1_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069410,KMC77_gp30,KMC77_gp30,AGM1_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069411,KMC77_gp31,KMC77_gp31,AGM1_0031,-,-,-,integrase,protein-coding,-,-,-,integrase,20210608,-
2591411,65069412,KMC77_gp32,KMC77_gp32,AGM1_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069413,KMC77_gp33,KMC77_gp33,AGM1_0033,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210608,-
2591411,65069414,KMC77_gp34,KMC77_gp34,AGM1_0034,-,-,-,excisionase,protein-coding,-,-,-,excisionase,20210608,-
2591411,65069415,KMC77_gp35,KMC77_gp35,AGM1_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069416,KMC77_gp36,KMC77_gp36,AGM1_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069417,KMC77_gp37,KMC77_gp37,AGM1_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069418,KMC77_gp38,KMC77_gp38,AGM1_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069419,KMC77_gp39,KMC77_gp39,AGM1_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069420,KMC77_gp40,KMC77_gp40,AGM1_0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069421,KMC77_gp41,KMC77_gp41,AGM1_0041,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20210608,-
2591411,65069422,KMC77_gp42,KMC77_gp42,AGM1_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069423,KMC77_gp43,KMC77_gp43,AGM1_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069424,KMC77_gp44,KMC77_gp44,AGM1_0044,-,-,-,homeodomain-like domain-containing protein,protein-coding,-,-,-,homeodomain-like domain-containing protein,20210608,-
2591411,65069425,KMC77_gp45,KMC77_gp45,AGM1_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069426,KMC77_gp46,KMC77_gp46,AGM1_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069427,KMC77_gp47,KMC77_gp47,AGM1_0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069428,KMC77_gp48,KMC77_gp48,AGM1_0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2591411,65069429,KMC77_gp49,KMC77_gp49,AGM1_0049,-,-,-,RNA-splicing ligase,protein-coding,-,-,-,RNA-splicing ligase,20210608,-
2591411,65069430,KMC77_gp50,KMC77_gp50,AGM1_0050,-,-,-,HNH-endonuclease,protein-coding,-,-,-,HNH-endonuclease,20210608,-
2591411,65069431,KMC77_gp51,KMC77_gp51,AGM1_0051,-,-,-,VRR-NUC domain-containing protein,protein-coding,-,-,-,VRR-NUC domain-containing protein,20210608,-
2591411,65069432,KMC77_gp52,KMC77_gp52,AGM1_0052,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20210608,-
2591411,65069433,KMC77_gp53,KMC77_gp53,AGM1_0053,-,-,-,HNH-endonuclease,protein-coding,-,-,-,HNH-endonuclease,20210608,-
2591411,65069434,KMC77_gp01,KMC77_gp01,AGM1_0001,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210608,-
2591411,65243201,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
