#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2593351,60336849,2,I5J50_gp02,SEA_PURKY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2593351,60336850,3,I5J50_gp03,SEA_PURKY_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2593351,60336851,4,I5J50_gp04,SEA_PURKY_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
2593351,60336852,5,I5J50_gp05,SEA_PURKY_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201130,-
2593351,60336853,6,I5J50_gp06,SEA_PURKY_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201130,-
2593351,60336854,7,I5J50_gp07,SEA_PURKY_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336855,8,I5J50_gp08,SEA_PURKY_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201130,-
2593351,60336856,9,I5J50_gp09,SEA_PURKY_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201130,-
2593351,60336857,10,I5J50_gp10,SEA_PURKY_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336858,11,I5J50_gp11,SEA_PURKY_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2593351,60336859,12,I5J50_gp12,SEA_PURKY_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201130,-
2593351,60336860,13,I5J50_gp13,SEA_PURKY_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
2593351,60336861,15,I5J50_gp14,SEA_PURKY_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2593351,60336862,16,I5J50_gp16,SEA_PURKY_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2593351,60336863,14,I5J50_gp15,SEA_PURKY_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2593351,60336864,17,I5J50_gp17,SEA_PURKY_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2593351,60336865,18,I5J50_gp18,SEA_PURKY_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2593351,60336866,19,I5J50_gp19,SEA_PURKY_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336867,20,I5J50_gp20,SEA_PURKY_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2593351,60336868,21,I5J50_gp21,SEA_PURKY_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336869,22,I5J50_gp22,SEA_PURKY_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336870,23,I5J50_gp23,SEA_PURKY_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336871,24,I5J50_gp24,SEA_PURKY_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336872,25,I5J50_gp25,SEA_PURKY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336873,26,I5J50_gp26,SEA_PURKY_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2593351,60336874,27,I5J50_gp27,SEA_PURKY_27,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
2593351,60336875,28,I5J50_gp28,SEA_PURKY_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2593351,60336876,29,I5J50_gp29,SEA_PURKY_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2593351,60336877,31,I5J50_gp30,SEA_PURKY_30,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201130,-
2593351,60336878,32,I5J50_gp31,SEA_PURKY_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336879,32,I5J50_gp32,SEA_PURKY_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2593351,60336880,34,I5J50_gp34,SEA_PURKY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336881,35,I5J50_gp35,SEA_PURKY_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336882,36,I5J50_gp36,SEA_PURKY_36,-,-,-,excise,protein-coding,-,-,-,excise,20210424,-
2593351,60336883,37,I5J50_gp37,SEA_PURKY_37,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2593351,60336884,38,I5J50_gp38,SEA_PURKY_38,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2593351,60336885,40,I5J50_gp40,SEA_PURKY_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336886,41,I5J50_gp41,SEA_PURKY_41,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2593351,60336887,42,I5J50_gp42,SEA_PURKY_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336888,43,I5J50_gp43,SEA_PURKY_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336889,44,I5J50_gp44,SEA_PURKY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336890,45,I5J50_gp45,SEA_PURKY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336891,46,I5J50_gp46,SEA_PURKY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2593351,60336892,47,I5J50_gp47,SEA_PURKY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
