#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2599849,55623287,2,HWC71_gp02,PBI_SADBOI_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200620,-
2599849,55623288,3,HWC71_gp03,PBI_SADBOI_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2599849,55623289,4,HWC71_gp04,PBI_SADBOI_4,-,-,-,lipase,protein-coding,-,-,-,lipase,20200620,-
2599849,55623290,5,HWC71_gp05,PBI_SADBOI_5,-,-,-,esterase,protein-coding,-,-,-,esterase,20200620,-
2599849,55623291,6,HWC71_gp06,PBI_SADBOI_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623292,7,HWC71_gp07,PBI_SADBOI_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623293,8,HWC71_gp08,PBI_SADBOI_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623294,9,HWC71_gp09,PBI_SADBOI_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623295,10,HWC71_gp10,PBI_SADBOI_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623296,11,HWC71_gp11,PBI_SADBOI_11,-,-,-,metalloprotease,protein-coding,-,-,-,metalloprotease,20210424,-
2599849,55623297,12,HWC71_gp12,PBI_SADBOI_12,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20200620,-
2599849,55623298,13,HWC71_gp13,PBI_SADBOI_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623299,14,HWC71_gp14,PBI_SADBOI_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623300,15,HWC71_gp15,PBI_SADBOI_15,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200620,-
2599849,55623301,16,HWC71_gp16,PBI_SADBOI_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623302,17,HWC71_gp17,PBI_SADBOI_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623303,19,HWC71_gp19,PBI_SADBOI_19,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200620,-
2599849,55623304,20,HWC71_gp20,PBI_SADBOI_20,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20200620,-
2599849,55623305,21,HWC71_gp21,PBI_SADBOI_21,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200620,-
2599849,55623306,22,HWC71_gp22,PBI_SADBOI_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623307,23,HWC71_gp23,PBI_SADBOI_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623308,25,HWC71_gp25,PBI_SADBOI_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623309,26,HWC71_gp26,PBI_SADBOI_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623310,27,HWC71_gp27,PBI_SADBOI_27,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2599849,55623311,28,HWC71_gp28,PBI_SADBOI_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2599849,55623312,29,HWC71_gp29,PBI_SADBOI_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2599849,55623313,30,HWC71_gp30,PBI_SADBOI_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2599849,55623314,31,HWC71_gp31,PBI_SADBOI_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623315,32,HWC71_gp32,PBI_SADBOI_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623316,33,HWC71_gp33,PBI_SADBOI_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623317,34,HWC71_gp34,PBI_SADBOI_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623318,35,HWC71_gp35,PBI_SADBOI_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623319,36,HWC71_gp36,PBI_SADBOI_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623320,37,HWC71_gp37,PBI_SADBOI_37,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2599849,55623321,38,HWC71_gp38,PBI_SADBOI_38,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599849,55623322,39,HWC71_gp39,PBI_SADBOI_39,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599849,55623323,40,HWC71_gp40,PBI_SADBOI_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623324,41,HWC71_gp41,PBI_SADBOI_41,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599849,55623325,42,HWC71_gp42,PBI_SADBOI_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623326,43,HWC71_gp43,PBI_SADBOI_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623327,44,HWC71_gp44,PBI_SADBOI_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623328,45,HWC71_gp45,PBI_SADBOI_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623329,46,HWC71_gp46,PBI_SADBOI_46,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599849,55623330,47,HWC71_gp47,PBI_SADBOI_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623331,48,HWC71_gp48,PBI_SADBOI_48,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599849,55623332,49,HWC71_gp49,PBI_SADBOI_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623333,50,HWC71_gp50,PBI_SADBOI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2599849,55623334,51,HWC71_gp51,PBI_SADBOI_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623335,52,HWC71_gp52,PBI_SADBOI_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623336,53,HWC71_gp53,PBI_SADBOI_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623337,54,HWC71_gp54,PBI_SADBOI_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623338,55,HWC71_gp55,PBI_SADBOI_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623339,56,HWC71_gp56,PBI_SADBOI_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623340,57,HWC71_gp57,PBI_SADBOI_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623341,58,HWC71_gp58,PBI_SADBOI_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623342,59,HWC71_gp59,PBI_SADBOI_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623343,60,HWC71_gp60,PBI_SADBOI_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599849,55623344,62,HWC71_gp62,PBI_SADBOI_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
