#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2652404,60331930,2,I5H70_gp02,SEA_NITZEL_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2652404,60331931,3,I5H70_gp03,SEA_NITZEL_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2652404,60331932,4,I5H70_gp04,SEA_NITZEL_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210515,-
2652404,60331933,5,I5H70_gp05,SEA_NITZEL_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2652404,60331934,6,I5H70_gp06,SEA_NITZEL_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2652404,60331935,7,I5H70_gp07,SEA_NITZEL_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2652404,60331936,8,I5H70_gp08,SEA_NITZEL_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2652404,60331937,9,I5H70_gp09,SEA_NITZEL_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2652404,60331938,10,I5H70_gp10,SEA_NITZEL_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2652404,60331939,11,I5H70_gp11,SEA_NITZEL_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2652404,60331940,12,I5H70_gp12,SEA_NITZEL_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2652404,60331941,14,I5H70_gp13,SEA_NITZEL_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2652404,60331942,15,I5H70_gp15,SEA_NITZEL_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2652404,60331943,13,I5H70_gp14,SEA_NITZEL_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2652404,60331944,16,I5H70_gp16,SEA_NITZEL_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2652404,60331945,17,I5H70_gp17,SEA_NITZEL_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2652404,60331946,18,I5H70_gp18,SEA_NITZEL_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2652404,60331947,19,I5H70_gp19,SEA_NITZEL_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2652404,60331948,20,I5H70_gp20,SEA_NITZEL_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2652404,60331949,21,I5H70_gp21,SEA_NITZEL_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2652404,60331950,22,I5H70_gp22,SEA_NITZEL_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331951,23,I5H70_gp23,SEA_NITZEL_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331952,24,I5H70_gp24,SEA_NITZEL_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331953,25,I5H70_gp25,SEA_NITZEL_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331954,26,I5H70_gp26,SEA_NITZEL_26,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2652404,60331955,27,I5H70_gp27,SEA_NITZEL_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331956,28,I5H70_gp28,SEA_NITZEL_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331957,29,I5H70_gp29,SEA_NITZEL_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
