#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
265294,2773086,MCP,ATVp14,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
265294,2773087,PCNA,ATVp20,-,-,-,-,proliferating cell nuclear antigen,protein-coding,-,-,-,proliferating cell nuclear antigen,20201220,-
265294,2773088,RAD2,ATVp10,-,-,-,-,DNA repair enzyme RAD2,protein-coding,-,-,-,DNA repair enzyme RAD2,20201220,-
265294,2829837,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
265294,3678157,ATVp07,ATVp07,-,-,-,-,NTPase,protein-coding,-,-,-,NTPase,20201220,-
265294,3678158,ATVp08,ATVp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678159,ATVp09,ATVp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678160,ATVp11,ATVp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678161,ATVp12,ATVp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678162,ATVp13,ATVp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678163,ATVp15,ATVp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678164,ATVp16,ATVp16,-,-,-,-,thiol oxidoreductase,protein-coding,-,-,-,thiol oxidoreductase,20201220,-
265294,3678165,ATVp17,ATVp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678166,ATVp18,ATVp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678167,ATVp19,ATVp19,-,-,-,-,deoxynucleoside kinase,protein-coding,-,-,-,deoxynucleoside kinase,20201220,-
265294,3678168,ATVp21,ATVp21,-,-,-,-,cytosine DNA methyltransferase,protein-coding,-,-,-,cytosine DNA methyltransferase,20201220,-
265294,3678169,ATVp22,ATVp22,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201220,-
265294,3678170,ATVp23,ATVp23,-,-,-,-,putative immediate-early protein,protein-coding,-,-,-,putative immediate-early protein,20201220,-
265294,3678171,ATVp24,ATVp24,-,-,-,-,transcription elongation factor-SII,protein-coding,-,-,-,transcription elongation factor-SII,20210417,-
265294,3678172,ATVp25,ATVp25,-,-,-,-,RNase III,protein-coding,-,-,-,RNase III,20201220,-
265294,3678173,ATVp26,ATVp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678174,ATVp06,ATVp06,-,-,-,-,DNA dependent RNA polymerase subunit a,protein-coding,-,-,-,DNA dependent RNA polymerase subunit a,20201220,-
265294,3678175,ATVp47,ATVp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678176,ATVp48,ATVp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678177,ATVp49,ATVp49,-,-,-,-,phosphotransferase,protein-coding,-,-,-,phosphotransferase,20201220,-
