#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656534,63026857,2,J1770_gp02,SEA_EMOORE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210309,-
2656534,63026858,3,J1770_gp03,SEA_EMOORE_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026859,4,J1770_gp04,SEA_EMOORE_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026860,5,J1770_gp05,SEA_EMOORE_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026861,6,J1770_gp06,SEA_EMOORE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026862,7,J1770_gp07,SEA_EMOORE_7,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210309,-
2656534,63026863,8,J1770_gp08,SEA_EMOORE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026864,9,J1770_gp09,SEA_EMOORE_9,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210309,-
2656534,63026865,10,J1770_gp10,SEA_EMOORE_10,-,-,-,histidine triad nucleotide binding protein,protein-coding,-,-,-,histidine triad nucleotide binding protein,20210309,-
2656534,63026866,11,J1770_gp11,SEA_EMOORE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026867,12,J1770_gp12,SEA_EMOORE_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026868,13,J1770_gp13,SEA_EMOORE_13,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210309,-
2656534,63026869,14,J1770_gp14,SEA_EMOORE_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026870,15,J1770_gp15,SEA_EMOORE_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026871,16,J1770_gp16,SEA_EMOORE_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026872,17,J1770_gp17,SEA_EMOORE_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026873,18,J1770_gp18,SEA_EMOORE_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026874,19,J1770_gp19,SEA_EMOORE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026875,20,J1770_gp20,SEA_EMOORE_20,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210309,-
2656534,63026876,21,J1770_gp21,SEA_EMOORE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026877,22,J1770_gp22,SEA_EMOORE_22,-,-,-,esterase,protein-coding,-,-,-,esterase,20210309,-
2656534,63026878,23,J1770_gp23,SEA_EMOORE_23,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210309,-
2656534,63026879,24,J1770_gp24,SEA_EMOORE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026880,25,J1770_gp25,SEA_EMOORE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026881,26,J1770_gp26,SEA_EMOORE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026882,27,J1770_gp27,SEA_EMOORE_27,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2656534,63026883,28,J1770_gp28,SEA_EMOORE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026884,29,J1770_gp29,SEA_EMOORE_29,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210309,-
2656534,63026885,30,J1770_gp30,SEA_EMOORE_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2656534,63026886,31,J1770_gp31,SEA_EMOORE_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2656534,63026887,32,J1770_gp32,SEA_EMOORE_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026888,33,J1770_gp33,SEA_EMOORE_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2656534,63026889,34,J1770_gp34,SEA_EMOORE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026890,35,J1770_gp35,SEA_EMOORE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026891,36,J1770_gp36,SEA_EMOORE_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2656534,63026892,37,J1770_gp37,SEA_EMOORE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026893,38,J1770_gp38,SEA_EMOORE_38,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210309,-
2656534,63026894,39,J1770_gp39,SEA_EMOORE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026895,40,J1770_gp40,SEA_EMOORE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026896,41,J1770_gp41,SEA_EMOORE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026897,42,J1770_gp42,SEA_EMOORE_42,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210309,-
2656534,63026898,43,J1770_gp43,SEA_EMOORE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026899,44,J1770_gp44,SEA_EMOORE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026900,45,J1770_gp45,SEA_EMOORE_45,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210309,-
2656534,63026901,46,J1770_gp46,SEA_EMOORE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026902,47,J1770_gp47,SEA_EMOORE_47,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210309,-
2656534,63026903,48,J1770_gp48,SEA_EMOORE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026904,49,J1770_gp49,SEA_EMOORE_49,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2656534,63026905,50,J1770_gp50,SEA_EMOORE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026906,51,J1770_gp51,SEA_EMOORE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026907,52,J1770_gp52,SEA_EMOORE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026908,53,J1770_gp53,SEA_EMOORE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026909,54,J1770_gp54,SEA_EMOORE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026910,55,J1770_gp55,SEA_EMOORE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026911,56,J1770_gp56,SEA_EMOORE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026912,57,J1770_gp57,SEA_EMOORE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026913,58,J1770_gp58,SEA_EMOORE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026914,59,J1770_gp59,SEA_EMOORE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026915,60,J1770_gp60,SEA_EMOORE_60,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210309,-
2656534,63026916,61,J1770_gp61,SEA_EMOORE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026917,63,J1770_gp63,SEA_EMOORE_63,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210309,-
2656534,63026918,64,J1770_gp64,SEA_EMOORE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026919,65,J1770_gp65,SEA_EMOORE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026920,66,J1770_gp66,SEA_EMOORE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026921,67,J1770_gp67,SEA_EMOORE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026922,68,J1770_gp68,SEA_EMOORE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026923,69,J1770_gp69,SEA_EMOORE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026924,70,J1770_gp70,SEA_EMOORE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026925,71,J1770_gp71,SEA_EMOORE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026926,72,J1770_gp72,SEA_EMOORE_72,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210309,-
2656534,63026927,73,J1770_gp73,SEA_EMOORE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026928,74,J1770_gp74,SEA_EMOORE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026929,75,J1770_gp75,SEA_EMOORE_75,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210309,-
2656534,63026930,76,J1770_gp76,SEA_EMOORE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026931,77,J1770_gp77,SEA_EMOORE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026932,78,J1770_gp78,SEA_EMOORE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026933,79,J1770_gp79,SEA_EMOORE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026934,80,J1770_gp80,SEA_EMOORE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026935,81,J1770_gp81,SEA_EMOORE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026936,82,J1770_gp82,SEA_EMOORE_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026937,62,J1770_gp62,SEA_EMOORE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656534,63026938,1,J1770_gp01,SEA_EMOORE_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2656534,63139677,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210310,-
