#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656577,60328290,2,I5H35_gp002,PBI_ENBY_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2656577,60328291,3,I5H35_gp003,PBI_ENBY_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201129,-
2656577,60328292,4,I5H35_gp004,PBI_ENBY_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2656577,60328293,5,I5H35_gp005,PBI_ENBY_5,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20201129,-
2656577,60328294,6,I5H35_gp006,PBI_ENBY_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2656577,60328295,7,I5H35_gp007,PBI_ENBY_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2656577,60328296,8,I5H35_gp008,PBI_ENBY_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2656577,60328297,9,I5H35_gp009,PBI_ENBY_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2656577,60328298,10,I5H35_gp010,PBI_ENBY_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656577,60328299,11,I5H35_gp011,PBI_ENBY_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2656577,60328300,12,I5H35_gp012,PBI_ENBY_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2656577,60328301,14,I5H35_gp013,PBI_ENBY_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2656577,60328302,15,I5H35_gp015,PBI_ENBY_15,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201203,-
2656577,60328303,13,I5H35_gp014,PBI_ENBY_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2656577,60328304,16,I5H35_gp016,PBI_ENBY_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656577,60328305,17,I5H35_gp017,PBI_ENBY_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656577,60328306,18,I5H35_gp018,PBI_ENBY_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656577,60328307,19,I5H35_gp019,PBI_ENBY_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656577,60328308,20,I5H35_gp020,PBI_ENBY_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2656577,60328309,21,I5H35_gp021,PBI_ENBY_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656577,60328310,22,I5H35_gp022,PBI_ENBY_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328311,23,I5H35_gp023,PBI_ENBY_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328312,24,I5H35_gp024,PBI_ENBY_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328313,25,I5H35_gp025,PBI_ENBY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328314,26,I5H35_gp026,PBI_ENBY_26,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2656577,60328315,27,I5H35_gp027,PBI_ENBY_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328316,28,I5H35_gp028,PBI_ENBY_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328317,29,I5H35_gp029,PBI_ENBY_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328318,30,I5H35_gp030,PBI_ENBY_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328319,31,I5H35_gp031,PBI_ENBY_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2656577,60328320,32,I5H35_gp032,PBI_ENBY_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328321,33,I5H35_gp033,PBI_ENBY_33,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2656577,60328322,34,I5H35_gp034,PBI_ENBY_34,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
2656577,60328323,35,I5H35_gp035,PBI_ENBY_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656577,60328324,36,I5H35_gp036,PBI_ENBY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328325,37,I5H35_gp037,PBI_ENBY_37,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201129,-
2656577,60328326,38,I5H35_gp038,PBI_ENBY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328327,40,I5H35_gp040,PBI_ENBY_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328328,41,I5H35_gp041,PBI_ENBY_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328329,43,I5H35_gp043,PBI_ENBY_43,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20210424,-
2656577,60328330,44,I5H35_gp044,PBI_ENBY_44,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20210403,-
2656577,60328331,45,I5H35_gp045,PBI_ENBY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328332,46,I5H35_gp046,PBI_ENBY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328333,47,I5H35_gp047,PBI_ENBY_47,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2656577,60328334,48,I5H35_gp048,PBI_ENBY_48,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210403,-
2656577,60328335,49,I5H35_gp049,PBI_ENBY_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328336,50,I5H35_gp050,PBI_ENBY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328337,52,I5H35_gp052,PBI_ENBY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328338,53,I5H35_gp053,PBI_ENBY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328339,54,I5H35_gp054,PBI_ENBY_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328340,55,I5H35_gp055,PBI_ENBY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328341,56,I5H35_gp056,PBI_ENBY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328342,57,I5H35_gp057,PBI_ENBY_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656577,60328343,58,I5H35_gp058,PBI_ENBY_58,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210313,-
2656577,60328344,59,I5H35_gp059,PBI_ENBY_59,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210313,-
2656577,60328345,60,I5H35_gp060,PBI_ENBY_60,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2656577,60328346,61,I5H35_gp061,PBI_ENBY_61,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210417,-
2656577,60328347,62,I5H35_gp062,PBI_ENBY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328348,63,I5H35_gp063,PBI_ENBY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328349,64,I5H35_gp064,PBI_ENBY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2656577,60328350,65,I5H35_gp065,PBI_ENBY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2656577,60328351,66,I5H35_gp066,PBI_ENBY_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201217,-
2656577,60328352,67,I5H35_gp067,PBI_ENBY_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328353,68,I5H35_gp068,PBI_ENBY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328354,69,I5H35_gp069,PBI_ENBY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328355,70,I5H35_gp070,PBI_ENBY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328356,71,I5H35_gp071,PBI_ENBY_71,-,-,-,PAPS reductase-like domain protein,protein-coding,-,-,-,PAPS reductase-like domain protein,20201129,-
2656577,60328357,72,I5H35_gp072,PBI_ENBY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328358,73,I5H35_gp073,PBI_ENBY_73,-,-,-,G-I-Y-Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y-Y-I-G endonuclease,20201217,-
2656577,60328359,74,I5H35_gp074,PBI_ENBY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328360,75,I5H35_gp075,PBI_ENBY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328361,76,I5H35_gp076,PBI_ENBY_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328362,77,I5H35_gp077,PBI_ENBY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328363,78,I5H35_gp078,PBI_ENBY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328364,79,I5H35_gp079,PBI_ENBY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328365,80,I5H35_gp080,PBI_ENBY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2656577,60328366,81,I5H35_gp081,PBI_ENBY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328367,82,I5H35_gp082,PBI_ENBY_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328368,83,I5H35_gp083,PBI_ENBY_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328369,84,I5H35_gp084,PBI_ENBY_84,-,-,-,MPME 1 protein,protein-coding,-,-,-,MPME 1 protein,20201129,-
2656577,60328370,85,I5H35_gp085,PBI_ENBY_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328371,87,I5H35_gp087,PBI_ENBY_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328372,88,I5H35_gp088,PBI_ENBY_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328373,89,I5H35_gp089,PBI_ENBY_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328374,90,I5H35_gp090,PBI_ENBY_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328375,91,I5H35_gp091,PBI_ENBY_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328376,92,I5H35_gp092,PBI_ENBY_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328377,93,I5H35_gp093,PBI_ENBY_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328378,95,I5H35_gp095,PBI_ENBY_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328379,96,I5H35_gp096,PBI_ENBY_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328380,97,I5H35_gp097,PBI_ENBY_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328381,98,I5H35_gp098,PBI_ENBY_98,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,20210129,-
2656577,60328382,99,I5H35_gp099,PBI_ENBY_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328383,100,I5H35_gp100,PBI_ENBY_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328384,101,I5H35_gp101,PBI_ENBY_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328385,102,I5H35_gp102,PBI_ENBY_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328386,103,I5H35_gp103,PBI_ENBY_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328387,104,I5H35_gp104,PBI_ENBY_104,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210406,-
2656577,60328388,105,I5H35_gp105,PBI_ENBY_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328389,106,I5H35_gp106,PBI_ENBY_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328390,107,I5H35_gp107,PBI_ENBY_107,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2656577,60328391,94,I5H35_gp094,PBI_ENBY_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328392,39,I5H35_gp039,PBI_ENBY_39,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201129,-
2656577,60328393,42,I5H35_gp042,PBI_ENBY_42,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2656577,60328394,86,I5H35_gp086,PBI_ENBY_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656577,60328395,51,I5H35_gp051,PBI_ENBY_51,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2656577,60328396,1,I5H35_gp001,PBI_ENBY_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
