#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2662293,56133004,H1N76_gp02,H1N76_gp02,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210417,-
2662293,56133005,H1N76_gp03,H1N76_gp03,-,-,-,-,antirepressor protein,protein-coding,-,-,-,antirepressor protein,20210417,-
2662293,56133006,H1N76_gp04,H1N76_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133007,H1N76_gp05,H1N76_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2662293,56133008,H1N76_gp06,H1N76_gp06,-,-,-,-,antirepressor protein,protein-coding,-,-,-,antirepressor protein,20200926,-
2662293,56133009,H1N76_gp07,H1N76_gp07,-,-,-,-,antirepressor protein,protein-coding,-,-,-,antirepressor protein,20210424,-
2662293,56133010,H1N76_gp08,H1N76_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133011,H1N76_gp09,H1N76_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133012,H1N76_gp10,H1N76_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133013,H1N76_gp11,H1N76_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2662293,56133014,H1N76_gp12,H1N76_gp12,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210424,-
2662293,56133015,H1N76_gp13,H1N76_gp13,-,-,-,-,DNA replication protein,protein-coding,-,-,-,DNA replication protein,20200724,-
2662293,56133016,H1N76_gp14,H1N76_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133017,H1N76_gp15,H1N76_gp15,-,-,-,-,helicase loader,protein-coding,-,-,-,helicase loader,20200912,-
2662293,56133018,H1N76_gp16,H1N76_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133019,H1N76_gp17,H1N76_gp17,-,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20200926,-
2662293,56133020,H1N76_gp18,H1N76_gp18,-,-,-,-,mobile element protein,protein-coding,-,-,-,mobile element protein,20200912,-
2662293,56133021,H1N76_gp19,H1N76_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133022,H1N76_gp20,H1N76_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133023,H1N76_gp21,H1N76_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133024,H1N76_gp22,H1N76_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133025,H1N76_gp23,H1N76_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133026,H1N76_gp24,H1N76_gp24,-,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20210417,-
2662293,56133027,H1N76_gp25,H1N76_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133028,H1N76_gp26,H1N76_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133029,H1N76_gp27,H1N76_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133030,H1N76_gp28,H1N76_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133031,H1N76_gp29,H1N76_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133032,H1N76_gp30,H1N76_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133033,H1N76_gp31,H1N76_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133034,H1N76_gp32,H1N76_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133035,H1N76_gp33,H1N76_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2662293,56133036,H1N76_gp34,H1N76_gp34,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2662293,56133037,H1N76_gp35,H1N76_gp35,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210424,-
2662293,56133038,H1N76_gp36,H1N76_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133039,H1N76_gp37,H1N76_gp37,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210424,-
2662293,56133040,H1N76_gp38,H1N76_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133041,H1N76_gp39,H1N76_gp39,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200724,-
2662293,56133042,H1N76_gp40,H1N76_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133043,H1N76_gp41,H1N76_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133044,H1N76_gp42,H1N76_gp42,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210417,-
2662293,56133045,H1N76_gp43,H1N76_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133046,H1N76_gp44,H1N76_gp44,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200912,-
2662293,56133047,H1N76_gp45,H1N76_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662293,56133048,H1N76_gp46,H1N76_gp46,-,-,-,-,peptide methionine sulfoxide reductase domain protein,protein-coding,-,-,-,peptide methionine sulfoxide reductase domain protein,20200724,-
2662293,56133049,H1N76_gp47,H1N76_gp47,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20200912,-
2662293,56133050,H1N76_gp48,H1N76_gp48,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210424,-
2662293,56133051,H1N76_gp49,H1N76_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2662293,56133052,H1N76_gp50,H1N76_gp50,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20200724,-
2662293,56133053,H1N76_gp51,H1N76_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2662293,56133054,H1N76_gp52,H1N76_gp52,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20200926,-
2662293,56133055,H1N76_gp01,H1N76_gp01,-,-,-,-,repressor,protein-coding,-,-,-,repressor,20200912,-
2662293,56166675,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200727,-
