#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2675240,65070286,KMD01_gp02,KMD01_gp02,CHPC1170_000180,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2675240,65070287,KMD01_gp03,KMD01_gp03,CHPC1170_000181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070288,KMD01_gp04,KMD01_gp04,CHPC1170_000182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070289,KMD01_gp05,KMD01_gp05,CHPC1170_000183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070290,KMD01_gp06,KMD01_gp06,CHPC1170_000184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070291,KMD01_gp07,KMD01_gp07,CHPC1170_000185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070292,KMD01_gp08,KMD01_gp08,CHPC1170_000186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070293,KMD01_gp09,KMD01_gp09,CHPC1170_000187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070294,KMD01_gp10,KMD01_gp10,CHPC1170_000188,-,-,-,essential recombination function protein,protein-coding,-,-,-,essential recombination function protein,20210608,-
2675240,65070295,KMD01_gp11,KMD01_gp11,CHPC1170_000189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070296,KMD01_gp12,KMD01_gp12,CHPC1170_000190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070297,KMD01_gp13,KMD01_gp13,CHPC1170_000191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070298,KMD01_gp14,KMD01_gp14,CHPC1170_000192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070299,KMD01_gp15,KMD01_gp15,CHPC1170_000193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070300,KMD01_gp16,KMD01_gp16,CHPC1170_000194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070301,KMD01_gp17,KMD01_gp17,CHPC1170_000195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070302,KMD01_gp18,KMD01_gp18,CHPC1170_000196,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210608,-
2675240,65070303,KMD01_gp19,KMD01_gp19,CHPC1170_000197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070304,KMD01_gp20,KMD01_gp20,CHPC1170_000198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070305,KMD01_gp21,KMD01_gp21,CHPC1170_000199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070306,KMD01_gp22,KMD01_gp22,CHPC1170_000200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070307,KMD01_gp23,KMD01_gp23,CHPC1170_000201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070308,KMD01_gp24,KMD01_gp24,CHPC1170_000202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070309,KMD01_gp25,KMD01_gp25,CHPC1170_000203,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210608,-
2675240,65070310,KMD01_gp26,KMD01_gp26,CHPC1170_000204,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210608,-
2675240,65070311,KMD01_gp27,KMD01_gp27,CHPC1170_000205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070312,KMD01_gp28,KMD01_gp28,CHPC1170_000206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070313,KMD01_gp29,KMD01_gp29,CHPC1170_000207,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210608,-
2675240,65070314,KMD01_gp30,KMD01_gp30,CHPC1170_000208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070315,KMD01_gp31,KMD01_gp31,CHPC1170_000209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070316,KMD01_gp32,KMD01_gp32,CHPC1170_000210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070317,KMD01_gp33,KMD01_gp33,CHPC1170_000211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070318,KMD01_gp34,KMD01_gp34,CHPC1170_000212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070319,KMD01_gp35,KMD01_gp35,CHPC1170_000213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070320,KMD01_gp36,KMD01_gp36,CHPC1170_000214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070321,KMD01_gp37,KMD01_gp37,CHPC1170_000215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070322,KMD01_gp38,KMD01_gp38,CHPC1170_000216,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210608,-
2675240,65070323,KMD01_gp39,KMD01_gp39,CHPC1170_000217,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210608,-
2675240,65070324,KMD01_gp40,KMD01_gp40,CHPC1170_000218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65070325,KMD01_gp01,KMD01_gp01,CHPC1170_000179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675240,65243292,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
