#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713304,55818628,HYQ38_gp002,HYQ38_gp002,maane_2,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210129,-
2713304,55818629,HYQ38_gp003,HYQ38_gp003,maane_3,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20200910,-
2713304,55818630,HYQ38_gp004,HYQ38_gp004,maane_4,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713304,55818631,HYQ38_gp005,HYQ38_gp005,maane_5,-,-,-,tailspike,protein-coding,-,-,-,tailspike,20210129,-
2713304,55818632,HYQ38_gp006,HYQ38_gp006,maane_6,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210403,-
2713304,55818633,HYQ38_gp007,HYQ38_gp007,maane_7,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210129,-
2713304,55818634,HYQ38_gp008,HYQ38_gp008,maane_8,-,-,-,VrlC protein,protein-coding,-,-,-,VrlC protein,20210129,-
2713304,55818635,HYQ38_gp009,HYQ38_gp009,maane_9,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713304,55818636,HYQ38_gp010,HYQ38_gp010,maane_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713304,55818637,HYQ38_gp011,HYQ38_gp011,maane_11,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200919,-
2713304,55818638,HYQ38_gp012,HYQ38_gp012,maane_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713304,55818639,HYQ38_gp013,HYQ38_gp013,maane_13,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200919,-
2713304,55818640,HYQ38_gp014,HYQ38_gp014,maane_14,-,-,-,proximal tail sheath stabilization protein,protein-coding,-,-,-,proximal tail sheath stabilization protein,20210313,-
2713304,55818641,HYQ38_gp015,HYQ38_gp015,maane_15,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20200919,-
2713304,55818642,HYQ38_gp016,HYQ38_gp016,maane_16,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20210313,-
2713304,55818643,HYQ38_gp017,HYQ38_gp017,maane_17,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210129,-
2713304,55818644,HYQ38_gp018,HYQ38_gp018,maane_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713304,55818645,HYQ38_gp019,HYQ38_gp019,maane_19,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210129,-
2713304,55818646,HYQ38_gp020,HYQ38_gp020,maane_20,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20200926,-
2713304,55818647,HYQ38_gp021,HYQ38_gp021,maane_21,-,-,-,portal vertex protein of the head,protein-coding,-,-,-,portal vertex protein of the head,20210129,-
2713304,55818648,HYQ38_gp022,HYQ38_gp022,maane_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713304,55818649,HYQ38_gp023,HYQ38_gp023,maane_23,-,-,-,putative prohead core protein,protein-coding,-,-,-,putative prohead core protein,20200910,-
2713304,55818650,HYQ38_gp024,HYQ38_gp024,maane_24,-,-,-,prohead core and protease,protein-coding,-,-,-,prohead core and protease,20210129,-
