#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2723896,55630129,HWD29_gp002,HWD29_gp002,kps8_002,-,-,-,rIIB lysis inhibitor,protein-coding,-,-,-,rIIB lysis inhibitor,20200620,-
2723896,55630130,HWD29_gp003,HWD29_gp003,kps8_003,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210212,-
2723896,55630131,HWD29_gp004,HWD29_gp004,kps8_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630132,HWD29_gp005,HWD29_gp005,kps8_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630133,HWD29_gp006,HWD29_gp006,kps8_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630134,HWD29_gp007,HWD29_gp007,kps8_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630135,HWD29_gp008,HWD29_gp008,kps8_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630136,HWD29_gp009,HWD29_gp009,kps8_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630137,HWD29_gp010,HWD29_gp010,kps8_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630138,HWD29_gp011,HWD29_gp011,kps8_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630139,HWD29_gp012,HWD29_gp012,kps8_012,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210327,-
2723896,55630140,HWD29_gp013,HWD29_gp013,kps8_013,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210327,-
2723896,55630141,HWD29_gp014,HWD29_gp014,kps8_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630142,HWD29_gp015,HWD29_gp015,kps8_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630143,HWD29_gp016,HWD29_gp016,kps8_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2723896,55630144,HWD29_gp017,HWD29_gp017,kps8_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630145,HWD29_gp018,HWD29_gp018,kps8_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630146,HWD29_gp019,HWD29_gp019,kps8_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630147,HWD29_gp020,HWD29_gp020,kps8_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630148,HWD29_gp021,HWD29_gp021,kps8_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630149,HWD29_gp022,HWD29_gp022,kps8_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630150,HWD29_gp023,HWD29_gp023,kps8_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
