#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2723899,65124878,KNU95_gp02,KNU95_gp02,XccvBFoX3_gp02,-,-,-,glycolate dehydrogenase,protein-coding,-,-,-,glycolate dehydrogenase,20210608,-
2723899,65124879,KNU95_gp03,KNU95_gp03,XccvBFoX3_gp03,-,-,-,"head, terminase DNA packaging protein A",protein-coding,-,-,-,"head, terminase DNA packaging protein A",20210608,-
2723899,65124880,KNU95_gp04,KNU95_gp04,XccvBFoX3_gp04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124881,KNU95_gp05,KNU95_gp05,XccvBFoX3_gp05,-,-,-,"head, portal protein B",protein-coding,-,-,-,"head, portal protein B",20210608,-
2723899,65124882,KNU95_gp06,KNU95_gp06,XccvBFoX3_gp06,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2723899,65124883,KNU95_gp07,KNU95_gp07,XccvBFoX3_gp07c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124884,KNU95_gp08,KNU95_gp08,XccvBFoX3_gp08c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124885,KNU95_gp09,KNU95_gp09,XccvBFoX3_gp09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124886,KNU95_gp10,KNU95_gp10,XccvBFoX3_gp10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124887,KNU95_gp11,KNU95_gp11,XccvBFoX3_gp11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124888,KNU95_gp12,KNU95_gp12,XccvBFoX3_gp12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124889,KNU95_gp13,KNU95_gp13,XccvBFoX3_gp13,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2723899,65124890,KNU95_gp14,KNU95_gp14,XccvBFoX3_gp14,-,-,-,baseplate assembly protein V,protein-coding,-,-,-,baseplate assembly protein V,20210608,-
2723899,65124891,KNU95_gp15,KNU95_gp15,XccvBFoX3_gp15,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20210608,-
2723899,65124892,KNU95_gp16,KNU95_gp16,XccvBFoX3_gp16,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20210608,-
2723899,65124893,KNU95_gp17,KNU95_gp17,XccvBFoX3_gp17,-,-,-,tail formation protein,protein-coding,-,-,-,tail formation protein,20210608,-
2723899,65124894,KNU95_gp18,KNU95_gp18,XccvBFoX3_gp18,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210608,-
2723899,65124895,KNU95_gp19,KNU95_gp19,XccvBFoX3_gp19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124896,KNU95_gp20,KNU95_gp20,XccvBFoX3_gp20,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20210608,-
2723899,65124897,KNU95_gp21,KNU95_gp21,XccvBFoX3_gp21,-,-,-,major tail tube protein,protein-coding,-,-,-,major tail tube protein,20210608,-
2723899,65124898,KNU95_gp22,KNU95_gp22,XccvBFoX3_gp22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124899,KNU95_gp23,KNU95_gp23,XccvBFoX3_gp23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124900,KNU95_gp24,KNU95_gp24,XccvBFoX3_gp24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124901,KNU95_gp25,KNU95_gp25,XccvBFoX3_gp25,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210608,-
2723899,65124902,KNU95_gp26,KNU95_gp26,XccvBFoX3_gp26,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210608,-
2723899,65124903,KNU95_gp27,KNU95_gp27,XccvBFoX3_gp27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124904,KNU95_gp28,KNU95_gp28,XccvBFoX3_gp28,-,-,-,gene D protein,protein-coding,-,-,-,gene D protein,20210608,-
2723899,65124905,KNU95_gp29,KNU95_gp29,XccvBFoX3_gp29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124906,KNU95_gp30,KNU95_gp30,XccvBFoX3_gp30,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210608,-
2723899,65124907,KNU95_gp31,KNU95_gp31,XccvBFoX3_gp31c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124908,KNU95_gp32,KNU95_gp32,XccvBFoX3_gp32c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124909,KNU95_gp33,KNU95_gp33,XccvBFoX3_gp33c,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210608,-
2723899,65124910,KNU95_gp34,KNU95_gp34,XccvBFoX3_gp34c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124911,KNU95_gp35,KNU95_gp35,XccvBFoX3_gp35c,-,-,-,putative MerR transcription regulator,protein-coding,-,-,-,putative MerR transcription regulator,20210608,-
2723899,65124912,KNU95_gp36,KNU95_gp36,XccvBFoX3_gp36c,-,-,-,putative replicative DNA helicase,protein-coding,-,-,-,putative replicative DNA helicase,20210608,-
2723899,65124913,KNU95_gp37,KNU95_gp37,XccvBFoX3_gp37c,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210608,-
2723899,65124914,KNU95_gp38,KNU95_gp38,XccvBFoX3_gp38c,-,-,-,exodeoxyribonuclease VIII,protein-coding,-,-,-,exodeoxyribonuclease VIII,20210608,-
2723899,65124915,KNU95_gp39,KNU95_gp39,XccvBFoX3_gp39c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723899,65124916,KNU95_gp40,KNU95_gp40,XccvBFoX3_gp40,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20210608,-
2723899,65124917,KNU95_gp41,KNU95_gp41,XccvBFoX3_gp41,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20210608,-
2723899,65124918,KNU95_gp42,KNU95_gp42,XccvBFoX3_gp42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
