#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
272630,8006905,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Methylobacterium extorquens AM1; Pseudomonas sp. AM1).,other,-,-,-,-,20210407,-
272630,29614208,MEXAM1_RS14030,MEXAM1_RS14030,MexAM1_META1ptRNA34,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29614253,MEXAM1_RS00290,MEXAM1_RS00290,MexAM1_META1ptRNA1,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29614260,MEXAM1_RS15505,MEXAM1_RS15505,MexAM1_META1ptRNA16,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29614353,MEXAM1_RS01145,MEXAM1_RS01145,MexAM1_META1ptRNA2,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29614355,MEXAM1_RS15785,MEXAM1_RS15785,MexAM1_META1ptRNA17,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29614363,MEXAM1_RS10020,MEXAM1_RS10020,MexAM1_META1ptRNA10,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29614584,MEXAM1_RS10375,MEXAM1_RS10375,MexAM1_META1ptRNA36,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29614665,MEXAM1_RS03810,MEXAM1_RS03810,MexAM1_META1ptRNA44,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29614839,MEXAM1_RS13245,MEXAM1_RS13245,MexAM1_META1ptRNA35,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29615050,MEXAM1_RS17540,MEXAM1_RS17540,MexAM1_META1ptRNA18,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29615100,MEXAM1_RS13260,MEXAM1_RS13260,MexAM1_META1ptRNA14,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29615269,MEXAM1_RS18105,MEXAM1_RS18105,MexAM1_META1ptRNA33,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29615337,MEXAM1_RS02645,MEXAM1_RS02645,MexAM1_META1ptRNA50,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29615434,MEXAM1_RS18580,MEXAM1_RS18580,MexAM1_META1ptRNA19,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29615706,MEXAM1_RS02770,MEXAM1_RS02770,MexAM1_META1ptRNA49,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29615754,MEXAM1_RS01950,MEXAM1_RS01950,MexAM1_META1ptRNA52,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29615831,MEXAM1_RS19565,MEXAM1_RS19565,MexAM1_META1ptRNA20,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29616009,MEXAM1_RS20060,MEXAM1_RS20060,MexAM1_META1ptRNA21,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29616010,MEXAM1_RS20065,MEXAM1_RS20065,MexAM1_META1ptRNA22,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29616022,MEXAM1_RS01935,MEXAM1_RS01935,MexAM1_META1ptRNA53,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29616252,MEXAM1_RS20665,MEXAM1_RS20665,MexAM1_META1ptRNA23,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29616324,MEXAM1_RS00245,MEXAM1_RS00245,MexAM1_META1ptRNA57,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29616466,MEXAM1_RS02710,MEXAM1_RS02710,MexAM1_META1ptRNA3,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29616575,MEXAM1_RS03790,MEXAM1_RS03790,MexAM1_META1ptRNA46,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29616580,MEXAM1_RS01955,MEXAM1_RS01955,MexAM1_META1ptRNA51,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29616692,MEXAM1_RS21755,MEXAM1_RS21755,MexAM1_META1ptRNA32,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29617057,MEXAM1_RS22665,MEXAM1_RS22665,MexAM1_META1ptRNA24,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
