#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
274,2827875,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (""Flavobacterium thermophilum"" Yoshida and Oshima 1971; Thermus aquaticus (SUBSP. FLAVUS); Thermus aquaticus (SUBSP. THERMOPHILUS); Thermus aquaticus flavus; Thermus aquaticus subsp. thermophilus; Thermus aquaticus thermophilus; Thermus flavus.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210522,-
274,39457818,TTHNP4_RS12620,TTHNP4_RS12620,TTHNP4_00145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
274,39457819,TTHNP4_RS12095,TTHNP4_RS12095,TTHNP4_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
274,39457849,TTHNP4_RS12580,TTHNP4_RS12580,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
274,39457868,TTHNP4_RS12055,TTHNP4_RS12055,TTHNP4_00027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
274,39457881,TTHNP4_RS13670,TTHNP4_RS13670,TTHNP4_00405,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
274,39457882,TTHNP4_RS13525,TTHNP4_RS13525,TTHNP4_00335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
274,39457888,TTHNP4_RS13625,TTHNP4_RS13625,TTHNP4_00355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
274,39457889,TTHNP4_RS13610,TTHNP4_RS13610,TTHNP4_00353,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
274,39457896,TTHNP4_RS12050,TTHNP4_RS12050,TTHNP4_00026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
274,39457920,TTHNP4_RS12845,TTHNP4_RS12845,TTHNP4_00194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
274,39457926,TTHNP4_RS12915,TTHNP4_RS12915,TTHNP4_00210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
274,39457935,TTHNP4_RS12035,TTHNP4_RS12035,TTHNP4_00022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
274,39457938,TTHNP4_RS12885,TTHNP4_RS12885,TTHNP4_00203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
274,39457942,TTHNP4_RS12790,TTHNP4_RS12790,TTHNP4_00182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
274,39457956,TTHNP4_RS11965,TTHNP4_RS11965,TTHNP4_00006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
274,39457959,TTHNP4_RS11955,TTHNP4_RS11955,TTHNP4_00004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
274,39457961,TTHNP4_RS11945,TTHNP4_RS11945,TTHNP4_00002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
