#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743931,64367612,2,KD927_gp02,SEA_RAYMOND7_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210423,-
2743931,64367613,3,KD927_gp03,SEA_RAYMOND7_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367614,4,KD927_gp04,SEA_RAYMOND7_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210522,-
2743931,64367615,5,KD927_gp05,SEA_RAYMOND7_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210522,-
2743931,64367616,6,KD927_gp06,SEA_RAYMOND7_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210522,-
2743931,64367617,7,KD927_gp07,SEA_RAYMOND7_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367618,8,KD927_gp08,SEA_RAYMOND7_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210423,-
2743931,64367619,9,KD927_gp09,SEA_RAYMOND7_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210423,-
2743931,64367620,10,KD927_gp10,SEA_RAYMOND7_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367621,11,KD927_gp11,SEA_RAYMOND7_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2743931,64367622,12,KD927_gp12,SEA_RAYMOND7_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210423,-
2743931,64367623,13,KD927_gp13,SEA_RAYMOND7_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210423,-
2743931,64367624,15,KD927_gp14,SEA_RAYMOND7_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210423,-
2743931,64367625,16,KD927_gp16,SEA_RAYMOND7_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210522,-
2743931,64367626,14,KD927_gp15,SEA_RAYMOND7_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210423,-
2743931,64367627,17,KD927_gp17,SEA_RAYMOND7_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2743931,64367628,18,KD927_gp18,SEA_RAYMOND7_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2743931,64367629,19,KD927_gp19,SEA_RAYMOND7_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2743931,64367630,20,KD927_gp20,SEA_RAYMOND7_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2743931,64367631,21,KD927_gp21,SEA_RAYMOND7_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2743931,64367632,22,KD927_gp22,SEA_RAYMOND7_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367633,24,KD927_gp24,SEA_RAYMOND7_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367634,25,KD927_gp25,SEA_RAYMOND7_25,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210522,-
2743931,64367635,26,KD927_gp26,SEA_RAYMOND7_26,-,-,-,holin,protein-coding,-,-,-,holin,20210522,-
2743931,64367636,27,KD927_gp27,SEA_RAYMOND7_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2743931,64367637,28,KD927_gp28,SEA_RAYMOND7_28,-,-,-,type 1 restriction enzyme,protein-coding,-,-,-,type 1 restriction enzyme,20210522,-
2743931,64367638,29,KD927_gp29,SEA_RAYMOND7_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367639,30,KD927_gp30,SEA_RAYMOND7_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2743931,64367640,33,KD927_gp33,SEA_RAYMOND7_33,-,-,-,excise,protein-coding,-,-,-,excise,20210522,-
2743931,64367641,35,KD927_gp35,SEA_RAYMOND7_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367642,36,KD927_gp36,SEA_RAYMOND7_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367643,37,KD927_gp37,SEA_RAYMOND7_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367644,38,KD927_gp38,SEA_RAYMOND7_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367645,39,KD927_gp39,SEA_RAYMOND7_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2743931,64367646,40,KD927_gp40,SEA_RAYMOND7_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367647,41,KD927_gp41,SEA_RAYMOND7_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367648,43,KD927_gp43,SEA_RAYMOND7_43,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210522,-
2743931,64367649,44,KD927_gp44,SEA_RAYMOND7_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367650,45,KD927_gp45,SEA_RAYMOND7_45,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20210522,-
2743931,64367651,46,KD927_gp46,SEA_RAYMOND7_46,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210522,-
2743931,64367652,47,KD927_gp47,SEA_RAYMOND7_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367653,48,KD927_gp48,SEA_RAYMOND7_48,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210522,-
2743931,64367654,49,KD927_gp49,SEA_RAYMOND7_49,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210522,-
2743931,64367655,50,KD927_gp50,SEA_RAYMOND7_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367656,51,KD927_gp51,SEA_RAYMOND7_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367657,52,KD927_gp52,SEA_RAYMOND7_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367658,53,KD927_gp53,SEA_RAYMOND7_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2743931,64367659,54,KD927_gp54,SEA_RAYMOND7_54,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210423,-
2743931,64367660,55,KD927_gp55,SEA_RAYMOND7_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
