#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2762393,62360927,2,JMN63_gp02,SEA_HARRYOW_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2762393,62360928,3,JMN63_gp03,SEA_HARRYOW_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360929,4,JMN63_gp04,SEA_HARRYOW_4,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
2762393,62360930,5,JMN63_gp05,SEA_HARRYOW_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360931,6,JMN63_gp06,SEA_HARRYOW_6,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2762393,62360932,7,JMN63_gp07,SEA_HARRYOW_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360933,8,JMN63_gp08,SEA_HARRYOW_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360934,9,JMN63_gp09,SEA_HARRYOW_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360935,10,JMN63_gp10,SEA_HARRYOW_10,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2762393,62360936,11,JMN63_gp11,SEA_HARRYOW_11,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
2762393,62360937,12,JMN63_gp12,SEA_HARRYOW_12,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210529,-
2762393,62360938,13,JMN63_gp13,SEA_HARRYOW_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2762393,62360939,14,JMN63_gp14,SEA_HARRYOW_14,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210123,-
2762393,62360940,15,JMN63_gp15,SEA_HARRYOW_15,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210123,-
2762393,62360941,16,JMN63_gp16,SEA_HARRYOW_16,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210529,-
2762393,62360942,17,JMN63_gp17,SEA_HARRYOW_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360943,18,JMN63_gp18,SEA_HARRYOW_18,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210212,-
2762393,62360944,19,JMN63_gp19,SEA_HARRYOW_19,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210123,-
2762393,62360945,20,JMN63_gp20,SEA_HARRYOW_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2762393,62360946,21,JMN63_gp21,SEA_HARRYOW_21,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
2762393,62360947,22,JMN63_gp22,SEA_HARRYOW_22,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
2762393,62360948,24,JMN63_gp23,SEA_HARRYOW_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210529,-
2762393,62360949,25,JMN63_gp25,SEA_HARRYOW_25,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
2762393,62360950,23,JMN63_gp24,SEA_HARRYOW_23,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210529,-
2762393,62360951,26,JMN63_gp26,SEA_HARRYOW_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2762393,62360952,27,JMN63_gp27,SEA_HARRYOW_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360953,28,JMN63_gp28,SEA_HARRYOW_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2762393,62360954,29,JMN63_gp29,SEA_HARRYOW_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2762393,62360955,30,JMN63_gp30,SEA_HARRYOW_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360956,31,JMN63_gp31,SEA_HARRYOW_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2762393,62360957,32,JMN63_gp32,SEA_HARRYOW_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2762393,62360958,33,JMN63_gp33,SEA_HARRYOW_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2762393,62360959,34,JMN63_gp34,SEA_HARRYOW_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360960,35,JMN63_gp35,SEA_HARRYOW_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360961,36,JMN63_gp36,SEA_HARRYOW_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360962,37,JMN63_gp37,SEA_HARRYOW_37,-,-,-,seine integrase,protein-coding,-,-,-,seine integrase,20210529,-
2762393,62360963,38,JMN63_gp38,SEA_HARRYOW_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360964,39,JMN63_gp39,SEA_HARRYOW_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360965,40,JMN63_gp40,SEA_HARRYOW_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360966,41,JMN63_gp41,SEA_HARRYOW_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360967,42,JMN63_gp42,SEA_HARRYOW_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762393,62360968,43,JMN63_gp43,SEA_HARRYOW_43,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210529,-
