#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2762402,63026218,2,J1763_gp02,SEA_YORKONYX_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210529,-
2762402,63026219,3,J1763_gp03,SEA_YORKONYX_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026220,4,J1763_gp04,SEA_YORKONYX_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026221,5,J1763_gp05,SEA_YORKONYX_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026222,6,J1763_gp06,SEA_YORKONYX_6,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210309,-
2762402,63026223,7,J1763_gp07,SEA_YORKONYX_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026224,8,J1763_gp08,SEA_YORKONYX_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026225,9,J1763_gp09,SEA_YORKONYX_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026226,10,J1763_gp10,SEA_YORKONYX_10,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210417,-
2762402,63026227,11,J1763_gp11,SEA_YORKONYX_11,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210424,-
2762402,63026228,12,J1763_gp12,SEA_YORKONYX_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210309,-
2762402,63026229,13,J1763_gp13,SEA_YORKONYX_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026230,14,J1763_gp14,SEA_YORKONYX_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026231,15,J1763_gp15,SEA_YORKONYX_15,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210529,-
2762402,63026232,16,J1763_gp16,SEA_YORKONYX_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
