#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2772080,65130630,KNV47_gp92,KNV47_gp92,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20210608,-
2772080,65130631,KNV47_gp41,KNV47_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130632,KNV47_gp17,KNV47_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130633,KNV47_gp02,KNV47_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130634,KNV47_gp03,KNV47_gp03,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210608,-
2772080,65130635,KNV47_gp04,KNV47_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130636,KNV47_gp05,KNV47_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130637,KNV47_gp06,KNV47_gp06,-,-,-,-,putative chaperonin,protein-coding,-,-,-,putative chaperonin,20210608,-
2772080,65130638,KNV47_gp07,KNV47_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130639,KNV47_gp08,KNV47_gp08,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2772080,65130640,KNV47_gp09,KNV47_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130641,KNV47_gp10,KNV47_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130642,KNV47_gp11,KNV47_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130643,KNV47_gp12,KNV47_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130644,KNV47_gp13,KNV47_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130645,KNV47_gp14,KNV47_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130646,KNV47_gp15,KNV47_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130647,KNV47_gt01,KNV47_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772080,65130648,KNV47_gp91,KNV47_gp91,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2772080,65130649,KNV47_gp90,KNV47_gp90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130650,KNV47_gp89,KNV47_gp89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130651,KNV47_gp88,KNV47_gp88,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2772080,65130652,KNV47_gp87,KNV47_gp87,-,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20210608,-
2772080,65130653,KNV47_gp86,KNV47_gp86,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2772080,65130654,KNV47_gp85,KNV47_gp85,-,-,-,-,RecA protein,protein-coding,-,-,-,RecA protein,20210608,-
2772080,65130655,KNV47_gp84,KNV47_gp84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130656,KNV47_gp83,KNV47_gp83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130657,KNV47_gp82,KNV47_gp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130658,KNV47_gp81,KNV47_gp81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130659,KNV47_gp80,KNV47_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130660,KNV47_gp79,KNV47_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130661,KNV47_gp78,KNV47_gp78,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210608,-
2772080,65130662,KNV47_gp77,KNV47_gp77,-,-,-,-,lipocalin-like protein,protein-coding,-,-,-,lipocalin-like protein,20210608,-
2772080,65130663,KNV47_gp76,KNV47_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130664,KNV47_gp75,KNV47_gp75,-,-,-,-,VOG2995,protein-coding,-,-,-,VOG2995|phosphoesterase,20210608,-
2772080,65130665,KNV47_gp74,KNV47_gp74,-,-,-,-,keratin/vimentin-like protein,protein-coding,-,-,-,keratin/vimentin-like protein,20210608,-
