#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2812854,65133616,KNV79_gp02,KNV79_gp02,-,-,-,-,FAD-dependent thymidylate synthase,protein-coding,-,-,-,FAD-dependent thymidylate synthase,20210608,-
2812854,65133617,KNV79_gp03,KNV79_gp03,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2812854,65133618,KNV79_gp04,KNV79_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2812854,65133619,KNV79_gp05,KNV79_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2812854,65133620,KNV79_gp06,KNV79_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2812854,65133621,KNV79_gp07,KNV79_gp07,-,-,-,-,ATP-dependent DNA helicase,protein-coding,-,-,-,ATP-dependent DNA helicase,20210608,-
2812854,65133622,KNV79_gp08,KNV79_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2812854,65133623,KNV79_gp09,KNV79_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2812854,65133624,KNV79_gp10,KNV79_gp10,-,-,-,-,serine/threonine-protein phosphatase,protein-coding,-,-,-,serine/threonine-protein phosphatase,20210608,-
2812854,65133625,KNV79_gp11,KNV79_gp11,-,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20210608,-
2812854,65133626,KNV79_gp12,KNV79_gp12,-,-,-,-,CLP protease putative ATP-dependent Clp protease,protein-coding,-,-,-,CLP protease putative ATP-dependent Clp protease,20210608,-
2812854,65133627,KNV79_gp13,KNV79_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2812854,65133628,KNV79_gp14,KNV79_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2812854,65133629,KNV79_gp15,KNV79_gp15,-,-,-,-,metallopeptidase,protein-coding,-,-,-,metallopeptidase,20210608,-
2812854,65133630,KNV79_gp16,KNV79_gp16,-,-,-,-,NTPase,protein-coding,-,-,-,NTPase,20210608,-
2812854,65133631,KNV79_gp17,KNV79_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2812854,65133632,KNV79_gp18,KNV79_gp18,-,-,-,-,DUF3927 domain-containing protein,protein-coding,-,-,-,DUF3927 domain-containing protein,20210608,-
