#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
29518,4237680,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Borrelia afzelii; Borrellia group VS461.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210405,-
29518,39464309,BLA32_RS06215,BLA32_RS06215,BLA32_06210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464315,BLA32_RS06330,BLA32_RS06330,BLA32_06325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
29518,39464316,BLA32_RS06310,BLA32_RS06310,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
29518,39464323,BLA32_RS06415,BLA32_RS06415,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
29518,39464324,BLA32_RS06420,BLA32_RS06420,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
29518,39464328,BLA32_RS06265,BLA32_RS06265,BLA32_06265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464331,BLA32_RS06245,BLA32_RS06245,BLA32_06245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464334,BLA32_RS06225,BLA32_RS06225,BLA32_06225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464336,BLA32_RS06230,BLA32_RS06230,BLA32_06230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464339,BLA32_RS04815,BLA32_RS04815,BLA32_04815,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464341,BLA32_RS04840,BLA32_RS04840,BLA32_04840,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464342,BLA32_RS04835,BLA32_RS04835,BLA32_04835,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464344,BLA32_RS04905,BLA32_RS04905,BLA32_04905,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464354,BLA32_RS04900,BLA32_RS04900,BLA32_04900,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464355,BLA32_RS04845,BLA32_RS04845,BLA32_04845,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
29518,39464356,BLA32_RS04890,BLA32_RS04890,BLA32_04890,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464358,BLA32_RS04785,BLA32_RS04785,BLA32_04785,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464360,BLA32_RS04860,BLA32_RS04860,BLA32_04860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464363,BLA32_RS04790,BLA32_RS04790,BLA32_04790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464367,BLA32_RS06175,BLA32_RS06175,BLA32_06170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464371,BLA32_RS06125,BLA32_RS06125,BLA32_06120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464374,BLA32_RS05885,BLA32_RS05885,BLA32_05880,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464398,BLA32_RS05805,BLA32_RS05805,BLA32_05800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464403,BLA32_RS05780,BLA32_RS05780,BLA32_05775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464412,BLA32_RS05660,BLA32_RS05660,BLA32_05655,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464414,BLA32_RS05670,BLA32_RS05670,BLA32_05665,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464417,BLA32_RS05655,BLA32_RS05655,BLA32_05650,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464421,BLA32_RS05685,BLA32_RS05685,BLA32_05680,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464427,BLA32_RS05625,BLA32_RS05625,BLA32_05620,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464431,BLA32_RS05605,BLA32_RS05605,BLA32_05600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464435,BLA32_RS05585,BLA32_RS05585,BLA32_05580,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464437,BLA32_RS05570,BLA32_RS05570,BLA32_05565,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
