#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
3077,809099,psbF,ChvulCp068,-,-,-,-,photosystem II protein VI,protein-coding,-,-,-,photosystem II protein VI,20200908,-
3077,809100,minD,ChvulCp116,-,-,-,-,septum-site determining protein,protein-coding,-,-,-,septum-site determining protein,20201010,-
3077,809101,rpoA,ChvulCp162,-,-,-,-,RNA polymerase alpha chain,protein-coding,-,-,-,RNA polymerase alpha chain,20200908,-
3077,809102,psbE,ChvulCp070,-,-,-,-,photosystem II protein V,protein-coding,-,-,-,photosystem II protein V,20201010,-
3077,809103,rpl36,ChvulCp165,secX,-,-,-,ribosomal protein L36,protein-coding,-,-,-,ribosomal protein L36,20191214,-
3077,809104,cemA,ChvulCp001,ycf10,-,-,-,envelope membrane protein,protein-coding,-,-,-,envelope membrane protein,20191214,-
3077,809105,rps7,ChvulCp051,-,-,-,-,ribosomal protein S7,protein-coding,-,-,-,ribosomal protein S7,20200908,-
3077,809106,psbD,ChvulCp042,-,-,-,-,photosystem II protein D2,protein-coding,-,-,-,photosystem II protein D2,20200908,-
3077,809107,atpB,ChvulCp148,-,-,-,-,ATP synthase CF1 beta subunit,protein-coding,-,-,-,ATP synthase CF1 beta subunit,20201003,-
3077,809108,psbC,ChvulCp041,-,-,-,-,photosystem II 44 kDa protein,protein-coding,-,-,-,photosystem II 44 kDa protein,20191214,-
3077,809109,trnfM,ChvulCt188,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809110,psbI,ChvulCp028,-,-,-,-,photosystem II protein I,protein-coding,-,-,-,photosystem II protein I,20200908,-
3077,809111,rpoB,ChvulCp135,-,-,-,-,RNA polymerase beta'' chain,protein-coding,-,-,-,RNA polymerase beta'' chain,20200908,-
3077,809112,psbB,ChvulCp090,-,-,-,-,photosystem II 47 kDa protein,protein-coding,-,-,-,photosystem II 47 kDa protein,20200908,-
3077,809113,rpl32,ChvulCp131,-,-,-,-,ribosomal protein L32,protein-coding,-,-,-,ribosomal protein L32,20201003,-
3077,809114,ycf12,ChvulCp105,-,-,-,-,Ycf12,protein-coding,-,-,-,Ycf12,20200908,-
3077,809115,rpoC1,ChvulCp136,-,-,-,-,RNA polymerase beta' chain,protein-coding,-,-,-,RNA polymerase beta' chain,20200908,-
3077,809116,petB,ChvulCp079,-,-,-,-,cytochrome b6,protein-coding,-,-,-,cytochrome b6,20201010,-
3077,809117,rps4,ChvulCp146,-,-,-,-,ribosomal protein S4,protein-coding,-,-,-,ribosomal protein S4,20200908,-
3077,809118,psbA,ChvulCp007,-,-,-,-,photosystem II protein D1,protein-coding,-,-,-,photosystem II protein D1,20200908,-
3077,809119,rpoC2,ChvulCp137,-,-,-,-,RNA polymerase beta'' subunit,protein-coding,-,-,-,RNA polymerase beta'' subunit,20191214,-
3077,809120,psaJ,ChvulCp049,-,-,-,-,photosystem I subunit IX,protein-coding,-,-,-,photosystem I subunit IX,20201010,-
3077,809121,cysT,ChvulCp132,-,-,-,-,sulfate transport protein,protein-coding,-,-,-,sulfate transport protein,20201010,-
3077,809122,cysA,ChvulCp073,-,-,-,-,sulfate ABC transporter protein,protein-coding,-,-,-,sulfate ABC transporter protein,20201003,-
3077,809123,psaI,ChvulCp075,-,-,-,-,photosystem I subunit VIII,protein-coding,-,-,-,photosystem I subunit VIII,20191214,-
3077,809124,psaC,ChvulCp011,-,-,-,-,photosystem I subunit VII,protein-coding,-,-,-,photosystem I subunit VII,20200908,-
3077,809125,clpP,ChvulCp080,-,-,-,-,ATP-dependent Clp protease proteolytic subunit,protein-coding,-,-,-,ATP-dependent Clp protease proteolytic subunit,20200908,-
3077,809126,petG,ChvulCp150,-,-,-,-,cytochrome b6/f complex subunit V,protein-coding,-,-,-,cytochrome b6/f complex subunit V,20201003,-
3077,809127,chlL,ChvulCp125,-,-,-,-,photochlorophyllide reductase subunit L,protein-coding,-,-,-,photochlorophyllide reductase subunit L,20201003,-
3077,809128,rps11,ChvulCp164,-,-,-,-,ribosomal protein S11,protein-coding,-,-,-,ribosomal protein S11,20200908,-
3077,809129,trnG,ChvulCt200,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
3077,809130,psaB,ChvulCp093,-,-,-,-,photosystem I P700 chlorophyll a apoprotein A2,protein-coding,-,-,-,photosystem I P700 chlorophyll a apoprotein A2,20200908,-
3077,809131,rpl16,ChvulCp171,-,-,-,-,ribosomal protein L16,protein-coding,-,-,-,ribosomal protein L16,20191214,-
3077,809132,petD,ChvulCp077,-,-,-,-,cytochrome b6/f complex subunit IV,protein-coding,-,-,-,cytochrome b6/f complex subunit IV,20200908,-
