#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
319522,11459255,terL,GoPhGTE5p15,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
319522,11459256,terS,GoPhGTE5p14,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
319522,11459663,GoPhGTE5p24,GoPhGTE5p24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459664,GoPhGTE5p11,GoPhGTE5p11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459665,GoPhGTE5p12,GoPhGTE5p12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459666,GoPhGTE5p13,GoPhGTE5p13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459667,GoPhGTE5p16,GoPhGTE5p16,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
319522,11459668,GoPhGTE5p17,GoPhGTE5p17,-,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20201220,-
319522,11459669,GoPhGTE5p18,GoPhGTE5p18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459670,GoPhGTE5p19,GoPhGTE5p19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459671,GoPhGTE5p20,GoPhGTE5p20,-,-,-,-,main capsid protein,protein-coding,-,-,-,main capsid protein,20201220,-
319522,11459672,GoPhGTE5p21,GoPhGTE5p21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459673,GoPhGTE5p22,GoPhGTE5p22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459674,GoPhGTE5p23,GoPhGTE5p23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459675,GoPhGTE5p25,GoPhGTE5p25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459676,GoPhGTE5p26,GoPhGTE5p26,-,-,-,-,main tail protein,protein-coding,-,-,-,main tail protein,20201220,-
319522,11459677,GoPhGTE5p27,GoPhGTE5p27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459678,GoPhGTE5p28,GoPhGTE5p28,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201220,-
319522,11459679,GoPhGTE5p29,GoPhGTE5p29,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201220,-
319522,11459680,GoPhGTE5p30,GoPhGTE5p30,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20201220,-
319522,11459681,GoPhGTE5p31,GoPhGTE5p31,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20201220,-
319522,11459682,GoPhGTE5p32,GoPhGTE5p32,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20201220,-
319522,11459683,GoPhGTE5p33,GoPhGTE5p33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459684,GoPhGTE5p34,GoPhGTE5p34,-,-,-,-,putative carbohydrate binding domain protein,protein-coding,-,-,-,putative carbohydrate binding domain protein,20201220,-
319522,11459685,GoPhGTE5p36,GoPhGTE5p36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459686,GoPhGTE5p35,GoPhGTE5p35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459687,GoPhGTE5p37,GoPhGTE5p37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459688,GoPhGTE5p38,GoPhGTE5p38,-,-,-,-,putative lysis protein,protein-coding,-,-,-,putative lysis protein,20201220,-
319522,11459689,GoPhGTE5p39,GoPhGTE5p39,-,-,-,-,putative lysis protein,protein-coding,-,-,-,putative lysis protein,20201220,-
319522,11459690,GoPhGTE5p40,GoPhGTE5p40,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201220,-
319522,11459691,GoPhGTE5p41,GoPhGTE5p41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459692,GoPhGTE5p42,GoPhGTE5p42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
319522,11459693,GoPhGTE5p43,GoPhGTE5p43,-,-,-,-,primase,protein-coding,-,-,-,primase,20201220,-
