#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
325777,58113918,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200803,-
325777,61838412,XavaCFBP5823_RS00005,XavaCFBP5823_RS00005,XavaCFBP5823_00005,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838413,greB,XavaCFBP5823_RS00010,XavaCFBP5823_00010,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838414,rimO,XavaCFBP5823_RS00015,XavaCFBP5823_00015,-,-,-,30S ribosomal protein S12 methylthiotransferase RimO,protein-coding,-,-,-,30S ribosomal protein S12 methylthiotransferase RimO,20201229,-
325777,61838415,XavaCFBP5823_RS00020,XavaCFBP5823_RS00020,XavaCFBP5823_00020,-,-,-,dienelactone hydrolase family protein,protein-coding,-,-,-,dienelactone hydrolase family protein,20201229,-
325777,61838416,XavaCFBP5823_RS00025,XavaCFBP5823_RS00025,XavaCFBP5823_00025,-,-,-,HIT family protein,protein-coding,-,-,-,HIT family protein,20201229,-
325777,61838417,XavaCFBP5823_RS00030,XavaCFBP5823_RS00030,XavaCFBP5823_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
325777,61838418,XavaCFBP5823_RS00040,XavaCFBP5823_RS00040,XavaCFBP5823_00040,-,-,-,dCTP deaminase,protein-coding,-,-,-,dCTP deaminase,20201229,-
325777,61838419,apbC,XavaCFBP5823_RS00050,XavaCFBP5823_00050,-,-,-,iron-sulfur cluster carrier protein ApbC,protein-coding,-,-,-,iron-sulfur cluster carrier protein ApbC,20201229,-
325777,61838420,XavaCFBP5823_RS00055,XavaCFBP5823_RS00055,XavaCFBP5823_00055,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838421,XavaCFBP5823_RS00060,XavaCFBP5823_RS00060,XavaCFBP5823_00060,-,-,-,TonB-dependent receptor,protein-coding,-,-,-,TonB-dependent receptor,20201229,-
325777,61838422,XavaCFBP5823_RS00065,XavaCFBP5823_RS00065,XavaCFBP5823_00065,-,-,-,NAD(P)/FAD-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)/FAD-dependent oxidoreductase,20201229,-
325777,61838423,XavaCFBP5823_RS00070,XavaCFBP5823_RS00070,XavaCFBP5823_00070,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210123,-
325777,61838424,XavaCFBP5823_RS00080,XavaCFBP5823_RS00080,XavaCFBP5823_00080,-,-,-,M13 family metallopeptidase,protein-coding,-,-,-,M13 family metallopeptidase,20201229,-
325777,61838425,XavaCFBP5823_RS00085,XavaCFBP5823_RS00085,XavaCFBP5823_00085,-,-,-,M13 family metallopeptidase,protein-coding,-,-,-,M13 family metallopeptidase,20201229,-
325777,61838426,XavaCFBP5823_RS00090,XavaCFBP5823_RS00090,XavaCFBP5823_00090,-,-,-,rhomboid family intramembrane serine protease,protein-coding,-,-,-,rhomboid family intramembrane serine protease,20201229,-
325777,61838427,XavaCFBP5823_RS00095,XavaCFBP5823_RS00095,XavaCFBP5823_00095,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838428,gorA,XavaCFBP5823_RS00100,XavaCFBP5823_00105,-,-,-,glutathione-disulfide reductase,protein-coding,-,-,-,glutathione-disulfide reductase,20201229,-
325777,61838429,XavaCFBP5823_RS00105,XavaCFBP5823_RS00105,XavaCFBP5823_00110,-,-,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20201227,-
325777,61838430,XavaCFBP5823_RS00110,XavaCFBP5823_RS00110,XavaCFBP5823_00115,-,-,-,DUF418 domain-containing protein,protein-coding,-,-,-,DUF418 domain-containing protein,20201229,-
325777,61838431,XavaCFBP5823_RS00115,XavaCFBP5823_RS00115,XavaCFBP5823_00120,-,-,-,peptidylprolyl isomerase,protein-coding,-,-,-,peptidylprolyl isomerase,20201229,-
325777,61838432,XavaCFBP5823_RS00120,XavaCFBP5823_RS00120,XavaCFBP5823_00125,-,-,-,C40 family peptidase,protein-coding,-,-,-,C40 family peptidase,20201229,-
325777,61838433,XavaCFBP5823_RS00125,XavaCFBP5823_RS00125,XavaCFBP5823_00130,-,-,-,C40 family peptidase,protein-coding,-,-,-,C40 family peptidase,20201229,-
325777,61838434,XavaCFBP5823_RS00130,XavaCFBP5823_RS00130,XavaCFBP5823_00135,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838435,XavaCFBP5823_RS00135,XavaCFBP5823_RS00135,XavaCFBP5823_00140,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20201229,-
325777,61838436,XavaCFBP5823_RS00140,XavaCFBP5823_RS00140,XavaCFBP5823_00145,-,-,-,dicarboxylate/amino acid:cation symporter,protein-coding,-,-,-,dicarboxylate/amino acid:cation symporter,20201229,-
325777,61838437,XavaCFBP5823_RS00145,XavaCFBP5823_RS00145,XavaCFBP5823_00150,-,-,-,alkaline phosphatase,protein-coding,-,-,-,alkaline phosphatase,20201229,-
325777,61838438,tilS,XavaCFBP5823_RS00155,XavaCFBP5823_00160,-,-,-,tRNA lysidine(34) synthetase TilS,protein-coding,-,-,-,tRNA lysidine(34) synthetase TilS,20201229,-
325777,61838439,XavaCFBP5823_RS00160,XavaCFBP5823_RS00160,XavaCFBP5823_00165,-,-,-,exodeoxyribonuclease VII small subunit,protein-coding,-,-,-,exodeoxyribonuclease VII small subunit,20201230,-
325777,61838440,XavaCFBP5823_RS00165,XavaCFBP5823_RS00165,XavaCFBP5823_00170,-,-,-,polyprenyl synthetase family protein,protein-coding,-,-,-,polyprenyl synthetase family protein,20201229,-
325777,61838441,XavaCFBP5823_RS00175,XavaCFBP5823_RS00175,XavaCFBP5823_00175,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838442,XavaCFBP5823_RS00180,XavaCFBP5823_RS00180,XavaCFBP5823_00180,-,-,-,DUF4870 domain-containing protein,protein-coding,-,-,-,DUF4870 domain-containing protein,20201229,-
325777,61838443,pmbA,XavaCFBP5823_RS00185,XavaCFBP5823_00185,-,-,-,metalloprotease PmbA,protein-coding,-,-,-,metalloprotease PmbA,20201229,-
325777,61838444,XavaCFBP5823_RS00190,XavaCFBP5823_RS00190,XavaCFBP5823_00190,-,-,-,ribosome-associated protein,protein-coding,-,-,-,ribosome-associated protein,20201229,-
325777,61838445,tldD,XavaCFBP5823_RS00195,XavaCFBP5823_00195,-,-,-,metalloprotease TldD,protein-coding,-,-,-,metalloprotease TldD,20201229,-
325777,61838446,XavaCFBP5823_RS00200,XavaCFBP5823_RS00200,XavaCFBP5823_00200,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838447,XavaCFBP5823_RS00205,XavaCFBP5823_RS00205,XavaCFBP5823_00205,-,-,-,TIGR02099 family protein,protein-coding,-,-,-,TIGR02099 family protein,20201229,-
325777,61838448,rng,XavaCFBP5823_RS00210,XavaCFBP5823_00210,-,-,-,ribonuclease G,protein-coding,-,-,-,ribonuclease G,20201229,-
325777,61838449,XavaCFBP5823_RS00215,XavaCFBP5823_RS00215,XavaCFBP5823_00215,-,-,-,Maf-like protein,protein-coding,-,-,-,Maf-like protein,20201229,-
325777,61838450,XavaCFBP5823_RS00220,XavaCFBP5823_RS00220,XavaCFBP5823_00220,-,-,-,SIMPL domain-containing protein,protein-coding,-,-,-,SIMPL domain-containing protein,20201229,-
325777,61838451,XavaCFBP5823_RS00225,XavaCFBP5823_RS00225,XavaCFBP5823_00225,-,-,-,TonB-dependent receptor,protein-coding,-,-,-,TonB-dependent receptor,20201229,-
325777,61838452,XavaCFBP5823_RS00230,XavaCFBP5823_RS00230,XavaCFBP5823_00230,-,-,-,energy transducer TonB,protein-coding,-,-,-,energy transducer TonB,20201227,-
325777,61838453,rlmH,XavaCFBP5823_RS00235,XavaCFBP5823_00235,-,-,-,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,protein-coding,-,-,-,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,20201229,-
325777,61838454,XavaCFBP5823_RS00240,XavaCFBP5823_RS00240,XavaCFBP5823_00240,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
325777,61838455,XavaCFBP5823_RS00245,XavaCFBP5823_RS00245,XavaCFBP5823_00245,-,-,-,J domain-containing protein,protein-coding,-,-,-,J domain-containing protein,20201229,-
325777,61838456,rsfS,XavaCFBP5823_RS00250,XavaCFBP5823_00250,-,-,-,ribosome silencing factor,protein-coding,-,-,-,ribosome silencing factor,20201229,-
325777,61838457,nadD,XavaCFBP5823_RS00255,XavaCFBP5823_00255,-,-,-,nicotinate-nucleotide adenylyltransferase,protein-coding,-,-,-,nicotinate-nucleotide adenylyltransferase,20201229,-
325777,61838458,XavaCFBP5823_RS00260,XavaCFBP5823_RS00260,XavaCFBP5823_00260,-,-,-,DNA polymerase III subunit delta,protein-coding,-,-,-,DNA polymerase III subunit delta,20201229,-
325777,61838459,XavaCFBP5823_RS00265,XavaCFBP5823_RS00265,XavaCFBP5823_00265,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20201229,-
325777,61838460,XavaCFBP5823_RS00270,XavaCFBP5823_RS00270,XavaCFBP5823_00270,-,-,-,leucine--tRNA ligase,protein-coding,-,-,-,leucine--tRNA ligase,20201229,-
325777,61838461,XavaCFBP5823_RS00275,XavaCFBP5823_RS00275,XavaCFBP5823_00275,-,-,-,DUF998 domain-containing protein,protein-coding,-,-,-,DUF998 domain-containing protein,20201229,-
325777,61838462,trxA,XavaCFBP5823_RS00280,XavaCFBP5823_00280,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20201229,-
325777,61838463,XavaCFBP5823_RS00285,XavaCFBP5823_RS00285,XavaCFBP5823_00285,-,-,-,DUF4442 domain-containing protein,protein-coding,-,-,-,DUF4442 domain-containing protein,20201229,-
325777,61838464,XavaCFBP5823_RS00290,XavaCFBP5823_RS00290,XavaCFBP5823_00300,-,-,-,pseudo,pseudo,-,-,-,-,20201227,-
