#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
329254,5142465,OP1_ORF25,OP1_ORF25,-,-,-,-,deduced tail fiber protein,protein-coding,-,-,-,deduced tail fiber protein,20201220,-
329254,5142466,OP1_ORF54,OP1_ORF54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
329254,5142467,OP1_ORF44,OP1_ORF44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
329254,5142468,OP1_ORF7,OP1_ORF7,-,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20201220,-
329254,5142469,OP1_ORF17,OP1_ORF17,-,-,-,-,putative tail length tape measure protein,protein-coding,-,-,-,putative tail length tape measure protein,20201220,-
329254,5142470,OP1_ORF23,OP1_ORF23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
329254,5142471,OP1_ORF59,OP1_ORF59,-,-,-,-,HNH endonuclease family protein,protein-coding,-,-,-,HNH endonuclease family protein,20201220,-
329254,5142472,OP1_ORF6,OP1_ORF6,-,-,-,-,ClpP family protein,protein-coding,-,-,-,ClpP family protein,20201220,-
329254,5142473,OP1_ORF58,OP1_ORF58,-,-,-,-,HNH endonuclease family protein,protein-coding,-,-,-,HNH endonuclease family protein,20201220,-
329254,5142474,OP1_ORF21,OP1_ORF21,-,-,-,-,putative tail component protein,protein-coding,-,-,-,putative tail component protein,20201220,-
329254,5142475,OP1_ORF5,OP1_ORF5,-,-,-,-,putative head portal protein,protein-coding,-,-,-,putative head portal protein,20201220,-
329254,5142476,OP1_ORF57,OP1_ORF57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
329254,5142477,OP1_ORF53,OP1_ORF53,-,-,-,-,HNH endonuclease family protein,protein-coding,-,-,-,HNH endonuclease family protein,20201220,-
329254,5142478,OP1_ORF22,OP1_ORF22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
329254,5142479,OP1_ORF26,OP1_ORF26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
329254,5142480,OP1_ORF3,OP1_ORF3,-,-,-,-,HNH endonuclease family protein,protein-coding,-,-,-,HNH endonuclease family protein,20201220,-
329254,5142481,OP1_ORF55,OP1_ORF55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
329254,5142482,OP1_ORF48,OP1_ORF48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
329254,5142483,OP1_ORF1,OP1_ORF1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
