#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
344609,6295721,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Shigella boydii BS512; Shigella boydii str. CDC 3083-94; Shigella boydii strain CDC 3083-94).,other,-,-,-,-,20190410,-
344609,39678467,SBBS512_RS27475,SBBS512_RS27475,SbBS512_B0001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
344609,39678494,SBBS512_RS27480,SBBS512_RS27480,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
344609,39678520,SBBS512_RS00260,SBBS512_RS00260,SbBS512_D0004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
344609,39678521,SBBS512_RS00250,SBBS512_RS00250,SbBS512_D0002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
344609,39678531,SBBS512_RS00595,SBBS512_RS00595,SbBS512_A0063,-,-,-,IS66 family insertion sequence hypothetical protein,protein-coding,-,-,-,IS66 family insertion sequence hypothetical protein,20190410,-
344609,39678553,SBBS512_RS27875,SBBS512_RS27875,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
344609,39678562,SBBS512_RS32720,SBBS512_RS32720,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
344609,39678584,SBBS512_RS00775,SBBS512_RS00775,SbBS512_A0101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
344609,39678594,SBBS512_RS27750,SBBS512_RS27750,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
344609,39678599,SBBS512_RS32775,SBBS512_RS32775,SbBS512_A0267,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
344609,39678621,SBBS512_RS01165,SBBS512_RS01165,SbBS512_A0195,-,-,-,IS66 family insertion sequence hypothetical protein,protein-coding,-,-,-,IS66 family insertion sequence hypothetical protein,20190410,-
344609,39678625,SBBS512_RS32640,SBBS512_RS32640,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
344609,39678627,SBBS512_RS32780,SBBS512_RS32780,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
344609,39678652,SBBS512_RS00405,SBBS512_RS00405,SbBS512_A0019,-,-,-,IS66 family insertion sequence hypothetical protein,protein-coding,-,-,-,IS66 family insertion sequence hypothetical protein,20190410,-
344609,39678666,SBBS512_RS00945,SBBS512_RS00945,SbBS512_A0144,-,-,-,IS66 family insertion sequence hypothetical protein,protein-coding,-,-,-,IS66 family insertion sequence hypothetical protein,20190410,-
344609,39678671,SBBS512_RS01520,SBBS512_RS01520,SbBS512_A0276,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
344609,39678676,SBBS512_RS01400,SBBS512_RS01400,SbBS512_A0249,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
344609,39678692,SBBS512_RS00455,SBBS512_RS00455,SbBS512_A0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
344609,39678700,SBBS512_RS30770,SBBS512_RS30770,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
344609,39678717,SBBS512_RS32730,SBBS512_RS32730,SbBS512_A0135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
344609,39678718,SBBS512_RS00835,SBBS512_RS00835,SbBS512_A0118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
344609,39678740,SBBS512_RS30785,SBBS512_RS30785,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
344609,39678744,SBBS512_RS00500,SBBS512_RS00500,SbBS512_A0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
344609,39678761,SBBS512_RS01440,SBBS512_RS01440,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
344609,39678767,SBBS512_RS00505,SBBS512_RS00505,SbBS512_A0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
344609,39678772,SBBS512_RS32740,SBBS512_RS32740,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
344609,39678781,SBBS512_RS01295,SBBS512_RS01295,SbBS512_A0226,-,-,-,IS66 family insertion sequence hypothetical protein,protein-coding,-,-,-,IS66 family insertion sequence hypothetical protein,20190410,-
344609,39678784,SBBS512_RS32785,SBBS512_RS32785,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
344609,39678788,SBBS512_RS32650,SBBS512_RS32650,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
344609,39678792,SBBS512_RS00640,SBBS512_RS00640,SbBS512_A0072,-,-,-,IS66 family insertion sequence hypothetical protein,protein-coding,-,-,-,IS66 family insertion sequence hypothetical protein,20190410,-
