#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
352248,5076717,OBRV_s1gp1,OBRV_s1gp1,-,-,-,-,RNA-dependent RNA polymerase,protein-coding,-,-,-,RNA-dependent RNA polymerase,20180816,-
352248,5076718,OBRV_s2gp1,OBRV_s2gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
352248,5076719,OBRV_s3gp1,OBRV_s3gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
352248,5076720,OBRV_s4gp1,OBRV_s4gp1,-,-,-,-,polyhedrin,protein-coding,-,-,-,polyhedrin,20180816,-
352248,5076721,OBRV_s5gp1,OBRV_s5gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
352248,5076722,OBRV_s6gp1,OBRV_s6gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
352248,5076723,OBRV_s7gp1,OBRV_s7gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
352248,5076724,OBRV_s8gp1,OBRV_s8gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
352248,5076725,OBRV_s9gp1,OBRV_s9gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
352248,5076726,OBRV_s10gp1,OBRV_s10gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
352248,5130209,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
