#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
359919,5184119,lef-6,SlGVgp069,-,-,-,-,lef-6,protein-coding,-,-,-,lef-6,20180816,-
359919,5184120,orf30,SlGVgp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184121,orf29,SlGVgp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184122,orf129,SlGVgp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184123,orf28,SlGVgp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184124,orf27,SlGVgp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184125,orf26,SlGVgp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184126,orf100,SlGVgp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184127,orf25,SlGVgp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184128,p10-3,SlGVgp063,-,-,-,-,p10-3,protein-coding,-,-,-,p10-3,20180816,-
359919,5184129,SlGVgp110,SlGVgp110,-,-,-,-,ligase,protein-coding,-,-,-,ligase,20180816,-
359919,5184130,efp,SlGVgp024,-,-,-,-,efp,protein-coding,-,-,-,efp,20180816,-
359919,5184131,orf23,SlGVgp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184132,orf22,SlGVgp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
359919,5184133,orf120,SlGVgp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
