#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
36363,1497288,TK,LCDV1gp080,major capsid protein,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
36363,1497289,LCDV1gp001,LCDV1gp001,orf91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497290,LCDV1gp002,LCDV1gp002,orf45,-,-,-,Proliferating cell nuclear antigen,protein-coding,-,-,-,Proliferating cell nuclear antigen,20201220,-
36363,1497291,LCDV1gp003,LCDV1gp003,orf51,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201220,-
36363,1497292,LCDV1gp004,LCDV1gp004,orf70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497293,LCDV1gp005,LCDV1gp005,orf14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497294,LCDV1gp006,LCDV1gp006,orf35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497295,LCDV1gp007,LCDV1gp007,orf1,-,-,-,DNA-depenent RNA polymerase largest subunit,protein-coding,-,-,-,DNA-depenent RNA polymerase largest subunit,20201220,-
36363,1497296,LCDV1gp008,LCDV1gp008,orf33,-,-,-,hypothetical LCDV1 paralog family 2,protein-coding,-,-,-,hypothetical LCDV1 paralog family 2,20201220,-
36363,1497297,LCDV1gp009,LCDV1gp009,orf71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497298,LCDV1gp010,LCDV1gp010,orf54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497299,LCDV1gp011,LCDV1gp011,orf158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497300,LCDV1gp012,LCDV1gp012,orf78,-,-,-,Putative antimutator GTP pyrophosphohydrolase MutT,protein-coding,-,-,-,Putative antimutator GTP pyrophosphohydrolase MutT,20201220,-
36363,1497301,LCDV1gp013,LCDV1gp013,orf3,-,-,-,DNA-directed RNA polymerase subunit 2,protein-coding,-,-,-,DNA-directed RNA polymerase subunit 2,20201220,-
36363,1497302,LCDV1gp014,LCDV1gp014,orf77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497303,LCDV1gp015,LCDV1gp015,orf26,-,-,-,Ribonucleotide reductase small subunit,protein-coding,-,-,-,Ribonucleotide reductase small subunit,20201220,-
36363,1497304,LCDV1gp016,LCDV1gp016,orf102,-,-,-,VLTF2-like late transcription factor,protein-coding,-,-,-,VLTF2-like late transcription factor,20201220,-
36363,1497305,LCDV1gp017,LCDV1gp017,97,-,-,-,97,protein-coding,-,-,-,97,20201220,-
36363,1497306,LCDV1gp018,LCDV1gp018,orf88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497307,LCDV1gp019,LCDV1gp019,orf73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497308,LCDV1gp020,LCDV1gp020,orf104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497309,LCDV1gp021,LCDV1gp021,orf11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497310,LCDV1gp022,LCDV1gp022,orf92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497311,LCDV1gp023,LCDV1gp023,orf24,-,-,-,Papain-like proteinase,protein-coding,-,-,-,Papain-like proteinase,20201220,-
36363,1497312,LCDV1gp024,LCDV1gp024,orf27,-,-,-,hypothetical immediate-early protein,protein-coding,-,-,-,hypothetical immediate-early protein,20201220,-
36363,1497313,LCDV1gp025,LCDV1gp025,orf9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497314,LCDV1gp026,LCDV1gp026,orf68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497315,LCDV1gp027,LCDV1gp027,orf140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497316,LCDV1gp028,LCDV1gp028,orf116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497317,LCDV1gp029,LCDV1gp029,orf42,-,-,-,Galactose-binding lectin,protein-coding,-,-,-,Galactose-binding lectin,20201220,-
36363,1497318,LCDV1gp030,LCDV1gp030,orf46,-,-,-,"Virion assembly protein, NTPase",protein-coding,-,-,-,"Virion assembly protein, NTPase",20201220,-
36363,1497319,LCDV1gp031,LCDV1gp031,orf67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497320,LCDV1gp032,LCDV1gp032,orf74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497321,LCDV1gp033,LCDV1gp033,orf37,-,-,-,Collagen-like protein,protein-coding,-,-,-,Collagen-like protein,20201220,-
36363,1497322,LCDV1gp034,LCDV1gp034,orf89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497323,LCDV1gp035,LCDV1gp035,orf20,-,-,-,Myristylated membrane protein A,protein-coding,-,-,-,Myristylated membrane protein A,20201220,-
36363,1497324,LCDV1gp036,LCDV1gp036,orf61,-,-,-,uncharacterized LCDV1 paralog family 1,protein-coding,-,-,-,uncharacterized LCDV1 paralog family 1,20201220,-
36363,1497325,LCDV1gp037,LCDV1gp037,orf56,-,-,-,uncharacterized LCDV1 paralog family 1,protein-coding,-,-,-,uncharacterized LCDV1 paralog family 1,20201220,-
36363,1497326,LCDV1gp038,LCDV1gp038,orf85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497327,LCDV1gp039,LCDV1gp039,orf81,-,-,-,Apoptosis regulation Bcl-2 family protein,protein-coding,-,-,-,Apoptosis regulation Bcl-2 family protein,20201220,-
36363,1497328,LCDV1gp040,LCDV1gp040,orf47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497329,LCDV1gp041,LCDV1gp041,orf23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497330,LCDV1gp042,LCDV1gp042,orf13,-,-,-,Phosphotransferase,protein-coding,-,-,-,Phosphotransferase,20201220,-
36363,1497331,LCDV1gp043,LCDV1gp043,orf64,-,-,-,Putative NIF/NLI interacting factor,protein-coding,-,-,-,Putative NIF/NLI interacting factor,20201220,-
