#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
373126,3964374,SGPHI_0046,SGPHI_0046,-,-,-,-,ParA-like protein,protein-coding,-,-,-,ParA-like protein,20201220,-
373126,3964375,SGPHI_0047,SGPHI_0047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
373126,3964376,SGPHI_0007,SGPHI_0007,-,-,-,-,putative phage endopeptidase,protein-coding,-,-,-,putative phage endopeptidase,20201220,-
373126,3964377,SGPHI_0008,SGPHI_0008,-,-,-,-,putative phage integrase,protein-coding,-,-,-,putative phage integrase,20200629,-
373126,3964378,SGPHI_0009,SGPHI_0009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
373126,3964379,SGPHI_0010,SGPHI_0010,-,-,-,-,phage terminase large subunit,protein-coding,-,-,-,phage terminase large subunit,20200629,-
373126,3964380,SGPHI_0011,SGPHI_0011,-,-,-,-,phage portal protein,protein-coding,-,-,-,phage portal protein,20200629,-
373126,3964381,SGPHI_0012,SGPHI_0012,-,-,-,-,phage scaffold protein,protein-coding,-,-,-,phage scaffold protein,20200629,-
373126,3964382,SGPHI_0013,SGPHI_0013,-,-,-,-,phage major head protein,protein-coding,-,-,-,phage major head protein,20200629,-
373126,3964383,SGPHI_0014,SGPHI_0014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
373126,3964384,SGPHI_0015,SGPHI_0015,-,-,-,-,phage DNA stabilization protein,protein-coding,-,-,-,phage DNA stabilization protein,20201220,-
373126,3964385,SGPHI_0016,SGPHI_0016,-,-,-,-,phage DNA stabilization protein,protein-coding,-,-,-,phage DNA stabilization protein,20200629,-
373126,3964386,SGPHI_0017,SGPHI_0017,-,-,-,-,phage DNA stabilization protein,protein-coding,-,-,-,phage DNA stabilization protein,20201220,-
373126,3964387,SGPHI_0018,SGPHI_0018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
373126,3964388,SGPHI_0019,SGPHI_0019,-,-,-,-,phage DNA transfer protein,protein-coding,-,-,-,phage DNA transfer protein,20200629,-
373126,3964389,SGPHI_0020,SGPHI_0020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
373126,3964390,SGPHI_0021,SGPHI_0021,-,-,-,-,phage DNA transfer protein,protein-coding,-,-,-,phage DNA transfer protein,20200629,-
373126,3964391,SGPHI_0022,SGPHI_0022,-,-,-,-,putative phage tail spike protein,protein-coding,-,-,-,putative phage tail spike protein,20201220,-
373126,3964392,SGPHI_0023,SGPHI_0023,-,-,-,-,putative phage tail fiber assembly protein,protein-coding,-,-,-,putative phage tail fiber assembly protein,20201220,-
373126,3964393,SGPHI_0024,SGPHI_0024,-,-,-,-,transposase,protein-coding,-,-,-,transposase,20201220,-
373126,3964394,SGPHI_0025,SGPHI_0025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
373126,3964395,SGPHI_0026,SGPHI_0026,-,-,-,-,putative exodeoxyribonuclease VIII,protein-coding,-,-,-,putative exodeoxyribonuclease VIII,20200629,-
373126,3964396,SGPHI_0027,SGPHI_0027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
373126,3964397,SGPHI_0028,SGPHI_0028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
373126,3964398,SGPHI_0029,SGPHI_0029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
373126,3964399,SGPHI_0030,SGPHI_0030,-,-,-,-,ProP protein,protein-coding,-,-,-,ProP protein,20200629,-
373126,3964400,SGPHI_0031,SGPHI_0031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
373126,3964401,SGPHI_0032,SGPHI_0032,-,-,-,-,DNA-binding protein HU-beta,protein-coding,-,-,-,DNA-binding protein HU-beta,20201220,-
373126,3964402,SGPHI_0033,SGPHI_0033,-,-,-,-,ImpC protein,protein-coding,-,-,-,ImpC protein,20200629,-
373126,3964403,SGPHI_0034,SGPHI_0034,-,-,-,-,putative phage holin,protein-coding,-,-,-,putative phage holin,20200629,-
373126,3964404,SGPHI_0035,SGPHI_0035,-,-,-,-,putative phage lysozyme,protein-coding,-,-,-,putative phage lysozyme,20201220,-
373126,3964405,SGPHI_0036,SGPHI_0036,-,-,-,-,putative phage endopeptidase,protein-coding,-,-,-,putative phage endopeptidase,20201220,-
373126,3964406,SGPHI_0037,SGPHI_0037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
373126,3964407,SGPHI_0038,SGPHI_0038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
373126,3964408,SGPHI_0039,SGPHI_0039,-,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20201220,-
373126,3964409,SGPHI_0040,SGPHI_0040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
373126,3964410,SGPHI_0041,SGPHI_0041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
373126,3964411,SGPHI_0042,SGPHI_0042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
373126,3964412,SGPHI_0043,SGPHI_0043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
373126,3964413,SGPHI_0044,SGPHI_0044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
373126,3964414,SGPHI_0045,SGPHI_0045,-,-,-,-,putative replication protein,protein-coding,-,-,-,putative replication protein,20201220,-
373126,3964415,SGPHI_0001,SGPHI_0001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
373126,3964416,SGPHI_0002,SGPHI_0002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
373126,3964417,SGPHI_0003,SGPHI_0003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
373126,3964418,SGPHI_0004,SGPHI_0004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
373126,3964419,SGPHI_0005,SGPHI_0005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
373126,3964420,SGPHI_0006,SGPHI_0006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
373126,3968982,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
