#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
418784,36563395,C7M61_000001,C7M61_000001,-,-,Unknown,-,glycine dehydrogenase,protein-coding,-,-,-,glycine dehydrogenase,20200919,-
418784,36563396,C7M61_000002,C7M61_000002,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563397,C7M61_000003,C7M61_000003,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563398,C7M61_000004,C7M61_000004,-,-,Unknown,-,ribosomal protein L11,protein-coding,-,-,-,ribosomal protein L11,20200919,-
418784,36563399,C7M61_000005,C7M61_000005,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563400,C7M61_000006,C7M61_000006,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563401,C7M61_000007,C7M61_000007,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563402,C7M61_000008,C7M61_000008,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563403,C7M61_000009,C7M61_000009,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563404,C7M61_000010,C7M61_000010,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563405,C7M61_000011,C7M61_000011,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563406,C7M61_000012,C7M61_000012,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563407,C7M61_000013,C7M61_000013,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563408,C7M61_000014,C7M61_000014,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563409,C7M61_000015,C7M61_000015,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563410,C7M61_000016,C7M61_000016,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563411,C7M61_000017,C7M61_000017,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563412,C7M61_000018,C7M61_000018,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563413,C7M61_000019,C7M61_000019,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563414,C7M61_000020,C7M61_000020,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563415,C7M61_000021,C7M61_000021,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563416,C7M61_000022,C7M61_000022,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563417,C7M61_000023,C7M61_000023,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563418,C7M61_000024,C7M61_000024,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563419,C7M61_000025,C7M61_000025,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563420,C7M61_000026,C7M61_000026,-,-,Unknown,-,40S ribosomal protein S4,protein-coding,-,-,-,40S ribosomal protein S4,20200919,-
418784,36563421,C7M61_000027,C7M61_000027,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563422,C7M61_000028,C7M61_000028,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563423,C7M61_000029,C7M61_000029,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563424,C7M61_000030,C7M61_000030,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563425,C7M61_000031,C7M61_000031,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563426,C7M61_000032,C7M61_000032,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563427,C7M61_000033,C7M61_000033,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563428,C7M61_000034,C7M61_000034,-,-,Unknown,-,vanadate resistance protein,protein-coding,-,-,-,vanadate resistance protein,20200919,-
418784,36563429,C7M61_000035,C7M61_000035,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563430,C7M61_000036,C7M61_000036,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563431,C7M61_000037,C7M61_000037,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563432,C7M61_000038,C7M61_000038,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563433,C7M61_000039,C7M61_000039,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563434,C7M61_000040,C7M61_000040,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200919,-
418784,36563435,C7M61_000041,C7M61_000041,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200919,-
418784,36563436,C7M61_000042,C7M61_000042,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563437,C7M61_000043,C7M61_000043,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563438,C7M61_000044,C7M61_000044,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563439,C7M61_000045,C7M61_000045,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563440,C7M61_000046,C7M61_000046,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563441,C7M61_000047,C7M61_000047,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563442,C7M61_000048,C7M61_000048,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563443,C7M61_000049,C7M61_000049,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563444,C7M61_000050,C7M61_000050,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563445,C7M61_000051,C7M61_000051,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563446,C7M61_000052,C7M61_000052,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563447,C7M61_000053,C7M61_000053,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563448,C7M61_000054,C7M61_000054,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563449,C7M61_000055,C7M61_000055,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563450,C7M61_000056,C7M61_000056,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563451,C7M61_000057,C7M61_000057,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36563452,C7M61_000058,C7M61_000058,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200919,-
