#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
444862,10327630,PRSM4_002,PRSM4_002,-,-,-,-,DUF1825 domain-containing protein,protein-coding,-,-,-,DUF1825 domain-containing protein,20200909,-
444862,10327631,PRSM4_003,PRSM4_003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327632,PRSM4_004,PRSM4_004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327633,PRSM4_005,PRSM4_005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327634,gp32,PRSM4_006,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20200909,-
444862,10327635,PRSM4_007,PRSM4_007,-,-,-,-,cAMP phosphodiesterase,protein-coding,-,-,-,cAMP phosphodiesterase,20200909,-
444862,10327636,gp7,PRSM4_008,-,-,-,-,gp7,protein-coding,-,-,-,gp7,20200909,-
444862,10327637,PRSM4_009,PRSM4_009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327638,hn,PRSM4_010,-,-,-,-,hemagglutinin domain-containing protein,protein-coding,-,-,-,hemagglutinin domain-containing protein,20200909,-
444862,10327639,PRSM4_011,PRSM4_011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327640,PRSM4_012,PRSM4_012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327641,PRSM4_013,PRSM4_013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327642,PRSM4_014,PRSM4_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327643,PRSM4_015,PRSM4_015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327644,gp53,PRSM4_016,-,-,-,-,base plate wedge component,protein-coding,-,-,-,base plate wedge component,20200909,-
444862,10327645,gp48,PRSM4_017,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200909,-
444862,10327646,gp4,PRSM4_018,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200909,-
444862,10327647,PRSM4_019,PRSM4_019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327648,gp26,PRSM4_020,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200909,-
444862,10327649,gp51,PRSM4_021,-,-,-,-,gp51,protein-coding,-,-,-,gp51,20200909,-
444862,10327650,PRSM4_022,PRSM4_022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327651,PRSM4_023,PRSM4_023,-,-,-,-,lysozyme murein,protein-coding,-,-,-,lysozyme murein,20200909,-
444862,10327652,PRSM4_024,PRSM4_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327653,PRSM4_025,PRSM4_025,-,-,-,-,CP12,protein-coding,-,-,-,CP12,20200909,-
444862,10327654,PRSM4_026,PRSM4_026,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
444862,10327655,PRSM4_027,PRSM4_027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327656,PRSM4_028,PRSM4_028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327657,cpeT,PRSM4_029,-,-,-,-,antenna protein,protein-coding,-,-,-,antenna protein,20200909,-
444862,10327658,gp5,PRSM4_030,-,-,-,-,baseplate hub + tail lysozyme,protein-coding,-,-,-,baseplate hub + tail lysozyme,20210129,-
444862,10327659,PRSM4_031,PRSM4_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327660,PRSM4_032,PRSM4_032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
444862,10327661,PRSM4_033,PRSM4_033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327662,PRSM4_034,PRSM4_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327663,PRSM4_035,PRSM4_035,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
444862,10327664,PRSM4_037,PRSM4_037,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
444862,10327665,purM,PRSM4_038,-,-,-,-,phosphoribosylaminoimidazole synthetase,protein-coding,-,-,-,phosphoribosylaminoimidazole synthetase,20200909,-
444862,10327666,PRSM4_039,PRSM4_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327667,PRSM4_040,PRSM4_040,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
444862,10327668,PRSM4_041,PRSM4_041,-,-,-,-,fiber,protein-coding,-,-,-,fiber,20200909,-
444862,10327669,PRSM4_042,PRSM4_042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327670,PRSM4_043,PRSM4_043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327671,PRSM4_044,PRSM4_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327672,PRSM4_045,PRSM4_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327673,PRSM4_046,PRSM4_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327674,PRSM4_047,PRSM4_047,-,-,-,-,carbamoyltransferase,protein-coding,-,-,-,carbamoyltransferase,20200909,-
444862,10327675,PRSM4_048,PRSM4_048,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
444862,10327676,PRSM4_049,PRSM4_049,-,-,-,-,ferrochelatase,protein-coding,-,-,-,ferrochelatase,20200909,-
444862,10327677,PRSM4_050,PRSM4_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327678,PRSM4_051,PRSM4_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327679,PRSM4_052,PRSM4_052,-,-,-,-,TPR domain protein,protein-coding,-,-,-,TPR domain protein,20210129,-
444862,10327680,PRSM4_053,PRSM4_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
444862,10327681,PRSM4_054,PRSM4_054,-,-,-,-,leprecan-like 1 isoform 2,protein-coding,-,-,-,leprecan-like 1 isoform 2,20201220,-
444862,10327682,PRSM4_055,PRSM4_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
444862,10327683,PRSM4_056,PRSM4_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327684,PRSM4_057,PRSM4_057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327685,PRSM4_058,PRSM4_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327686,PRSM4_059,PRSM4_059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327687,PRSM4_060,PRSM4_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327688,PRSM4_061,PRSM4_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
