#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
444875,11538004,CYOG_00012,CYOG_00012,-,-,-,-,gp12,protein-coding,-,-,-,gp12,20201220,-
444875,11538005,CYOG_00013,CYOG_00013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538006,CYOG_00014,CYOG_00014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538007,CYOG_00015,CYOG_00015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538008,CYOG_00016,CYOG_00016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538009,CYOG_00017,CYOG_00017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538010,CYOG_00018,CYOG_00018,-,-,-,-,DNA maturase beta subunit,protein-coding,-,-,-,DNA maturase beta subunit,20201220,-
444875,11538011,CYOG_00019,CYOG_00019,-,-,-,-,transaldolase family protein,protein-coding,-,-,-,transaldolase family protein,20201220,-
444875,11538012,CYOG_00020,CYOG_00020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538013,CYOG_00021,CYOG_00021,-,-,-,-,gp50,protein-coding,-,-,-,gp50,20201220,-
444875,11538014,CYOG_00022,CYOG_00022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538015,CYOG_00023,CYOG_00023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538016,CYOG_00024,CYOG_00024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538017,CYOG_00025,CYOG_00025,-,-,-,-,gp165,protein-coding,-,-,-,gp165,20201220,-
444875,11538018,CYOG_00026,CYOG_00026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538019,CYOG_00027,CYOG_00027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538020,CYOG_00028,CYOG_00028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538021,CYOG_00029,CYOG_00029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538022,CYOG_00030,CYOG_00030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538023,CYOG_00031,CYOG_00031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538024,CYOG_00032,CYOG_00032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538025,CYOG_00033,CYOG_00033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538026,CYOG_00034,CYOG_00034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538027,CYOG_00035,CYOG_00035,-,-,-,-,gp42,protein-coding,-,-,-,gp42,20201220,-
444875,11538028,CYOG_00036,CYOG_00036,-,-,-,-,tail tube B,protein-coding,-,-,-,tail tube B,20201220,-
444875,11538029,CYOG_00037,CYOG_00037,-,-,-,-,tail tube A,protein-coding,-,-,-,tail tube A,20201220,-
444875,11538030,CYOG_00038,CYOG_00038,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
444875,11538031,CYOG_00039,CYOG_00039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538032,CYOG_00040,CYOG_00040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538033,CYOG_00041,CYOG_00041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538034,CYOG_00042,CYOG_00042,-,-,-,-,gp222,protein-coding,-,-,-,gp222,20201220,-
444875,11538035,CYOG_00043,CYOG_00043,-,-,-,-,photosystem II reaction center protein PsbA/D1,protein-coding,-,-,-,photosystem II reaction center protein PsbA/D1,20201220,-
444875,11538036,CYOG_00044,CYOG_00044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538037,CYOG_00045,CYOG_00045,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201220,-
444875,11538038,CYOG_00046,CYOG_00046,-,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20201220,-
444875,11538039,CYOG_00047,CYOG_00047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538040,CYOG_00048,CYOG_00048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538041,CYOG_00049,CYOG_00049,-,-,-,-,gp34,protein-coding,-,-,-,gp34,20201220,-
444875,11538042,CYOG_00050,CYOG_00050,-,-,-,-,ribonucleotide reductase domain-containing protein,protein-coding,-,-,-,ribonucleotide reductase domain-containing protein,20201220,-
444875,11538043,CYOG_00051,CYOG_00051,-,-,-,-,gp32,protein-coding,-,-,-,gp32,20201220,-
444875,11538044,CYOG_00052,CYOG_00052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538045,CYOG_00053,CYOG_00053,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201220,-
444875,11538046,CYOG_00054,CYOG_00054,-,-,-,-,DNA polymerase,other,-,-,-,-,20201220,-
444875,11538047,CYOG_00055,CYOG_00055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538048,CYOG_00056,CYOG_00056,-,-,-,-,primase/helicase,protein-coding,-,-,-,primase/helicase,20201220,-
444875,11538049,CYOG_00001,CYOG_00001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538050,CYOG_00002,CYOG_00002,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201220,-
444875,11538051,CYOG_00003,CYOG_00003,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201220,-
444875,11538052,CYOG_00004,CYOG_00004,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20201220,-
444875,11538053,CYOG_00005,CYOG_00005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538054,CYOG_00006,CYOG_00006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538055,CYOG_00007,CYOG_00007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538056,CYOG_00008,CYOG_00008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538057,CYOG_00009,CYOG_00009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11538058,CYOG_00010,CYOG_00010,-,-,-,-,gp9,protein-coding,-,-,-,gp9,20201220,-
444875,11538059,CYOG_00011,CYOG_00011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444875,11542892,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
