#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
481988,33373065,COX1,CGV37_mgp13,-,-,MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,-,20170916,-
481988,33373066,trnL2,CGV37_mgt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373067,COX2,CGV37_mgp12,-,-,MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,-,20170916,-
481988,33373068,trnK,CGV37_mgt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373069,trnD,CGV37_mgt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373070,ATP8,CGV37_mgp11,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,-,20170916,-
481988,33373071,ATP6,CGV37_mgp10,-,-,MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,-,20170916,-
481988,33373072,COX3,CGV37_mgp09,-,-,MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,-,20170916,-
481988,33373073,trnG,CGV37_mgt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373074,ND3,CGV37_mgp08,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20170916,-
481988,33373075,trnA,CGV37_mgt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373076,trnR,CGV37_mgt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373077,trnN,CGV37_mgt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373078,trnS1,CGV37_mgt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373079,trnE,CGV37_mgt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373080,trnF,CGV37_mgt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373081,ND5,CGV37_mgp07,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20170916,-
481988,33373082,trnH,CGV37_mgt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373083,ND4,CGV37_mgp06,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20170916,-
481988,33373084,ND4L,CGV37_mgp05,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,-,20170916,-
481988,33373085,trnT,CGV37_mgt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373086,trnP,CGV37_mgt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373087,ND6,CGV37_mgp04,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20170916,-
481988,33373088,CYTB,CGV37_mgp03,-,-,MT,-,cytochrome b,protein-coding,-,-,-,-,20170916,-
481988,33373089,trnS2,CGV37_mgt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373090,ND1,CGV37_mgp02,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20170916,-
481988,33373091,trnL1,CGV37_mgt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373092,rrnL,CGV37_mgr02,-,-,MT,-,16S ribosomal RNA,rRNA,-,-,-,-,20170719,-
481988,33373093,trnV,CGV37_mgt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373094,rrnS,CGV37_mgr01,-,-,MT,-,12S ribosomal RNA,rRNA,-,-,-,-,20170719,-
481988,33373095,trnI,CGV37_mgt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373096,trnQ,CGV37_mgt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373097,trnM,CGV37_mgt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373098,ND2,CGV37_mgp01,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20170916,-
481988,33373099,trnW,CGV37_mgt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373100,trnC,CGV37_mgt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
481988,33373101,trnY,CGV37_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170719,-
