#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
4932,2828223,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Candida robusta; Mycoderma cerevisiae; S. cerevisiae; Saccharomyces capensis; Saccharomyces italicus; Saccharomyces oviformis; Saccharomyces uvarum var. melibiosus; baker's yeast; brewer's yeast).,other,-,-,-,-,20210522,-
4932,24573110,atp6,ACI60_gp06,-,-,MT,-,Atp6,protein-coding,-,-,-,-,20190803,-
4932,24573111,ACI60_gt03,ACI60_gt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573112,ACI60_gt04,ACI60_gt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573113,ACI60_gr01,ACI60_gr01,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20150619,-
4932,24573114,ACI60_gt21,ACI60_gt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170729,-
4932,24573115,ACI60_gt24,ACI60_gt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573116,atp9,ACI60_gp04,-,-,MT,-,Atp9,protein-coding,-,-,-,-,20200815,-
4932,24573117,atp8,ACI60_gp07,-,-,MT,-,Atp8,protein-coding,-,-,-,-,20180130,-
4932,24573118,ACI60_gr02,ACI60_gr02,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20150619,-
4932,24573119,ACI60_gt02,ACI60_gt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573120,cox1,ACI60_gp08,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,-,20180130,-
4932,24573121,cytb,ACI60_gp05,-,-,MT,-,cytochrome b,protein-coding,-,-,-,-,20181222,-
4932,24573122,rps3,ACI60_gp03,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,-,20190302,-
4932,24573123,ACI60_gt05,ACI60_gt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573124,ACI60_gt06,ACI60_gt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573125,ACI60_gt07,ACI60_gt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573126,ACI60_gt08,ACI60_gt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573127,ACI60_gt09,ACI60_gt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573128,ACI60_gt10,ACI60_gt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573129,ACI60_gt11,ACI60_gt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573130,ACI60_gt12,ACI60_gt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573131,ACI60_gt13,ACI60_gt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573132,ACI60_gt14,ACI60_gt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573133,ACI60_gt15,ACI60_gt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573134,ACI60_gt16,ACI60_gt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573135,ACI60_gt17,ACI60_gt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573136,ACI60_gt18,ACI60_gt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573137,ACI60_gt19,ACI60_gt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573138,ACI60_gt20,ACI60_gt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573139,cox2,ACI60_gp02,-,-,MT,-,cytchrome c oxidase sububnit 2,protein-coding,-,-,-,-,20180130,-
4932,24573140,ACI60_gt22,ACI60_gt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573141,ACI60_gt23,ACI60_gt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
4932,24573142,cox3,ACI60_gp01,-,-,MT,-,cytchrome c oxidase sububnit 3,protein-coding,-,-,-,-,20180130,-
4932,24573143,ACI60_gs01,ACI60_gs01,-,-,MT,-,ncRNA,ncRNA,-,-,-,-,20150619,-
4932,24573144,ACI60_gt01,ACI60_gt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150619,-
