#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5480,2657763,cox2,CapafMp05,-,-,MT,-,cytochrome oxidase subunit 2,protein-coding,-,-,-,cytochrome oxidase subunit 2,20201029,-
5480,2657764,tRNA-Ser,CapafMt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657765,atp6,CapafMp17,-,-,MT,-,ATP synthase subunit 6,protein-coding,-,-,-,ATP synthase subunit 6,20201029,-
5480,2657766,tRNA-Ile,CapafMt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657767,cox1,CapafMp06,-,-,MT,-,cytochrome oxidase subunit 1;hypothetical protein,protein-coding,-,-,-,cytochrome oxidase subunit 1;hypothetical protein,20201029,-
5480,2657768,atp9,CapafMp10,-,-,MT,-,ATP synthase subunit 9,protein-coding,-,-,-,ATP synthase subunit 9,20201029,-
5480,2657769,ORF5,CapafMp07,-,-,MT,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201029,-
5480,2657770,tRNA-Arg,CapafMt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657771,tRNA-Leu,CapafMt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657772,ORF1,CapafMp04,-,-,MT,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201029,-
5480,2657773,tRNA-Val,CapafMt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657774,tRNA-Met,CapafMt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657775,cytb,CapafMp03,-,-,MT,-,apocytochrome b;putative RNA maturase,protein-coding,-,-,-,apocytochrome b;putative RNA maturase,20201029,-
5480,2657776,nad4L,CapafMp14,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20201029,-
5480,2657777,nad4,CapafMp09,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20201029,-
5480,2657778,tRNA-Tyr,CapafMt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657779,nad5,CapafMp15,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20201029,-
5480,2657780,cox3,CapafMp13,-,-,MT,-,cytochrome oxidase subunit 3,protein-coding,-,-,-,cytochrome oxidase subunit 3,20201029,-
5480,2657781,ORF6,CapafMp08,-,-,MT,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201029,-
5480,2657782,tRNA-Ser,CapafMt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657783,tRNA-Cys,CapafMt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657784,tRNA-Asn,CapafMt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657785,tRNA-Met,CapafMt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657786,tRNA-Phe,CapafMt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657787,tRNA-Asp,CapafMt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657788,tRNA-Leu,CapafMt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657789,nad3,CapafMp01,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20201029,-
5480,2657790,atp8,CapafMp16,-,-,MT,-,ATP synthase subunit 8,protein-coding,-,-,-,ATP synthase subunit 8,20201029,-
5480,2657791,tRNA-Gln,CapafMt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657792,nad2,CapafMp02,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20201029,-
5480,2657793,tRNA-Thr,CapafMt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657794,tRNA-Trp,CapafMt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657795,tRNA-Lys,CapafMt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657796,tRNA-Pro,CapafMt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657797,tRNA-Arg,CapafMt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657798,tRNA-Ala,CapafMt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657799,tRNA-His,CapafMt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657800,tRNA-Glu,CapafMt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657801,tRNA-Gly,CapafMt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160724,-
5480,2657802,nad1,CapafMp12,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20201029,-
5480,2935009,CapafMr01,CapafMr01,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20160724,-
5480,2935010,CapafMp11,CapafMp11,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20201029,-
5480,2935011,CapafMr02,CapafMr02,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20160724,-
5480,3293225,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Monilia parapsilosis; Mycocandida parapsilosis; Mycotorula parapsilopsis).,other,-,-,-,-,20201121,-
5480,59381712,CPAR2_100010,CPAR2_100010,-,-,Unknown,-,pseudo,pseudo,-,-,-,-,20201029,-
5480,59381713,CPAR2_100020,CPAR2_100020,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381714,CPAR2_100030,CPAR2_100030,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381715,CPAR2_100040,CPAR2_100040,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381716,CPAR2_100050,CPAR2_100050,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381717,CPAR2_100060,CPAR2_100060,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381718,CPAR2_100070,CPAR2_100070,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381719,CPAR2_100080,CPAR2_100080,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5480,59381720,CPAR2_100090,CPAR2_100090,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381721,CPAR2_100100,CPAR2_100100,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381722,CPAR2_100110,CPAR2_100110,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381723,CPAR2_100120,CPAR2_100120,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381724,CPAR2_100130,CPAR2_100130,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381725,CPAR2_100140,CPAR2_100140,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381726,CPAR2_100150,CPAR2_100150,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381727,CPAR2_100160,CPAR2_100160,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381728,CPAR2_100170,CPAR2_100170,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381729,CPAR2_100180,CPAR2_100180,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381730,CPAR2_100190,CPAR2_100190,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381731,CPAR2_100200,CPAR2_100200,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381732,CPAR2_100210,CPAR2_100210,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381733,CPAR2_100220,CPAR2_100220,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381734,CPAR2_100230,CPAR2_100230,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381735,CPAR2_100240,CPAR2_100240,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5480,59381736,CPAR2_100250,CPAR2_100250,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
