#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
569362,22548661,RPS3,-,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20180714,-
569362,22548662,trnT(tgt),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548663,trnE(ttc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548664,trnM(cat),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548665,trnM(cat),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548666,trnG(acc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548667,trnL(taa),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548668,trnG(tcc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548669,orf1931,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180714,-
569362,22548670,trnA(tgc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548671,trnF(gaa),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548672,trnK(ttt),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548673,trnL(tag),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548674,trnQ(ttg),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548675,trnH(gtg),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548676,trnM(cat),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548677,ND2,-,-,-,MT,-,NADH dehydrogenase 2,protein-coding,-,-,-,NADH dehydrogenase 2,20210129,-
569362,22548678,heg1,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20180714,-
569362,22548679,heg2,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20180714,-
569362,22548680,heg3,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
569362,22548681,heg4,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20180714,-
569362,22548682,ND3,-,-,-,MT,-,NADH dehydrogenase 3,protein-coding,-,-,-,NADH dehydrogenase 3,20210129,-
569362,22548683,heg5,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20180714,-
569362,22548684,ATP9,-,-,-,MT,-,ATP synthase 9,protein-coding,-,-,-,ATP synthase 9,20210129,-
569362,22548685,heg6,-,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210129,-
569362,22548686,CO2,-,-,-,MT,-,cytochrome c oxidase II,protein-coding,-,-,-,cytochrome c oxidase II,20181215,-
569362,22548687,heg7,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20180714,-
569362,22548688,heg8,-,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210129,-
569362,22548689,trnR(acg),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548690,trnR(tcg),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548691,trnY(ata),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548692,ND4L,-,-,-,MT,-,NADH dehydrogenase 4L,protein-coding,-,-,-,NADH dehydrogenase 4L,20210129,-
569362,22548693,heg9,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20180714,-
569362,22548694,ND5,-,-,-,MT,-,NADH dehydrogenase 5,protein-coding,-,-,-,NADH dehydrogenase 5,20210129,-
569362,22548695,heg10,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
569362,22548696,orf125,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180714,-
569362,22548697,CYTB,-,-,-,MT,-,cytochrome b,protein-coding,-,-,-,cytochrome b,20181215,-
569362,22548698,heg11,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
569362,22548699,heg12,-,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210129,-
569362,22548700,heg13,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180714,-
569362,22548701,heg14,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20180714,-
569362,22548702,heg15,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210123,-
569362,22548703,heg16,-,-,-,MT,-,intron-encoded endonuclease,protein-coding,-,-,-,intron-encoded endonuclease,20180714,-
569362,22548704,trnC(gca),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548705,orf99,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180714,-
569362,22548706,CO1,-,-,-,MT,-,cytochrome c oxidase I,protein-coding,-,-,-,cytochrome c oxidase I,20181215,-
569362,22548707,heg17,-,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210129,-
569362,22548708,heg18,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20180714,-
569362,22548709,heg19,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
569362,22548710,heg20,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20180714,-
569362,22548711,heg21,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210123,-
569362,22548712,heg22,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20180714,-
569362,22548713,heg23,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
569362,22548714,heg24,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
569362,22548715,heg25,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
569362,22548716,heg26,-,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20180714,-
569362,22548717,heg27,-,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20180714,-
569362,22548718,heg28,-,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
569362,22548719,heg29,-,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210129,-
569362,22548720,trnR(tct),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
569362,22548721,orf154,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180714,-
569362,22548722,orf99,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180714,-
569362,22548723,ND1,-,-,-,MT,-,NADH dehydrogenase 1,protein-coding,-,-,-,NADH dehydrogenase 1,20210129,-
569362,22548724,heg30,-,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210116,-
569362,22548725,ND4,-,-,-,MT,-,NADH dehydrogenase 4,protein-coding,-,-,-,NADH dehydrogenase 4,20181215,-
569362,22548726,ATP8,-,-,-,MT,-,ATP synthase 8,protein-coding,-,-,-,ATP synthase 8,20180714,-
569362,22548727,ATP6,-,-,-,MT,-,ATP synthase 6,protein-coding,-,-,-,ATP synthase 6,20210129,-
