#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
58712,25026302,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella anatum).,other,-,-,-,-,20190403,-
58712,39466199,EAE34_RS23620,EAE34_RS23620,EAE34_23950,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
58712,39466206,EAE34_RS23385,EAE34_RS23385,EAE34_23715,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
58712,39466210,EAE34_RS23660,EAE34_RS23660,EAE34_23990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
58712,39466214,EAE34_RS23405,EAE34_RS23405,EAE34_23735,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
58712,39466215,EAE34_RS23805,EAE34_RS23805,EAE34_24135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
58712,39466216,EAE34_RS23970,EAE34_RS23970,EAE34_24300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
58712,39466221,EAE34_RS23610,EAE34_RS23610,EAE34_23940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
58712,39466222,EAE34_RS23505,EAE34_RS23505,EAE34_23835,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
58712,39466223,EAE34_RS23550,EAE34_RS23550,EAE34_23880,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
58712,39466224,EAE34_RS23500,EAE34_RS23500,EAE34_23830,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
58712,39466225,EAE34_RS23955,EAE34_RS23955,EAE34_24285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
58712,39466234,EAE34_RS23460,EAE34_RS23460,EAE34_23790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
58712,39466238,EAE34_RS23790,EAE34_RS23790,EAE34_24120,-,-,-,IS66 family insertion sequence hypothetical protein,protein-coding,-,-,-,IS66 family insertion sequence hypothetical protein,20210424,-
58712,39466241,EAE34_RS23965,EAE34_RS23965,EAE34_24295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
58712,39466243,EAE34_RS23855,EAE34_RS23855,EAE34_24185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
58712,39466245,EAE34_RS23580,EAE34_RS23580,EAE34_23910,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
58712,39466250,EAE34_RS23495,EAE34_RS23495,EAE34_23825,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
58712,39466252,EAE34_RS23910,EAE34_RS23910,EAE34_24240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
58712,39466255,EAE34_RS23800,EAE34_RS23800,EAE34_24130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
58712,39466256,EAE34_RS23695,EAE34_RS23695,EAE34_24025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
58712,39466257,EAE34_RS23890,EAE34_RS23890,EAE34_24220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
58712,39466258,EAE34_RS23585,EAE34_RS23585,EAE34_23915,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
58712,39466274,EAE34_RS23920,EAE34_RS23920,EAE34_24250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
58712,39466275,EAE34_RS23530,EAE34_RS23530,EAE34_23860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
58712,39466281,EAE34_RS23785,EAE34_RS23785,EAE34_24115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
58712,39466284,EAE34_RS23675,EAE34_RS23675,EAE34_24005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
58712,39466285,EAE34_RS23940,EAE34_RS23940,EAE34_24270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
58712,39466288,EAE34_RS23980,EAE34_RS23980,EAE34_24310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
58712,39466292,EAE34_RS23365,EAE34_RS23365,EAE34_23695,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
58712,39466299,EAE34_RS23590,EAE34_RS23590,EAE34_23920,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
58712,39466305,EAE34_RS23465,EAE34_RS23465,EAE34_23795,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
58712,39466307,EAE34_RS23570,EAE34_RS23570,EAE34_23900,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
58712,39466308,EAE34_RS23510,EAE34_RS23510,EAE34_23840,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
58712,39466309,EAE34_RS23600,EAE34_RS23600,EAE34_23930,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
58712,39466321,EAE34_RS23720,EAE34_RS23720,EAE34_24050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
