#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
59201,13998238,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella cholerae-suis subsp. cholerae-suis; Salmonella choleraesuis subsp. choleraesuis; Salmonella enterica I; Salmonella enterica subsp. I; Salmonella enterica subsp. Subsp. I; Salmonella enterica subsp. Subsp. Ixxx).,other,-,-,-,-,20191021,-
59201,39662396,CXR17_RS23515,CXR17_RS23515,CXR17_24035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39662397,CXR17_RS23420,CXR17_RS23420,CXR17_23940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
59201,39662404,CXR17_RS23990,CXR17_RS23990,CXR17_24500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
59201,39662451,CXR17_RS24300,CXR17_RS24300,CXR17_24815,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39662452,CXR17_RS24200,CXR17_RS24200,CXR17_24710,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,39662457,CXR17_RS24325,CXR17_RS24325,CXR17_24845,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,39662465,CXR17_RS23665,CXR17_RS23665,CXR17_24175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39662475,CXR17_RS23525,CXR17_RS23525,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39662481,CXR17_RS24095,CXR17_RS24095,CXR17_24605,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
59201,39662545,CXR17_RS23930,CXR17_RS23930,CXR17_24440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39662549,CXR17_RS23280,CXR17_RS23280,CXR17_23800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
59201,39662578,CXR17_RS23995,CXR17_RS23995,CXR17_24505,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39662583,CXR17_RS23620,CXR17_RS23620,CXR17_24130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,39662598,CXR17_RS23210,CXR17_RS23210,CXR17_23730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39662628,CXR17_RS24045,CXR17_RS24045,CXR17_24555,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
59201,39662635,CXR17_RS24195,CXR17_RS24195,CXR17_24705,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39662638,CXR17_RS23730,CXR17_RS23730,CXR17_24240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39662640,CXR17_RS24425,CXR17_RS24425,CXR17_24945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,39662661,CXR17_RS23495,CXR17_RS23495,CXR17_24015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,39662677,CXR17_RS23775,CXR17_RS23775,CXR17_24285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39662680,CXR17_RS23430,CXR17_RS23430,CXR17_23950,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
59201,39662687,EBF18_RS00715,EBF18_RS00715,EBF18_00725,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,39662689,EBF18_RS00505,EBF18_RS00505,EBF18_00520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
59201,39662698,EBF18_RS00400,EBF18_RS00400,EBF18_00415,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,39662703,EBF18_RS00380,EBF18_RS00380,EBF18_00390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,39662706,EBF18_RS00370,EBF18_RS00370,EBF18_00380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,39662711,EBF18_RS00350,EBF18_RS00350,EBF18_00360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,39662712,EBF18_RS00955,EBF18_RS00955,EBF18_00965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
59201,39662713,EBF18_RS00345,EBF18_RS00345,EBF18_00355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
59201,39662722,EBF18_RS00315,EBF18_RS00315,EBF18_00320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,39662734,EBF18_RS00270,EBF18_RS00270,EBF18_00275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,39662735,EBF18_RS00265,EBF18_RS00265,EBF18_00270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39662740,EBF18_RS00260,EBF18_RS00260,EBF18_00265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
