#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
624134,7565031,AV954_gp23,AV954_gp23,-,-,-,-,putative tail assembly protein I,protein-coding,-,-,-,putative tail assembly protein I,20201220,-
624134,7565032,AV954_gp24,AV954_gp24,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201220,-
624134,7565033,AV954_gp25,AV954_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565034,AV954_gp26,AV954_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565035,AV954_gp27,AV954_gp27,-,-,-,-,superinfection exclusion protein,protein-coding,-,-,-,superinfection exclusion protein,20201220,-
624134,7565036,AV954_gp28,AV954_gp28,-,-,-,-,putative tail tip protein,protein-coding,-,-,-,putative tail tip protein,20201220,-
624134,7565037,AV954_gp29,AV954_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565038,AV954_gp30,AV954_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565039,AV954_gp31,AV954_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565040,AV954_gp32,AV954_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565041,AV954_gp33,AV954_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565042,AV954_gp34,AV954_gp34,-,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201220,-
624134,7565043,AV954_gp35,AV954_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565044,AV954_gp36,AV954_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565045,AV954_gp37,AV954_gp37,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201220,-
624134,7565046,AV954_gp38,AV954_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565047,AV954_gp39,AV954_gp39,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20210123,-
624134,7565048,AV954_gp40,AV954_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565049,AV954_gp41,AV954_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565050,AV954_gp42,AV954_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565051,AV954_gp43,AV954_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565052,AV954_gp44,AV954_gp44,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201220,-
624134,7565053,AV954_gp45,AV954_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565054,AV954_gp46,AV954_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565055,AV954_gp47,AV954_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565056,AV954_gp48,AV954_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565057,AV954_gp49,AV954_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565058,AV954_gp50,AV954_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565059,AV954_gp51,AV954_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565060,AV954_gp52,AV954_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565061,AV954_gp53,AV954_gp53,-,-,-,-,putative replicative helicase/primease,protein-coding,-,-,-,putative replicative helicase/primease,20201220,-
624134,7565062,AV954_gp01,AV954_gp01,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit|terminase small subunit,20201220,-
624134,7565063,AV954_gp03,AV954_gp03,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
624134,7565064,AV954_gp04,AV954_gp04,-,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20201220,-
624134,7565065,AV954_gp05,AV954_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565066,AV954_gp06,AV954_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565067,AV954_gp07,AV954_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565068,AV954_gp08,AV954_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565069,AV954_gp09,AV954_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565070,AV954_gp10,AV954_gp10,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
624134,7565071,AV954_gp11,AV954_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565072,AV954_gp12,AV954_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
624134,7565073,AV954_gp13,AV954_gp13,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
624134,7565074,AV954_gp14,AV954_gp14,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201220,-
624134,7565075,AV954_gp15,AV954_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
