#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
641487,7871801,P087_gp78,P087_gp78,-,-,-,-,putative receptor-binding protein,protein-coding,-,-,-,putative receptor-binding protein,20200909,-
641487,7871802,P087_gp79,P087_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871803,P087_gp80,P087_gp80,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
641487,7871804,P087_gp81,P087_gp81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871805,P087_gp82,P087_gp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871806,P087_gp83,P087_gp83,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200909,-
641487,7871807,P087_gp84,P087_gp84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871808,P087_gp85,P087_gp85,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20200909,-
641487,7871809,P087_gp86,P087_gp86,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
641487,7871810,P087_gp87,P087_gp87,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
641487,7871811,P087_gp88,P087_gp88,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
641487,7871812,P087_gt01,P087_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
641487,7871813,P087_gp01,P087_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871814,P087_gt02,P087_gt02,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
641487,7871815,P087_gt03,P087_gt03,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
641487,7871816,P087_gt04,P087_gt04,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
641487,7871817,P087_gt05,P087_gt05,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
641487,7871818,P087_gp02,P087_gp02,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200909,-
641487,7871819,P087_gp03,P087_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871820,P087_gp04,P087_gp04,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20200909,-
641487,7871821,P087_gp05,P087_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871822,P087_gp06,P087_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871823,P087_gp07,P087_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871824,P087_gp08,P087_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871825,P087_gp09,P087_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871826,P087_gp10,P087_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871827,P087_gp11,P087_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871828,P087_gp12,P087_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871829,P087_gp13,P087_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871830,P087_gp14,P087_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871831,P087_gp15,P087_gp15,-,-,-,-,putative DNA methylase,protein-coding,-,-,-,putative DNA methylase,20200909,-
641487,7871832,P087_gp16,P087_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
641487,7871833,P087_gp17,P087_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
