#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
649688,7967109,2,ANGEL_2,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
649688,7967110,3,ANGEL_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
649688,7967111,4,ANGEL_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967112,5,ANGEL_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967113,6,ANGEL_6,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
649688,7967114,7,ANGEL_7,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210424,-
649688,7967115,8,ANGEL_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967116,9,ANGEL_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967117,10,ANGEL_10,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
649688,7967118,11,ANGEL_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967119,12,ANGEL_12,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
649688,7967120,13,ANGEL_13,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
649688,7967121,15,ANGEL_15,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
649688,7967122,16,ANGEL_16,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
649688,7967123,14,ANGEL_14,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
649688,7967124,17,ANGEL_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967125,18,ANGEL_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
649688,7967126,19,ANGEL_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967127,20,ANGEL_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
649688,7967128,21,ANGEL_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
