#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
698486,26040677,APL43_gp03,APL43_gp03,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
698486,26040678,APL43_gp02,APL43_gp02,-,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20200629,-
698486,26040679,APL43_gp04,APL43_gp04,-,-,-,-,"putative head protein, SPP1 gp7 family",protein-coding,-,-,-,"putative head protein, SPP1 gp7 family",20200629,-
698486,26040680,APL43_gp05,APL43_gp05,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
698486,26040681,APL43_gp06,APL43_gp06,-,-,-,-,putative spanin,protein-coding,-,-,-,putative spanin,20200629,-
698486,26040682,APL43_gp07,APL43_gp07,-,-,-,-,putative spanin,protein-coding,-,-,-,putative spanin,20200629,-
698486,26040683,APL43_gp08,APL43_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040684,APL43_gp09,APL43_gp09,-,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20200629,-
698486,26040685,APL43_gp10,APL43_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040686,APL43_gp11,APL43_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040687,APL43_gp12,APL43_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040688,APL43_gp13,APL43_gp13,-,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20200629,-
698486,26040689,APL43_gp14,APL43_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040690,APL43_gp15,APL43_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040691,APL43_gp16,APL43_gp16,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
698486,26040692,APL43_gp17,APL43_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040693,APL43_gp18,APL43_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
698486,26040694,APL43_gp19,APL43_gp19,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210417,-
698486,26040695,APL43_gp20,APL43_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040696,APL43_gp21,APL43_gp21,-,-,-,-,putative kinase-phosphatase,protein-coding,-,-,-,putative kinase-phosphatase,20210417,-
698486,26040697,APL43_gp22,APL43_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040698,APL43_gp23,APL43_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
698486,26040699,APL43_gp24,APL43_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
698486,26040700,APL43_gp26,APL43_gp26,-,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20200629,-
698486,26040701,APL43_gp25,APL43_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
698486,26040702,APL43_gp27,APL43_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040703,APL43_gp28,APL43_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
