#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
745088,26041787,LM1A4_002,LM1A4_002,-,-,-,-,phage-related adenine-specific DNA methyltransferase,protein-coding,-,-,-,phage-related adenine-specific DNA methyltransferase,20201220,-
745088,26041788,LM1A4_003,LM1A4_003,-,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20201220,-
745088,26041789,LM1A4_004,LM1A4_004,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201220,-
745088,26041790,LM1A4_005,LM1A4_005,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201220,-
745088,26041791,LM1A4_006,LM1A4_006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041792,LM1A4_007,LM1A4_007,-,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20201220,-
745088,26041793,LM1A4_008,LM1A4_008,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
745088,26041794,LM1A4_009,LM1A4_009,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
745088,26041795,LM1A4_010,LM1A4_010,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
745088,26041796,LM1A4_011,LM1A4_011,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
745088,26041797,LM1A4_012,LM1A4_012,-,-,-,-,phage prohead protease,protein-coding,-,-,-,phage prohead protease,20201220,-
745088,26041798,LM1A4_013,LM1A4_013,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
745088,26041799,LM1A4_014,LM1A4_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041800,LM1A4_015,LM1A4_015,-,-,-,-,phage tail protein,protein-coding,-,-,-,phage tail protein,20201220,-
745088,26041801,LM1A4_016,LM1A4_016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041802,LM1A4_017,LM1A4_017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041803,LM1A4_018,LM1A4_018,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201220,-
745088,26041804,LM1A4_019,LM1A4_019,-,-,-,-,phage tail tape measure protein,protein-coding,-,-,-,phage tail tape measure protein,20201220,-
745088,26041805,LM1A4_020,LM1A4_020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041806,LM1A4_021,LM1A4_021,-,-,-,-,base plate,protein-coding,-,-,-,base plate,20201220,-
745088,26041807,LM1A4_022,LM1A4_022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041808,LM1A4_023,LM1A4_023,-,-,-,-,receptor-binding tail protein,protein-coding,-,-,-,receptor-binding tail protein,20201220,-
745088,26041809,LM1A4_024,LM1A4_024,-,-,-,-,holin_I,protein-coding,-,-,-,holin_I,20201220,-
745088,26041810,LM1A4_025,LM1A4_025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041811,LM1A4_026,LM1A4_026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041812,LM1A4_027,LM1A4_027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041813,LM1A4_028,LM1A4_028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041814,LM1A4_029,LM1A4_029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041815,LM1A4_030,LM1A4_030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041816,LM1A4_031,LM1A4_031,-,-,-,-,phage-related hydrogenase,protein-coding,-,-,-,phage-related hydrogenase,20201220,-
745088,26041817,LM1A4_032,LM1A4_032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041818,LM1A4_033,LM1A4_033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041819,LM1A4_034,LM1A4_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041820,lysin,LM1A4_035,-,-,-,-,phage-related amidase,protein-coding,-,-,-,phage-related amidase,20201220,-
745088,26041821,LM1A4_036,LM1A4_036,-,-,-,-,holin_II,protein-coding,-,-,-,holin_II,20201220,-
745088,26041822,LM1A4_037,LM1A4_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041823,LM1A4_038,LM1A4_038,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20201220,-
745088,26041824,LM1A4_039,LM1A4_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041825,LM1A4_040,LM1A4_040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041826,LM1A4_041,LM1A4_041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041827,LM1A4_042,LM1A4_042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041828,LM1A4_043,LM1A4_043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041829,LM1A4_044,LM1A4_044,-,-,-,-,baseplate structural protein,protein-coding,-,-,-,baseplate structural protein,20201220,-
745088,26041830,copG,LM1A4_045,-,-,-,-,repressor,protein-coding,-,-,-,repressor,20201220,-
745088,26041831,LM1A4_046,LM1A4_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041832,LM1A4_047,LM1A4_047,-,-,-,-,phage HNH endonuclease,protein-coding,-,-,-,phage HNH endonuclease,20201220,-
745088,26041833,LM1A4_048,LM1A4_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041834,LM1A4_049,LM1A4_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
745088,26041835,rusA,LM1A4_050,-,-,-,-,endodeoxyribonuclease,protein-coding,-,-,-,endodeoxyribonuclease,20201220,-
745088,26041836,LM1A4_001,LM1A4_001,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201220,-
745088,26045501,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Leuconostoc mesenteroides phage 1-A4).,other,-,-,-,-,20200513,-
