#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
746128,10322146,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Aspergillus fumigates; Neosartorya fumigata; Sartorya fumigata).,other,-,-,-,-,20210213,-
746128,11948038,AFUB_m0020,AFUB_m0020,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
746128,11948039,AFUB_m0220,AFUB_m0220,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
746128,11948040,AFUB_m0470,AFUB_m0470,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20180206,-
746128,11948041,AFUB_m0310,AFUB_m0310,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
746128,11948042,AFUB_m0080,AFUB_m0080,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
746128,11948043,AFUB_m0060,AFUB_m0060,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20180206,-
746128,11948044,AFUB_m0030,AFUB_m0030,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
746128,11948045,AFUB_m0210,AFUB_m0210,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
746128,11948046,AFUB_m0320,AFUB_m0320,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
746128,11948047,AFUB_m0190,AFUB_m0190,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
746128,11948048,AFUB_m0130,AFUB_m0130,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
746128,11948049,AFUB_m0260,AFUB_m0260,-,-,MT,-,ribosomal protein S5,protein-coding,-,-,-,-,20180206,-
746128,11948050,AFUB_m0050,AFUB_m0050,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
746128,11948051,AFUB_m0070,AFUB_m0070,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
746128,11948052,AFUB_m0100,AFUB_m0100,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
746128,11948053,AFUB_m0120,AFUB_m0120,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20180206,-
746128,11948054,AFUB_m0150,AFUB_m0150,-,-,MT,-,cytochrome oxidase subunit 3,protein-coding,-,-,-,-,20180206,-
746128,11948055,AFUB_m0160,AFUB_m0160,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
746128,11948056,AFUB_m0270,AFUB_m0270,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
746128,11948057,AFUB_m0400,AFUB_m0400,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
746128,11948058,AFUB_m0420,AFUB_m0420,-,-,MT,-,intron-encoded LAGLIDADG endonuclease family protein,protein-coding,-,-,-,-,20180206,-
746128,11948059,AFUB_m0430,AFUB_m0430,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20180206,-
746128,11948060,AFUB_m0440,AFUB_m0440,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20180206,-
746128,11948061,AFUB_m0450,AFUB_m0450,-,-,MT,-,ATP synthase subunit 9,protein-coding,-,-,-,-,20200905,-
746128,11948062,AFUB_m0460,AFUB_m0460,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
746128,11948063,AFUB_m0480,AFUB_m0480,-,-,MT,-,cytochrome oxidase subunit 2,protein-coding,-,-,-,-,20180206,-
746128,11948064,AFUB_m0490,AFUB_m0490,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
746128,11948065,AFUB_m0510,AFUB_m0510,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20180206,-
746128,11948066,AFUB_m0520,AFUB_m0520,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20180206,-
746128,11948067,AFUB_m0110,AFUB_m0110,-,-,MT,-,ATP synthase subunit 6,protein-coding,-,-,-,-,20180206,-
746128,11948068,AFUB_m0360,AFUB_m0360,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
746128,11948069,AFUB_m0330,AFUB_m0330,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
746128,11948070,AFUB_m0250,AFUB_m0250,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20180206,-
746128,11948071,AFUB_m0350,AFUB_m0350,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180206,-
