#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
864178,10323718,phiCD6356_02,phiCD6356_02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
864178,10323719,phiCD6356_03,phiCD6356_03,-,-,-,-,putative phage portal protein,protein-coding,-,-,-,putative phage portal protein,20200801,-
864178,10323720,phiCD6356_04,phiCD6356_04,-,-,-,-,putative phage prohead protease,protein-coding,-,-,-,putative phage prohead protease,20200629,-
864178,10323721,phiCD6356_05,phiCD6356_05,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
864178,10323722,phiCD6356_06,phiCD6356_06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323723,phiCD6356_07,phiCD6356_07,-,-,-,-,head-tail adaptor protein,protein-coding,-,-,-,head-tail adaptor protein,20201220,-
864178,10323724,phiCD6356_08,phiCD6356_08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323725,phiCD6356_09,phiCD6356_09,-,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20201220,-
864178,10323726,phiCD6356_10,phiCD6356_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323727,phiCD6356_11,phiCD6356_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201220,-
864178,10323728,phiCD6356_12,phiCD6356_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323729,phiCD6356_13,phiCD6356_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323730,phiCD6356_14,phiCD6356_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323731,phiCD6356_15,phiCD6356_15,-,-,-,-,putative phage tail tape measure protein,protein-coding,-,-,-,putative phage tail tape measure protein,20200629,-
864178,10323732,phiCD6356_16,phiCD6356_16,-,-,-,-,tail family protein,protein-coding,-,-,-,tail family protein,20201220,-
864178,10323733,phiCD6356_17,phiCD6356_17,-,-,-,-,siphovirus ReqiPepy6 Gp37-like family protein,protein-coding,-,-,-,siphovirus ReqiPepy6 Gp37-like family protein,20201220,-
864178,10323734,phiCD6356_18,phiCD6356_18,-,-,-,-,truncated putative phage structural protein,protein-coding,-,-,-,truncated putative phage structural protein,20200629,-
864178,10323735,phiCD6356_19,phiCD6356_19,-,-,-,-,kelch repeat-containing protein,protein-coding,-,-,-,kelch repeat-containing protein,20201220,-
864178,10323736,phiCD6356_20,phiCD6356_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323737,phiCD6356_21,phiCD6356_21,-,-,-,-,XkdX family protein,protein-coding,-,-,-,XkdX family protein,20201220,-
864178,10323738,phiCD6356_22,phiCD6356_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323739,phiCD6356_23,phiCD6356_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323740,phiCD6356_24,phiCD6356_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323741,phiCD6356_25,phiCD6356_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323742,phiCD6356_26,phiCD6356_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323743,phiCD6356_27,phiCD6356_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323744,phiCD6356_28,phiCD6356_28,-,-,-,-,probable phage N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,probable phage N-acetylmuramoyl-L-alanine amidase,20200629,-
864178,10323745,phiCD6356_29,phiCD6356_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323746,phiCD6356_30,phiCD6356_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323747,phiCD6356_31,phiCD6356_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323748,phiCD6356_32,phiCD6356_32,-,-,-,-,ParA-like protein,protein-coding,-,-,-,ParA-like protein,20200629,-
864178,10323749,phiCD6356_33,phiCD6356_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323750,phiCD6356_34,phiCD6356_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323751,phiCD6356_35,phiCD6356_35,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201220,-
864178,10323752,phiCD6356_36,phiCD6356_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323753,phiCD6356_37,phiCD6356_37,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
864178,10323754,phiCD6356_38,phiCD6356_38,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
864178,10323755,phiCD6356_39,phiCD6356_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323756,phiCD6356_40,phiCD6356_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323757,phiCD6356_41,phiCD6356_41,-,-,-,-,putative phage replication protein,protein-coding,-,-,-,putative phage replication protein,20200629,-
864178,10323758,phiCD6356_42,phiCD6356_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323759,phiCD6356_43,phiCD6356_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323760,phiCD6356_44,phiCD6356_44,-,-,-,-,DUF2513 domain-containing protein,protein-coding,-,-,-,DUF2513 domain-containing protein,20201220,-
864178,10323761,phiCD6356_45,phiCD6356_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323762,phiCD6356_46,phiCD6356_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
864178,10323763,phiCD6356_47,phiCD6356_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323764,phiCD6356_48,phiCD6356_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323765,phiCD6356_49,phiCD6356_49,-,-,-,-,DUF3797 domain-containing protein,protein-coding,-,-,-,DUF3797 domain-containing protein,20201220,-
864178,10323766,phiCD6356_50,phiCD6356_50,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201220,-
864178,10323767,phiCD6356_51,phiCD6356_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323768,phiCD6356_52,phiCD6356_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323769,phiCD6356_53,phiCD6356_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323770,phiCD6356_54,phiCD6356_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323771,phiCD6356_55,phiCD6356_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323772,phiCD6356_56,phiCD6356_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323773,phiCD6356_57,phiCD6356_57,-,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20201220,-
864178,10323774,phiCD6356_58,phiCD6356_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
864178,10323775,phiCD6356_59,phiCD6356_59,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201220,-
864178,10323776,phiCD6356_01,phiCD6356_01,-,-,-,-,P27 familygterminase small subunit,protein-coding,-,-,-,P27 familygterminase small subunit,20201220,-
864178,10354684,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Clostridium difficile phage phiCD6356).,other,-,-,-,-,20200513,-
