#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
871584,9711325,phiCTP1_gp2,phiCTP1_gp2,-,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201220,-
871584,9711326,phiCTP1_gp3,phiCTP1_gp3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711327,phiCTP1_gp4,phiCTP1_gp4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711328,phiCTP1_gp5,phiCTP1_gp5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711329,phiCTP1_gp6,phiCTP1_gp6,-,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20201220,-
871584,9711330,phiCTP1_gb7,phiCTP1_gb7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711331,phiCTP1_gp8,phiCTP1_gp8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711332,phiCTP1_gp9,phiCTP1_gp9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711333,phiCTP1_gp10,phiCTP1_gp10,-,-,-,-,putative scaffold protein,protein-coding,-,-,-,putative scaffold protein,20201220,-
871584,9711334,phiCTP1_gp11,phiCTP1_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711335,phiCTP1_gp12,phiCTP1_gp12,-,-,-,-,hypothetical phage capsid protein,protein-coding,-,-,-,hypothetical phage capsid protein,20201220,-
871584,9711336,phiCTP1_gp13,phiCTP1_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711337,phiCTP1_gp14,phiCTP1_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711338,phiCTP1_gp15,phiCTP1_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711339,phiCTP1_gp16,phiCTP1_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711340,phiCTP1_gp17,phiCTP1_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711341,phiCTP1_gp18,phiCTP1_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711342,phiCTP1_gp19,phiCTP1_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711343,phiCTP1_gp20,phiCTP1_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711344,phiCTP1_gp21,phiCTP1_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711345,phiCTP1_gp22,phiCTP1_gp22,-,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201220,-
871584,9711346,phiCTP1_gp23,phiCTP1_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711347,phiCTP1_gp24,phiCTP1_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711348,phiCTP1_gp25,phiCTP1_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711349,phiCTP1_gp26,phiCTP1_gp26,-,-,-,-,hypothetical phage structural protein,protein-coding,-,-,-,hypothetical phage structural protein,20201220,-
871584,9711350,phiCTP1_gp27,phiCTP1_gp27,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20201220,-
871584,9711351,phiCTP1_gp28,phiCTP1_gp28,-,-,-,-,predicted holin,protein-coding,-,-,-,predicted holin,20201220,-
871584,9711352,phiCTP1_gp29,phiCTP1_gp29,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201220,-
871584,9711353,phiCTP1_gp30,phiCTP1_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711354,phiCTP1_gp31,phiCTP1_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711355,phiCTP1_gp32,phiCTP1_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711356,phiCTP1_gp33,phiCTP1_gp33,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201220,-
871584,9711357,phiCTP1_gp34,phiCTP1_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711358,phiCTP1_gp35,phiCTP1_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711359,phiCTP1_gp36,phiCTP1_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711360,phiCTP1_gp37,phiCTP1_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711361,phiCTP1_gp38,phiCTP1_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711362,phiCTP1_gp39,phiCTP1_gp39,-,-,-,-,putative DNA replication protein,protein-coding,-,-,-,putative DNA replication protein,20201220,-
871584,9711363,phiCTP1_gp40,phiCTP1_gp40,-,-,-,-,putative replicative DNA helicase,protein-coding,-,-,-,putative replicative DNA helicase,20201220,-
871584,9711364,phiCTP1_gp41,phiCTP1_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711365,phiCTP1_gp42,phiCTP1_gp42,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201220,-
871584,9711366,phiCTP1_gp43,phiCTP1_gp43,-,-,-,-,putative response regulator,protein-coding,-,-,-,putative response regulator,20201220,-
871584,9711367,phiCTP1_gp44,phiCTP1_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711368,phiCTP1_gp45,phiCTP1_gp45,-,-,-,-,putative glutaredoxin,protein-coding,-,-,-,putative glutaredoxin,20201220,-
871584,9711369,phiCTP1_gp46,phiCTP1_gp46,-,-,-,-,putative anaerobic ribonucleoside-triphosphate reductase,protein-coding,-,-,-,putative anaerobic ribonucleoside-triphosphate reductase,20201220,-
871584,9711370,phiCTP1_gp47,phiCTP1_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711371,phiCTP1_gp48,phiCTP1_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711372,phiCTP1_gp49,phiCTP1_gp49,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201220,-
871584,9711373,phiCTP1_gp50,phiCTP1_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711374,phiCTP1_gp51,phiCTP1_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711375,phiCTP1_gp52,phiCTP1_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711376,phiCTP1_gp53,phiCTP1_gp53,-,-,-,-,putative DNA polymerase III beta subunit,protein-coding,-,-,-,putative DNA polymerase III beta subunit,20201220,-
871584,9711377,phiCTP1_gp54,phiCTP1_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711378,phiCTP1_gp55,phiCTP1_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711379,phiCTP1_gb56,phiCTP1_gb56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711380,phiCTP1_gb57,phiCTP1_gb57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711381,phiCTP1_gp58,phiCTP1_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711382,phiCTP1_gp59,phiCTP1_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
