#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
986,5129999,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Cytophaga johnsonae; Cytophaga johnsonii; Flexibacter aurantiacus; Vegetative myxobacteria Johnson 1932.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210123,-
986,32305905,BB050_RS21535,BB050_RS21535,BB050_00001,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20210123,-
986,32305916,BB050_RS00065,BB050_RS00065,BB050_00018,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305918,BB050_RS00075,BB050_RS00075,BB050_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305920,BB050_RS00085,BB050_RS00085,BB050_00022,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305923,BB050_RS00100,BB050_RS00100,BB050_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305927,BB050_RS00115,BB050_RS00115,BB050_00028,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305931,BB050_RS00135,BB050_RS00135,BB050_00032,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170520,-
986,32305932,BB050_RS00140,BB050_RS00140,BB050_00033,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305937,BB050_RS00165,BB050_RS00165,BB050_00038,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20201003,-
986,32305938,BB050_RS00170,BB050_RS00170,BB050_00039,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305958,BB050_RS00270,BB050_RS00270,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305960,BB050_RS00280,BB050_RS00280,BB050_00061,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305964,BB050_RS00300,BB050_RS00300,BB050_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305965,BB050_RS00305,BB050_RS00305,BB050_00066,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305966,BB050_RS00310,BB050_RS00310,BB050_00067,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305973,BB050_RS00345,BB050_RS00345,BB050_00076,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305974,BB050_RS00350,BB050_RS00350,BB050_00077,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305976,BB050_RS00360,BB050_RS00360,BB050_00079,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305980,BB050_RS00380,BB050_RS00380,BB050_00083,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171220,-
986,32305986,BB050_RS00410,BB050_RS00410,BB050_00090,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305988,BB050_RS00420,BB050_RS00420,BB050_00092,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305989,BB050_RS00425,BB050_RS00425,BB050_00093,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305990,BB050_RS00430,BB050_RS00430,BB050_00094,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305991,BB050_RS00435,BB050_RS00435,BB050_00095,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305992,BB050_RS00440,BB050_RS00440,BB050_00096,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305993,BB050_RS00445,BB050_RS00445,BB050_00097,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305994,BB050_RS00450,BB050_RS00450,BB050_00098,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305995,BB050_RS00455,BB050_RS00455,BB050_00099,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305996,BB050_RS00460,BB050_RS00460,BB050_00100,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32305997,BB050_RS00465,BB050_RS00465,BB050_00101,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
986,32305998,BB050_RS00470,BB050_RS00470,BB050_00102,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306009,BB050_RS00525,BB050_RS00525,BB050_00113,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171220,-
986,32306011,BB050_RS00535,BB050_RS00535,BB050_00115,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306021,BB050_RS00585,BB050_RS00585,BB050_00125,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306029,BB050_RS00625,BB050_RS00625,BB050_00133,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306041,BB050_RS00685,BB050_RS00685,BB050_00145,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171220,-
986,32306044,BB050_RS00700,BB050_RS00700,BB050_00149,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306051,BB050_RS00735,BB050_RS00735,BB050_00156,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171220,-
986,32306060,BB050_RS00780,BB050_RS00780,BB050_00166,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306064,BB050_RS00800,BB050_RS00800,BB050_00170,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306077,BB050_RS00865,BB050_RS00865,BB050_00183,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
986,32306083,BB050_RS00895,BB050_RS00895,BB050_00189,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306090,BB050_RS00930,BB050_RS00930,BB050_00196,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306097,BB050_RS00965,BB050_RS00965,BB050_00203,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306098,BB050_RS00970,BB050_RS00970,BB050_00204,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306106,BB050_RS01010,BB050_RS01010,BB050_00213,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306110,BB050_RS01030,BB050_RS01030,BB050_00217,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20201003,-
986,32306112,BB050_RS01040,BB050_RS01040,BB050_00219,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306114,BB050_RS21540,BB050_RS21540,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306115,BB050_RS01050,BB050_RS01050,BB050_00221,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306117,BB050_RS01060,BB050_RS01060,BB050_00223,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306124,BB050_RS01095,BB050_RS01095,BB050_00230,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171220,-
986,32306125,BB050_RS01100,BB050_RS01100,BB050_00231,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306137,BB050_RS01160,BB050_RS01160,BB050_00242,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306138,BB050_RS01165,BB050_RS01165,BB050_00243,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306147,BB050_RS21545,BB050_RS21545,BB050_00252,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
986,32306148,BB050_RS01210,BB050_RS01210,BB050_00253,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171220,-
986,32306158,BB050_RS01260,BB050_RS01260,BB050_00264,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306160,BB050_RS01270,BB050_RS01270,BB050_00266,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306168,BB050_RS01310,BB050_RS01310,BB050_00274,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171220,-
986,32306169,BB050_RS01315,BB050_RS01315,BB050_00275,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306172,BB050_RS01330,BB050_RS01330,BB050_00278,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306185,BB050_RS01395,BB050_RS01395,BB050_00291,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171220,-
986,32306187,BB050_RS01405,BB050_RS01405,BB050_00293,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306188,BB050_RS01410,BB050_RS01410,BB050_00294,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306192,BB050_RS01430,BB050_RS01430,BB050_00298,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171220,-
986,32306194,BB050_RS01440,BB050_RS01440,BB050_00300,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306195,BB050_RS01445,BB050_RS01445,BB050_00301,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306205,BB050_RS01495,BB050_RS01495,BB050_00311,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306206,BB050_RS01500,BB050_RS01500,BB050_00312,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306207,BB050_RS01505,BB050_RS01505,BB050_00313,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306208,BB050_RS01510,BB050_RS01510,BB050_00314,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306211,BB050_RS01525,BB050_RS01525,BB050_00317,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306212,BB050_RS01530,BB050_RS01530,BB050_00318,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306213,BB050_RS01535,BB050_RS01535,BB050_00319,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306214,BB050_RS01540,BB050_RS01540,BB050_00320,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306215,BB050_RS01545,BB050_RS01545,BB050_00321,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306224,BB050_RS01590,BB050_RS01590,BB050_00330,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171220,-
986,32306225,BB050_RS01595,BB050_RS01595,BB050_00331,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
986,32306230,BB050_RS01620,BB050_RS01620,BB050_00337,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306231,BB050_RS01625,BB050_RS01625,BB050_00338,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306232,BB050_RS01630,BB050_RS01630,BB050_00339,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306233,BB050_RS01635,BB050_RS01635,BB050_00340,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306234,BB050_RS01640,BB050_RS01640,BB050_00341,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306235,BB050_RS01645,BB050_RS01645,BB050_00342,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306236,BB050_RS01650,BB050_RS01650,BB050_00343,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306237,BB050_RS01655,BB050_RS01655,BB050_00344,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306238,BB050_RS01660,BB050_RS01660,BB050_00345,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306239,BB050_RS01665,BB050_RS01665,BB050_00346,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306240,BB050_RS21550,BB050_RS21550,BB050_00347,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306242,BB050_RS01675,BB050_RS01675,BB050_00349,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171220,-
986,32306243,BB050_RS01680,BB050_RS01680,BB050_00350,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171220,-
986,32306244,BB050_RS01685,BB050_RS01685,BB050_00351,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306246,BB050_RS01695,BB050_RS01695,BB050_00353,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306247,BB050_RS01700,BB050_RS01700,BB050_00354,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306250,BB050_RS01715,BB050_RS01715,BB050_00357,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170520,-
986,32306254,BB050_RS01735,BB050_RS01735,BB050_00362,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306257,BB050_RS01750,BB050_RS01750,BB050_00365,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306259,BB050_RS01760,BB050_RS01760,BB050_00367,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306260,BB050_RS01765,BB050_RS01765,BB050_00368,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
986,32306268,BB050_RS01805,BB050_RS01805,BB050_00376,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
