#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2126812,60326079,2,I5H14_gp002,SEA_BATIATUS_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2126812,60326080,3,I5H14_gp003,SEA_BATIATUS_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2126812,60326081,4,I5H14_gp004,SEA_BATIATUS_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2126812,60326082,5,I5H14_gp005,SEA_BATIATUS_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2126812,60326083,6,I5H14_gp006,SEA_BATIATUS_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2126812,60326084,7,I5H14_gp007,SEA_BATIATUS_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2126812,60326085,8,I5H14_gp008,SEA_BATIATUS_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2126812,60326086,9,I5H14_gp009,SEA_BATIATUS_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126812,60326087,10,I5H14_gp010,SEA_BATIATUS_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2126812,60326088,11,I5H14_gp011,SEA_BATIATUS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326089,13,I5H14_gp012,SEA_BATIATUS_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2126812,60326090,14,I5H14_gp014,SEA_BATIATUS_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2126812,60326091,12,I5H14_gp013,SEA_BATIATUS_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2126812,60326092,15,I5H14_gp015,SEA_BATIATUS_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2126812,60326093,16,I5H14_gp016,SEA_BATIATUS_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2126812,60326094,17,I5H14_gp017,SEA_BATIATUS_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2126812,60326095,18,I5H14_gp018,SEA_BATIATUS_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2126812,60326096,19,I5H14_gp019,SEA_BATIATUS_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2126812,60326097,20,I5H14_gp020,SEA_BATIATUS_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326098,21,I5H14_gp021,SEA_BATIATUS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326099,22,I5H14_gp022,SEA_BATIATUS_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326100,23,I5H14_gp023,SEA_BATIATUS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326101,24,I5H14_gp024,SEA_BATIATUS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326102,25,I5H14_gp025,SEA_BATIATUS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2126812,60326103,26,I5H14_gp026,SEA_BATIATUS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326104,27,I5H14_gp027,SEA_BATIATUS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326105,28,I5H14_gp028,SEA_BATIATUS_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326106,29,I5H14_gp029,SEA_BATIATUS_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326107,30,I5H14_gp030,SEA_BATIATUS_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2126812,60326108,31,I5H14_gp031,SEA_BATIATUS_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2126812,60326109,32,I5H14_gp032,SEA_BATIATUS_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2126812,60326110,33,I5H14_gp033,SEA_BATIATUS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126812,60326111,34,I5H14_gp034,SEA_BATIATUS_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326112,35,I5H14_gp035,SEA_BATIATUS_35,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20201129,-
