#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647469,30309317,BOX05_gp04,BOX05_gp04,GAL1_4,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20200629,-
1647469,30309318,BOX05_gp02,BOX05_gp02,GAL1_2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309319,BOX05_gp03,BOX05_gp03,GAL1_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309320,BOX05_gp05,BOX05_gp05,GAL1_5,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1647469,30309321,BOX05_gp06,BOX05_gp06,GAL1_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309322,BOX05_gp07,BOX05_gp07,GAL1_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309323,BOX05_gp08,BOX05_gp08,GAL1_8,-,-,-,head decoration protein,protein-coding,-,-,-,head decoration protein,20201221,-
1647469,30309324,BOX05_gp09,BOX05_gp09,GAL1_9,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1647469,30309325,BOX05_gp10,BOX05_gp10,GAL1_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309326,BOX05_gp11,BOX05_gp11,GAL1_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309327,BOX05_gp12,BOX05_gp12,GAL1_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309328,BOX05_gp13,BOX05_gp13,GAL1_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309329,BOX05_gp14,BOX05_gp14,GAL1_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309330,BOX05_gp15,BOX05_gp15,GAL1_15,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20200629,-
1647469,30309331,BOX05_gp16,BOX05_gp16,GAL1_17,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20200629,-
1647469,30309332,BOX05_gp18,BOX05_gp18,GAL1_18,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20200629,-
1647469,30309333,BOX05_gp17,BOX05_gp17,GAL1_16,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20200629,-
1647469,30309334,BOX05_gp19,BOX05_gp19,GAL1_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309335,BOX05_gp20,BOX05_gp20,GAL1_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309336,BOX05_gp21,BOX05_gp21,GAL1_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309337,BOX05_gp22,BOX05_gp22,GAL1_22,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201221,-
1647469,30309338,BOX05_gp23,BOX05_gp23,GAL1_23,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1647469,30309339,BOX05_gp24,BOX05_gp24,GAL1_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309340,BOX05_gp25,BOX05_gp25,GAL1_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309341,BOX05_gp26,BOX05_gp26,GAL1_26,-,-,-,PE-PPE domain-containing protein,protein-coding,-,-,-,PE-PPE domain-containing protein,20201221,-
1647469,30309342,BOX05_gp27,BOX05_gp27,GAL1_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1647469,30309343,BOX05_gp28,BOX05_gp28,GAL1_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309344,BOX05_gp29,BOX05_gp29,GAL1_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309345,BOX05_gp30,BOX05_gp30,GAL1_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309346,BOX05_gp31,BOX05_gp31,GAL1_31,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20210116,-
1647469,30309347,BOX05_gp32,BOX05_gp32,GAL1_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309348,BOX05_gp33,BOX05_gp33,GAL1_33,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1647469,30309349,BOX05_gp34,BOX05_gp34,GAL1_34,-,-,-,Rha family transcriptional regulator,protein-coding,-,-,-,Rha family transcriptional regulator,20201221,-
1647469,30309350,BOX05_gp35,BOX05_gp35,GAL1_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309351,BOX05_gp36,BOX05_gp36,GAL1_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309352,BOX05_gp37,BOX05_gp37,GAL1_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309353,BOX05_gp38,BOX05_gp38,GAL1_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309354,BOX05_gp39,BOX05_gp39,GAL1_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309355,BOX05_gp40,BOX05_gp40,GAL1_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309356,BOX05_gp41,BOX05_gp41,GAL1_41,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
