#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301715,64471721,2,KGG90_gp02,SEA_THESTRAL_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210505,-
2301715,64471722,3,KGG90_gt01,SEA_THESTRAL_3,-,-,-,tRNA,tRNA,-,-,-,-,20210505,-
2301715,64471723,4,KGG90_gp82,SEA_THESTRAL_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471724,5,KGG90_gp81,SEA_THESTRAL_5,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210505,-
2301715,64471725,6,KGG90_gp80,SEA_THESTRAL_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471726,7,KGG90_gp79,SEA_THESTRAL_7,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210505,-
2301715,64471727,8,KGG90_gp78,SEA_THESTRAL_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210505,-
2301715,64471728,9,KGG90_gp77,SEA_THESTRAL_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471729,10,KGG90_gp76,SEA_THESTRAL_10,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210505,-
2301715,64471730,11,KGG90_gp75,SEA_THESTRAL_11,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210505,-
2301715,64471731,12,KGG90_gp74,SEA_THESTRAL_12,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210505,-
2301715,64471732,13,KGG90_gp73,SEA_THESTRAL_13,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210505,-
2301715,64471733,14,KGG90_gp72,SEA_THESTRAL_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471734,15,KGG90_gp71,SEA_THESTRAL_15,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210505,-
2301715,64471735,16,KGG90_gp70,SEA_THESTRAL_16,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210505,-
2301715,64471736,18,KGG90_gp68,SEA_THESTRAL_18,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210505,-
2301715,64471737,19,KGG90_gp67,SEA_THESTRAL_19,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210505,-
2301715,64471738,17,KGG90_gp69,SEA_THESTRAL_17,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210505,-
2301715,64471739,20,KGG90_gp66,SEA_THESTRAL_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2301715,64471740,21,KGG90_gp65,SEA_THESTRAL_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2301715,64471741,22,KGG90_gp64,SEA_THESTRAL_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
