#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713257,55628229,2,HWD16_gp02,SEA_ARETE_2,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210129,-
2713257,55628230,3,HWD16_gp03,SEA_ARETE_3,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210129,-
2713257,55628231,4,HWD16_gp04,SEA_ARETE_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628232,5,HWD16_gp05,SEA_ARETE_5,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210129,-
2713257,55628233,6,HWD16_gp06,SEA_ARETE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628234,7,HWD16_gp07,SEA_ARETE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628235,8,HWD16_gp08,SEA_ARETE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628236,9,HWD16_gp09,SEA_ARETE_9,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20210129,-
2713257,55628237,10,HWD16_gp10,SEA_ARETE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628238,11,HWD16_gp11,SEA_ARETE_11,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210129,-
2713257,55628239,12,HWD16_gp12,SEA_ARETE_12,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210129,-
2713257,55628240,13,HWD16_gp13,SEA_ARETE_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628241,14,HWD16_gp14,SEA_ARETE_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628242,15,HWD16_gp15,SEA_ARETE_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713257,55628243,16,HWD16_gp16,SEA_ARETE_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628244,17,HWD16_gp17,SEA_ARETE_17,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210129,-
2713257,55628245,18,HWD16_gp18,SEA_ARETE_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628246,19,HWD16_gp19,SEA_ARETE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628247,20,HWD16_gp20,SEA_ARETE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713257,55628248,21,HWD16_gp21,SEA_ARETE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
