#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
711470,22110945,2,REDROCK_2,-,-,-,-,VIP2,protein-coding,-,-,-,VIP2,20200909,-
711470,22110946,3,REDROCK_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110947,4,REDROCK_4,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200909,-
711470,22110948,5,REDROCK_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110949,6,REDROCK_6,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200909,-
711470,22110950,7,REDROCK_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110951,8,REDROCK_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110952,9,REDROCK_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110953,10,REDROCK_10,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
711470,22110954,11,REDROCK_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110955,12,REDROCK_12,-,-,-,-,LysA,protein-coding,-,-,-,LysA,20200909,-
711470,22110956,13,REDROCK_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110957,14,REDROCK_14,-,-,-,-,LysB,protein-coding,-,-,-,LysB,20200909,-
711470,22110958,15,REDROCK_15,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200909,-
711470,22110959,16,REDROCK_16,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200909,-
711470,22110960,17,REDROCK_17,-,-,-,-,protease,protein-coding,-,-,-,protease,20200909,-
711470,22110961,18,REDROCK_18,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20200909,-
711470,22110962,19,REDROCK_19,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200909,-
711470,22110963,20,REDROCK_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110964,21,REDROCK_21,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200909,-
711470,22110965,22,REDROCK_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110966,23,REDROCK_23,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200909,-
711470,22110967,24,REDROCK_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110968,25,REDROCK_25,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200909,-
711470,22110969,26,REDROCK_26,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200909,-
711470,22110970,28,REDROCK_28,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200909,-
711470,22110971,29,REDROCK_29,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200909,-
711470,22110972,27,REDROCK_27,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200909,-
711470,22110973,30,REDROCK_30,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200909,-
711470,22110974,31,REDROCK_31,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200909,-
711470,22110975,32,REDROCK_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110976,33,REDROCK_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110977,34,REDROCK_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110978,35,REDROCK_35,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200909,-
711470,22110979,36,REDROCK_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110980,37,REDROCK_37,-,-,-,-,ParA,protein-coding,-,-,-,ParA,20200909,-
711470,22110981,38,REDROCK_38,-,-,-,-,ParB,protein-coding,-,-,-,ParB,20200909,-
711470,22110982,39,REDROCK_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110983,40,REDROCK_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110984,41,REDROCK_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110985,42,REDROCK_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110986,43,REDROCK_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110987,44,REDROCK_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110988,45,REDROCK_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
