#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2115967,54991194,HOT12_gp02,HOT12_gp02,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210327,-
2115967,54991195,HOT12_gp03,HOT12_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991196,HOT12_gp04,HOT12_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991197,HOT12_gp05,HOT12_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2115967,54991198,HOT12_gp06,HOT12_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2115967,54991199,HOT12_gp07,HOT12_gp07,-,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20210403,-
2115967,54991200,HOT12_gp08,HOT12_gp08,-,-,-,-,replication protein O,protein-coding,-,-,-,replication protein O,20210403,-
2115967,54991201,HOT12_gp09,HOT12_gp09,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20210403,-
2115967,54991202,HOT12_gp10,HOT12_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991203,HOT12_gp11,HOT12_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991204,HOT12_gp12,HOT12_gp12,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
2115967,54991205,HOT12_gp13,HOT12_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991206,HOT12_gp14,HOT12_gp14,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210116,-
2115967,54991207,HOT12_gp15,HOT12_gp15,-,-,-,-,repressor protein C,protein-coding,-,-,-,repressor protein C,20210403,-
2115967,54991208,HOT12_gp16,HOT12_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991209,HOT12_gp17,HOT12_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991210,HOT12_gp18,HOT12_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991211,HOT12_gp19,HOT12_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991212,HOT12_gp20,HOT12_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991213,HOT12_gp21,HOT12_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991214,HOT12_gp22,HOT12_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991215,HOT12_gp23,HOT12_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991216,HOT12_gp24,HOT12_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991217,HOT12_gp25,HOT12_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991218,HOT12_gp26,HOT12_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991219,HOT12_gp27,HOT12_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991220,HOT12_gp28,HOT12_gp28,-,-,-,-,exonuclease VIII,protein-coding,-,-,-,exonuclease VIII,20210403,-
2115967,54991221,HOT12_gp29,HOT12_gp29,-,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20210403,-
2115967,54991222,HOT12_gp30,HOT12_gp30,-,-,-,-,site-specific DNA methyltransferase,protein-coding,-,-,-,site-specific DNA methyltransferase,20210403,-
2115967,54991223,HOT12_gp31,HOT12_gp31,-,-,-,-,XRE family transcriptional regulator,protein-coding,-,-,-,XRE family transcriptional regulator,20200629,-
2115967,54991224,HOT12_gp32,HOT12_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991225,HOT12_gp33,HOT12_gp33,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210403,-
2115967,54991226,HOT12_gp34,HOT12_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991227,HOT12_gp35,HOT12_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991228,HOT12_gp36,HOT12_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991229,HOT12_gp37,HOT12_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2115967,54991230,HOT12_gp38,HOT12_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991231,HOT12_gp39,HOT12_gp39,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2115967,54991232,HOT12_gp40,HOT12_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991233,HOT12_gp41,HOT12_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991234,HOT12_gp42,HOT12_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991235,HOT12_gp43,HOT12_gp43,-,-,-,-,DUF2514 family protein,protein-coding,-,-,-,DUF2514 family protein,20201221,-
2115967,54991236,HOT12_gp44,HOT12_gp44,-,-,-,-,Rz1,protein-coding,-,-,-,Rz1,20200629,-
2115967,54991237,HOT12_gp45,HOT12_gp45,-,-,-,-,glycoside hydrolase family protein,protein-coding,-,-,-,glycoside hydrolase family protein,20210403,-
2115967,54991238,HOT12_gp46,HOT12_gp46,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2115967,54991239,HOT12_gp47,HOT12_gp47,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200629,-
2115967,54991240,HOT12_gp48,HOT12_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991241,HOT12_gp49,HOT12_gp49,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210403,-
2115967,54991242,HOT12_gp50,HOT12_gp50,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200919,-
2115967,54991243,HOT12_gp51,HOT12_gp51,-,-,-,-,lytic transglycosylase domain-containing protein,protein-coding,-,-,-,lytic transglycosylase domain-containing protein,20210403,-
2115967,54991244,HOT12_gp52,HOT12_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991245,HOT12_gp53,HOT12_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991246,HOT12_gp54,HOT12_gp54,-,-,-,-,GNAT family acetyltransferase,protein-coding,-,-,-,GNAT family acetyltransferase,20201221,-
2115967,54991247,HOT12_gp55,HOT12_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2115967,54991248,HOT12_gp56,HOT12_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2115967,54991249,HOT12_gp57,HOT12_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991250,HOT12_gp58,HOT12_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2115967,54991251,HOT12_gp59,HOT12_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2115967,54991252,HOT12_gp60,HOT12_gp60,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
2115967,54991253,HOT12_gp61,HOT12_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2115967,54991254,HOT12_gp62,HOT12_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2115967,54991255,HOT12_gp63,HOT12_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2115967,54991256,HOT12_gp64,HOT12_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2115967,54991257,HOT12_gp65,HOT12_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2115967,54991258,HOT12_gp01,HOT12_gp01,-,-,-,-,large terminase,protein-coding,-,-,-,large terminase,20210403,-
2115967,55153876,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Burkholderia multivorans phage KL4; Burkholderia phage KL4; Burkholderia phage vB_BmuP_KL_4).,other,-,-,-,-,20200601,-
