#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1838081,28801905,2,BH796_gp02,PBI_UTZ_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1838081,28801906,3,BH796_gp03,PBI_UTZ_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1838081,28801907,4,BH796_gp04,PBI_UTZ_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
1838081,28801908,5,BH796_gp05,PBI_UTZ_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1838081,28801909,6,BH796_gp06,PBI_UTZ_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1838081,28801910,7,BH796_gp07,PBI_UTZ_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801911,8,BH796_gp08,PBI_UTZ_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1838081,28801912,9,BH796_gp09,PBI_UTZ_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1838081,28801913,10,BH796_gp10,PBI_UTZ_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801914,11,BH796_gp11,PBI_UTZ_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801915,12,BH796_gp12,PBI_UTZ_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801916,13,BH796_gp13,PBI_UTZ_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
1838081,28801917,14,BH796_gp14,PBI_UTZ_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1838081,28801918,16,BH796_gp15,PBI_UTZ_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1838081,28801919,17,BH796_gp17,PBI_UTZ_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1838081,28801920,15,BH796_gp16,PBI_UTZ_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1838081,28801921,18,BH796_gp18,PBI_UTZ_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
1838081,28801922,19,BH796_gp19,PBI_UTZ_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1838081,28801923,20,BH796_gp20,PBI_UTZ_20,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",protein-coding,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",20210424,-
1838081,28801924,21,BH796_gp21,PBI_UTZ_21,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20200927,-
1838081,28801925,22,BH796_gp22,PBI_UTZ_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801926,23,BH796_gp23,PBI_UTZ_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801927,24,BH796_gp24,PBI_UTZ_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801928,25,BH796_gp25,PBI_UTZ_25,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1838081,28801929,26,BH796_gp26,PBI_UTZ_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801930,27,BH796_gp27,PBI_UTZ_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1838081,28801931,28,BH796_gp28,PBI_UTZ_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1838081,28801932,29,BH796_gp29,PBI_UTZ_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801933,30,BH796_gp30,PBI_UTZ_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1838081,28801934,31,BH796_gp31,PBI_UTZ_31,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200927,-
1838081,28801935,32,BH796_gp32,PBI_UTZ_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801936,33,BH796_gp33,PBI_UTZ_33,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20200927,-
1838081,28801937,34,BH796_gp34,PBI_UTZ_34,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1838081,28801938,35,BH796_gp35,PBI_UTZ_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801939,36,BH796_gp36,PBI_UTZ_36,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1838081,28801940,37,BH796_gp37,PBI_UTZ_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801941,38,BH796_gp38,PBI_UTZ_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801942,39,BH796_gp39,PBI_UTZ_39,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20200927,-
1838081,28801943,40,BH796_gp40,PBI_UTZ_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801944,41,BH796_gp41,PBI_UTZ_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801945,42,BH796_gp42,PBI_UTZ_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801946,43,BH796_gp43,PBI_UTZ_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801947,44,BH796_gp44,PBI_UTZ_44,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1838081,28801948,45,BH796_gp45,PBI_UTZ_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801949,46,BH796_gp46,PBI_UTZ_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838081,28801950,47,BH796_gp47,PBI_UTZ_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
