#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1536596,24724748,ACQ49_gp02,ACQ49_gp02,H70_02,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210406,-
1536596,24724749,ACQ49_gp03,ACQ49_gp03,H70_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724750,ACQ49_gp04,ACQ49_gp04,H70_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724751,ACQ49_gp05,ACQ49_gp05,H70_005,-,-,-,transposase A,protein-coding,-,-,-,transposase A,20200629,-
1536596,24724752,ACQ49_gp06,ACQ49_gp06,H70_006,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20201221,-
1536596,24724753,ACQ49_gp07,ACQ49_gp07,H70_007,-,-,-,DNA-binding domain-containing protein,protein-coding,-,-,-,DNA-binding domain-containing protein,20200629,-
1536596,24724754,ACQ49_gp08,ACQ49_gp08,H70_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724755,ACQ49_gp09,ACQ49_gp09,H70_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724756,ACQ49_gp10,ACQ49_gp10,H70_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724757,ACQ49_gp11,ACQ49_gp11,H70_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724758,ACQ49_gp12,ACQ49_gp12,H70_012,-,-,-,host-nuclease inhibitor Gam family protein,protein-coding,-,-,-,host-nuclease inhibitor Gam family protein,20210424,-
1536596,24724759,ACQ49_gp13,ACQ49_gp13,H70_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724760,ACQ49_gp14,ACQ49_gp14,H70_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724761,ACQ49_gp15,ACQ49_gp15,H70_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724762,ACQ49_gp16,ACQ49_gp16,H70_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724763,ACQ49_gp17,ACQ49_gp17,H70_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724764,ACQ49_gp18,ACQ49_gp18,H70_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724765,ACQ49_gp19,ACQ49_gp19,H70_019,-,-,-,regulatory protein GemA,protein-coding,-,-,-,regulatory protein GemA,20201221,-
1536596,24724766,ACQ49_gp20,ACQ49_gp20,H70_020,-,-,-,Mor transcription activator,protein-coding,-,-,-,Mor transcription activator,20200629,-
1536596,24724767,ACQ49_gp21,ACQ49_gp21,H70_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724768,ACQ49_gp22,ACQ49_gp22,H70_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724769,ACQ49_gp23,ACQ49_gp23,H70_023,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1536596,24724770,ACQ49_gp24,ACQ49_gp24,H70_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724771,ACQ49_gp25,ACQ49_gp25,H70_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724772,ACQ49_gp26,ACQ49_gp26,H70_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724773,ACQ49_gp27,ACQ49_gp27,H70_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724774,ACQ49_gp28,ACQ49_gp28,H70_028,-,-,-,DUF1804 family protein,protein-coding,-,-,-,DUF1804 family protein,20201221,-
1536596,24724775,ACQ49_gp29,ACQ49_gp29,H70_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724776,ACQ49_gp30,ACQ49_gp30,H70_030,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201026,-
1536596,24724777,ACQ49_gp31,ACQ49_gp31,H70_031,-,-,-,DUF935 domain-containing protein,protein-coding,-,-,-,DUF935 domain-containing protein,20201221,-
1536596,24724778,ACQ49_gp32,ACQ49_gp32,H70_032,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1536596,24724779,ACQ49_gp33,ACQ49_gp33,H70_033,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20200629,-
1536596,24724780,ACQ49_gp34,ACQ49_gp34,H70_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724781,ACQ49_gp35,ACQ49_gp35,H70_035,-,-,-,DNA-binding domain-containing protein,protein-coding,-,-,-,DNA-binding domain-containing protein,20200629,-
1536596,24724782,ACQ49_gp36,ACQ49_gp36,H70_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724783,ACQ49_gp37,ACQ49_gp37,H70_037,-,-,-,protease (I) and scaffold (Z) protein,protein-coding,-,-,-,protease (I) and scaffold (Z) protein,20200629,-
1536596,24724784,ACQ49_gp38,ACQ49_gp38,H70_038,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20200629,-
1536596,24724785,ACQ49_gp39,ACQ49_gp39,H70_039,-,-,-,Mu-like promajor head subunit gpT family protein,protein-coding,-,-,-,Mu-like promajor head subunit gpT family protein,20201221,-
1536596,24724786,ACQ49_gp40,ACQ49_gp40,H70_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724787,ACQ49_gp41,ACQ49_gp41,H70_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724788,ACQ49_gp42,ACQ49_gp42,H70_042,-,-,-,DUF1320 domain-containing protein,protein-coding,-,-,-,DUF1320 domain-containing protein,20201221,-
1536596,24724789,ACQ49_gp43,ACQ49_gp43,H70_043,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20200629,-
1536596,24724790,ACQ49_gp44,ACQ49_gp44,H70_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724791,ACQ49_gp45,ACQ49_gp45,H70_045,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20200629,-
1536596,24724792,ACQ49_gp46,ACQ49_gp46,H70_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724793,ACQ49_gp47,ACQ49_gp47,H70_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724794,ACQ49_gp48,ACQ49_gp48,H70_048,-,-,-,tail length tape measure protein,protein-coding,-,-,-,tail length tape measure protein,20200629,-
1536596,24724795,ACQ49_gp49,ACQ49_gp49,H70_049,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20200629,-
1536596,24724796,ACQ49_gp50,ACQ49_gp50,H70_050,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20200629,-
1536596,24724797,ACQ49_gp51,ACQ49_gp51,H70_051,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20200629,-
1536596,24724798,ACQ49_gp52,ACQ49_gp52,H70_052,-,-,-,BR0599 family protein,protein-coding,-,-,-,BR0599 family protein,20201221,-
1536596,24724799,ACQ49_gp53,ACQ49_gp53,H70_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724800,ACQ49_gp54,ACQ49_gp54,H70_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724801,ACQ49_gp55,ACQ49_gp55,H70_055,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20200629,-
1536596,24724802,ACQ49_gp56,ACQ49_gp56,H70_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724803,ACQ49_gp57,ACQ49_gp57,H70_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724804,ACQ49_gp58,ACQ49_gp58,H70_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536596,24724805,ACQ49_gp01,ACQ49_gp01,H70_001,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1536596,24936566,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
